FileName: C:\TESTNE~1\GP030F.TXT
Local Time: Thu Jul 22 12:07:14 2010

Ship: July 22, 2010 Trip: GP030F Tow: 07
Comments: Zone 12  nord de PEI tracadie bay
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
100722  150716  46  57.8676 N  62  48.3399 W   6.7       12.8*      11.8*     100.1*     562.6*
100722  150717  46  57.8696 N  62  48.3399 W   6.8       12.8       11.8      100.1      562.6 
100722  150718  46  57.8716 N  62  48.3399 W   6.9       12.8       11.8      100.1      562.6 
100722  150719  46  57.8736 N  62  48.3401 W   6.9       12.8       11.8      100.1      562.6 
100722  150720  46  57.8756 N  62  48.3402 W   7.0       12.8       11.8      100.1      562.6 
100722  150721  46  57.8776 N  62  48.3404 W   7.0       12.8       11.8      100.1      562.6 
100722  150722  46  57.8796 N  62  48.3404 W   7.0       12.8       11.8      100.1      562.6 
100722  150723  46  57.8815 N  62  48.3404 W   7.0       12.8       11.8      100.1      562.6 
100722  150724  46  57.8835 N  62  48.3402 W   7.0       12.8       11.8      100.1      562.6 
100722  150725  46  57.8855 N  62  48.3403 W   7.0       12.8       11.8      100.1      562.6 
100722  150726  46  57.8875 N  62  48.3405 W   7.0       12.8       11.8      100.1      562.6 
100722  150727  46  57.8894 N  62  48.3406 W   7.0       12.8       11.8      100.1      562.6 
100722  150728  46  57.8913 N  62  48.3408 W   7.0       12.8       11.8      100.1      562.6 
100722  150729  46  57.8932 N  62  48.3408 W   6.9       12.8       11.8      100.1      562.6 
100722  150730  46  57.8951 N  62  48.3408 W   6.9       12.8       11.8      100.1      562.6 
100722  150731  46  57.8969 N  62  48.3408 W   6.9       12.8       11.8      100.1      562.6 
100722  150732  46  57.8987 N  62  48.3409 W   6.8       12.8       11.8      100.1      562.6 
100722  150733  46  57.9004 N  62  48.3410 W   6.6       12.8       11.8      100.1      562.6 
100722  150734  46  57.9020 N  62  48.3411 W   6.5       12.8       11.8      100.1      562.6 
100722  150735  46  57.9036 N  62  48.3412 W   6.4       12.8       11.8      100.1      562.6 
100722  150736  46  57.9050 N  62  48.3413 W   6.2       12.8       11.8      100.1      562.6 
100722  150737  46  57.9065 N  62  48.3414 W   6.0       12.8       11.8        1.8*     562.6 
100722  150738  46  57.9078 N  62  48.3415 W   5.9       12.8       11.8        1.8      562.6 
100722  150739  46  57.9092 N  62  48.3415 W   5.7       12.8       11.8        1.8      562.6 
100722  150740  46  57.9104 N  62  48.3415 W   5.5       12.8       11.8        1.8      562.6 
100722  150741  46  57.9117 N  62  48.3416 W   5.4       12.8       11.8        1.8      562.6 
100722  150742  46  57.9129 N  62  48.3417 W   5.2       12.8       11.8        1.8      562.6 
