FileName: C:\TESTNE~1\GP105F.TXT
Local Time: Sat Aug 07 05:51:09 2010

Ship: August 07, 2010 Trip: GP105F Tow: 1
Comments: Zone E
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
100807  085110  48  26.8800 N  62  31.3726 W   6.7       11.4*      10.5*      94.1*     120.1*
100807  085111  48  26.8789 N  62  31.3701 W   6.8       11.4       10.5       94.1      120.1 
100807  085112  48  26.8778 N  62  31.3674 W   6.9       11.4       10.5       94.1      120.1 
100807  085113  48  26.8767 N  62  31.3647 W   7.0       11.4       10.5       94.1      120.1 
100807  085114  48  26.8757 N  62  31.3620 W   7.1       11.4       10.5       94.1      120.1 
100807  085115  48  26.8748 N  62  31.3593 W   7.1       11.4       10.5       94.1      120.1 
100807  085116  48  26.8739 N  62  31.3568 W   7.0       11.4       10.5       94.1      120.1 
100807  085117  48  26.8731 N  62  31.3545 W   6.9       11.4       10.5       94.1      120.1 
100807  085118  48  26.8722 N  62  31.3522 W   6.8       11.4       10.5       94.1      120.1 
100807  085119  48  26.8713 N  62  31.3499 W   6.7       11.4       10.5       94.1      120.1 
100807  085120  48  26.8703 N  62  31.3474 W   6.7       11.4       10.5       94.1      120.1 
100807  085121  48  26.8693 N  62  31.3449 W   6.8       11.4       10.5       94.1      120.1 
100807  085122  48  26.8682 N  62  31.3424 W   6.8       11.4       10.5       94.1      120.1 
100807  085123  48  26.8673 N  62  31.3398 W   6.9       11.4       10.5       94.1      120.1 
100807  085124  48  26.8664 N  62  31.3373 W   6.8       11.4       10.5       94.1      120.1 
100807  085125  48  26.8655 N  62  31.3351 W   6.8       11.4       10.5       94.1      120.1 
100807  085126  48  26.8647 N  62  31.3329 W   6.6       11.4       10.5       94.1      120.1 
100807  085127  48  26.8638 N  62  31.3307 W   6.6       11.4       10.5       94.1      120.1 
100807  085128  48  26.8629 N  62  31.3285 W   6.5       11.4       10.5       94.1      120.1 
100807  085129  48  26.8620 N  62  31.3263 W   6.4       11.4       10.5       94.1      120.1 
100807  085130  48  26.8611 N  62  31.3242 W   6.3       11.4       10.5       94.1      120.1 
100807  085131  48  26.8602 N  62  31.3222 W   6.2       11.4       10.5       94.1      120.1 
