FileName: C:\TESTNE~1\GP115F.TXT
Local Time: Tue Aug 10 09:28:13 2010

Ship: August 10, 2010 Trip: GP115F Tow: 04
Comments: Zone 12 sud banc des orphelin
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
100810  122815  48   7.0428 N  63  11.2690 W   5.2       11.4*      11.7*      34.0*     265.2*
100810  122816  48   7.0444 N  63  11.2682 W   5.4       11.4       11.7       34.0      265.2 
100810  122817  48   7.0461 N  63  11.2674 W   5.5       11.4       11.7       34.0      265.2 
100810  122818  48   7.0477 N  63  11.2665 W   5.6       11.4       11.7       34.0      265.2 
100810  122819  48   7.0493 N  63  11.2657 W   5.7       11.4       11.7       34.0      265.2 
100810  122820  48   7.0510 N  63  11.2648 W   5.8       11.4       11.7       34.0      265.2 
100810  122821  48   7.0526 N  63  11.2640 W   5.8       11.4       11.7       34.0      265.2 
100810  122822  48   7.0541 N  63  11.2632 W   5.8       11.4       11.7       34.0      265.2 
100810  122823  48   7.0556 N  63  11.2624 W   5.8       11.4       11.7       34.0      265.2 
100810  122824  48   7.0572 N  63  11.2616 W   5.8       11.4       11.7       34.0      265.2 
100810  122825  48   7.0587 N  63  11.2608 W   5.8       11.4       11.7       34.0      265.2 
100810  122826  48   7.0603 N  63  11.2601 W   5.9       11.4       11.7       34.0      265.2 
100810  122827  48   7.0618 N  63  11.2593 W   5.9       11.4       11.7       34.0      265.2 
100810  122828  48   7.0634 N  63  11.2584 W   5.9       11.4       11.7       34.0      265.2 
100810  122829  48   7.0649 N  63  11.2577 W   5.8       11.4       11.7       34.0      265.2 
100810  122830  48   7.0663 N  63  11.2569 W   5.8       11.4       11.7       34.0      265.2 
100810  122831  48   7.0677 N  63  11.2562 W   5.7       11.4       11.7       34.0      265.2 
100810  122832  48   7.0692 N  63  11.2555 W   5.7       11.4       11.7       34.0      265.2 
100810  122833  48   7.0706 N  63  11.2549 W   5.6       11.4       11.7       34.0      265.2 
100810  122834  48   7.0719 N  63  11.2542 W   5.5       11.4       11.7       34.0      265.2 
100810  122835  48   7.0733 N  63  11.2535 W   5.5       11.4       11.7       34.0      265.2 
100810  122836  48   7.0745 N  63  11.2528 W   5.3       11.4       11.7       34.0      265.2 
100810  122837  48   7.0757 N  63  11.2523 W   5.2       11.4       11.7       34.0      265.2 
100810  122838  48   7.0768 N  63  11.2518 W   5.0       11.4       11.7       34.0      265.2 
100810  122839  48   7.0779 N  63  11.2513 W   4.9       11.4       11.7       34.0      265.2 
100810  122840  48   7.0789 N  63  11.2507 W   4.7       11.4       11.7       34.0      265.2 
100810  122841  48   7.0799 N  63  11.2502 W   4.6       11.4       13.6*      34.0      265.2 
100810  122842  48   7.0809 N  63  11.2497 W   4.5       11.4       13.6        3.2*     265.2 
100810  122843  48   7.0819 N  63  11.2493 W   4.3       11.4       13.6        3.2      265.2 
100810  122844  48   7.0828 N  63  11.2489 W   4.2       11.4       13.6        3.2      265.2 
100810  122845  48   7.0836 N  63  11.2484 W   4.1       11.4       13.6        3.2      265.2 
100810  122846  48   7.0845 N  63  11.2480 W   4.0       11.4       13.6        3.2      265.2 
100810  122847  48   7.0853 N  63  11.2475 W   3.9       11.4       13.6        3.5*     265.2 
100810  122848  48   7.0862 N  63  11.2471 W   3.7       11.4       13.6        3.5      265.2 
100810  122849  48   7.0870 N  63  11.2467 W   3.6       11.4       13.6        3.5      265.2 
100810  122850  48   7.0878 N  63  11.2463 W   3.6       11.4       13.6        3.5      265.2 
