FileName: C:\TESTNE~1\GP119FR2.TXT
Local Time: Tue Aug 24 16:31:02 2010

Ship: August 24, 2010 Trip: GP119Fr2 Tow: 10
Comments: Zone 12 vallee de shediac nord
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
100824  193103  47  43.1702 N  63  47.9312 W   7.3        5.6*      12.2*      55.9*     398.1*
100824  193104  47  43.1683 N  63  47.9322 W   7.3        5.6       12.2       55.9      398.1 
100824  193105  47  43.1663 N  63  47.9331 W   7.3        5.6       12.2       55.9      398.1 
100824  193106  47  43.1643 N  63  47.9340 W   7.3        5.6       12.2       55.9      398.1 
100824  193107  47  43.1624 N  63  47.9349 W   7.3        5.6       12.2       55.9      398.1 
100824  193108  47  43.1605 N  63  47.9358 W   7.3        5.6       12.2       55.9      398.1 
100824  193109  47  43.1586 N  63  47.9367 W   7.3        5.6       12.2       55.9      398.1 
100824  193110  47  43.1568 N  63  47.9375 W   7.2        5.6       12.2       55.9      398.1 
100824  193111  47  43.1551 N  63  47.9383 W   7.2        5.6       12.2       55.9      398.1 
100824  193112  47  43.1534 N  63  47.9391 W   7.1        5.6       12.2       55.9      398.1 
100824  193113  47  43.1517 N  63  47.9398 W   6.9        5.6       12.2       55.9      398.1 
100824  193114  47  43.1501 N  63  47.9405 W   6.8        5.6       12.2       55.9      398.1 
100824  193115  47  43.1485 N  63  47.9412 W   6.7        5.6       12.2       55.9      398.1 
100824  193116  47  43.1471 N  63  47.9418 W   6.5        5.6       12.2       55.9      398.1 
100824  193117  47  43.1457 N  63  47.9424 W   6.3        5.6       12.2       55.9      398.1 
100824  193118  47  43.1443 N  63  47.9430 W   6.1        5.6       12.2        3.1*     398.1 
100824  193119  47  43.1430 N  63  47.9436 W   6.0        5.6       12.2        3.1      398.1 
100824  193120  47  43.1417 N  63  47.9442 W   5.8        5.6       12.2        3.1      398.1 
100824  193121  47  43.1404 N  63  47.9447 W   5.7        5.6       12.2        3.1      398.1 
100824  193122  47  43.1392 N  63  47.9452 W   5.5        5.6       12.2        3.1      398.1 
100824  193123  47  43.1379 N  63  47.9457 W   5.4        5.6       12.2        3.1      398.1 
100824  193124  47  43.1367 N  63  47.9463 W   5.3        5.6       12.2        3.1      398.1 
100824  193125  47  43.1356 N  63  47.9467 W   5.1        5.6       12.2        3.1      398.1 
100824  193126  47  43.1345 N  63  47.9472 W   5.0        5.6       12.2        3.1      398.1 
100824  193127  47  43.1334 N  63  47.9476 W   4.9        5.6       12.2        3.1      398.1 
100824  193128  47  43.1323 N  63  47.9481 W   4.8        5.6       12.2        0.7*     398.1 
100824  193129  47  43.1313 N  63  47.9485 W   4.6        5.6       12.2        0.7      398.1 
100824  193130  47  43.1303 N  63  47.9489 W   4.5        5.6       13.5*       0.7      398.1 
100824  193131  47  43.1293 N  63  47.9494 W   4.4        5.6       13.5        0.7       22.4*
100824  193132  47  43.1282 N  63  47.9498 W   4.3        5.6       13.5        0.7       22.4 
100824  193133  47  43.1273 N  63  47.9501 W   4.2        5.6       13.5        3.1*      22.4 
100824  193134  47  43.1263 N  63  47.9505 W   4.1        5.6       13.5        3.1       22.4 
100824  193135  47  43.1254 N  63  47.9509 W   4.0        5.6       13.5        3.1       22.4 
100824  193136  47  43.1245 N  63  47.9512 W   3.9        5.6       13.5        3.1       22.4 
100824  193137  47  43.1235 N  63  47.9516 W   3.9        5.6       13.5        3.1       22.4 
100824  193138  47  43.1226 N  63  47.9519 W   3.8        5.6       13.5        3.0*      22.4 
100824  193139  47  43.1217 N  63  47.9523 W   3.7        5.6       13.5        3.0       22.4 
100824  193140  47  43.1209 N  63  47.9526 W   3.7        5.6       13.5        3.0       22.4 
100824  193141  47  43.1199 N  63  47.9530 W   3.6        5.6       13.5        3.0       22.4 
100824  193142  47  43.1191 N  63  47.9533 W   3.6        5.6       13.5        3.0       22.4 
100824  193143  47  43.1182 N  63  47.9537 W   3.5        2.4*      13.5        3.0       22.4 
100824  193144  47  43.1173 N  63  47.9540 W   3.5        2.4       13.5        7.0*      22.4 
100824  193145  47  43.1164 N  63  47.9544 W   3.5        2.4       13.5        7.0       22.4 
100824  193146  47  43.1154 N  63  47.9548 W   3.6        2.4       13.5        7.0        0.9*
100824  193147  47  43.1144 N  63  47.9553 W   3.6        2.4       13.5        7.0        0.9 
100824  193148  47  43.1133 N  63  47.9557 W   3.7        2.4       13.5        7.0        0.9 
100824  193149  47  43.1121 N  63  47.9562 W   3.8        2.4       13.5        3.7*       0.9 
100824  193150  47  43.1108 N  63  47.9568 W   4.0        2.4       13.5        3.7        0.9 
100824  193151  47  43.1094 N  63  47.9575 W   4.2        2.4       13.5        3.7        0.9 
100824  193152  47  43.1080 N  63  47.9582 W   4.4        2.4       13.5        3.7        0.9 
100824  193153  47  43.1065 N  63  47.9588 W   4.6        2.4       13.5        3.7        0.9 
100824  193154  47  43.1049 N  63  47.9595 W   4.8        2.4       13.5        3.7        0.9 
100824  193155  47  43.1032 N  63  47.9603 W   5.1        2.4       13.5        3.7        0.9 
100824  193156  47  43.1015 N  63  47.9611 W   5.3        2.4       13.5      134.5*       0.9 
100824  193157  47  43.0997 N  63  47.9620 W   5.5        2.4       13.5      134.5        0.9 
100824  193158  47  43.0979 N  63  47.9629 W   5.7        2.4       13.5      134.5        0.9 
100824  193159  47  43.0960 N  63  47.9638 W   6.0        2.4       13.5      134.5        0.9 
100824  193200  47  43.0941 N  63  47.9647 W   6.2        2.4       13.5      134.5        0.9 
100824  193201  47  43.0921 N  63  47.9656 W   6.4        2.4       13.5      134.5        0.9 
100824  193202  47  43.0902 N  63  47.9666 W   6.5        2.4       13.5      134.5        0.9 
100824  193203  47  43.0881 N  63  47.9675 W   6.7        2.4       13.5      134.5        0.9 
100824  193204  47  43.0861 N  63  47.9685 W   6.9        2.4       13.5      134.5        0.9 
100824  193205  47  43.0841 N  63  47.9695 W   7.0        2.4       13.5      134.5        0.9 
100824  193206  47  43.0820 N  63  47.9705 W   7.1        2.4       13.5      134.5        0.9 
100824  193207  47  43.0799 N  63  47.9715 W   7.3        2.4       13.5      134.5      380.1*
100824  193208  47  43.0778 N  63  47.9726 W   7.4        2.4       13.5      134.5      380.1 
100824  193209  47  43.0756 N  63  47.9736 W   7.5        2.4       13.5      134.5      380.1 
100824  193210  47  43.0735 N  63  47.9746 W   7.6        2.4       13.5      108.2*     380.1 
100824  193211  47  43.0714 N  63  47.9756 W   7.6        2.4       13.5      108.2      380.1 
100824  193212  47  43.0692 N  63  47.9766 W   7.7        2.4       13.5      108.2      380.1 
100824  193213  47  43.0671 N  63  47.9777 W   7.8        2.4       13.5      108.2      380.1 
100824  193214  47  43.0649 N  63  47.9788 W   7.8        2.4       13.5      108.2      380.1 
100824  193215  47  43.0627 N  63  47.9799 W   7.9        2.4       13.5        5.2*     380.1 
100824  193216  47  43.0605 N  63  47.9809 W   8.0        2.4       13.5        5.2      380.1 
100824  193217  47  43.0583 N  63  47.9820 W   8.0        2.4       13.5        5.2      380.1 
100824  193218  47  43.0561 N  63  47.9830 W   8.0        2.4       13.5        5.2      380.1 
100824  193219  47  43.0538 N  63  47.9839 W   8.1        2.4       13.5        5.2      380.1 
100824  193220  47  43.0516 N  63  47.9849 W   8.1        2.4       13.5        5.2      380.1 
100824  193221  47  43.0494 N  63  47.9859 W   8.1        2.4       13.5       56.4*     380.1 
100824  193222  47  43.0472 N  63  47.9868 W   8.2        2.4       13.5       56.4      380.1 
100824  193223  47  43.0449 N  63  47.9878 W   8.2        2.4       13.5       56.4      380.1 
100824  193224  47  43.0426 N  63  47.9887 W   8.2        2.4       13.5       56.4      380.1 
100824  193225  47  43.0404 N  63  47.9896 W   8.2        2.4       13.5       56.4      380.1 
100824  193226  47  43.0382 N  63  47.9904 W   8.2        2.4       13.5        0.2*     380.1 
100824  193227  47  43.0359 N  63  47.9912 W   8.2        2.4       13.5        0.2      380.1 
100824  193228  47  43.0337 N  63  47.9921 W   8.2        2.4       13.5        0.2      380.1 
100824  193229  47  43.0315 N  63  47.9929 W   8.3        2.4       13.5        0.2      380.1 
100824  193230  47  43.0292 N  63  47.9936 W   8.3        2.4       13.5        0.2      380.1 
100824  193231  47  43.0268 N  63  47.9943 W   8.3        2.4       13.5        0.2      380.1 
100824  193232  47  43.0245 N  63  47.9951 W   8.3        2.4       13.5        0.2      380.1 
100824  193233  47  43.0223 N  63  47.9958 W   8.3        2.4       13.5        0.2      380.1 
100824  193234  47  43.0201 N  63  47.9965 W   8.3        2.4       13.5        0.2      380.1 
100824  193235  47  43.0178 N  63  47.9972 W   8.3        2.4       13.5        0.2      380.1 
100824  193236  47  43.0155 N  63  47.9979 W   8.3        2.4       13.5        0.2      380.1 
100824  193237  47  43.0132 N  63  47.9986 W   8.3        2.4       13.5        0.2      380.1 
100824  193238  47  43.0109 N  63  47.9994 W   8.3        2.4       13.5        0.2      380.1 
100824  193239  47  43.0086 N  63  48.0001 W   8.3        2.4       13.5        0.2      380.1 
100824  193240  47  43.0063 N  63  48.0007 W   8.3        2.4       13.5        0.2      380.1 
100824  193241  47  43.0041 N  63  48.0013 W   8.3        2.4       13.5        4.8*     380.1 
100824  193242  47  43.0018 N  63  48.0020 W   8.3        2.4       13.5        4.8      380.1 
100824  193243  47  42.9995 N  63  48.0027 W   8.3        2.4       13.5        4.8      380.1 
100824  193244  47  42.9972 N  63  48.0033 W   8.3        2.4       13.5        4.8      380.1 
100824  193245  47  42.9949 N  63  48.0040 W   8.3        2.4       13.5        4.8      380.1 
100824  193246  47  42.9927 N  63  48.0046 W   8.3        2.4       13.5        4.8      380.1 
100824  193247  47  42.9904 N  63  48.0052 W   8.3        2.4       13.5       22.0*     380.1 
100824  193248  47  42.9881 N  63  48.0058 W   8.3        2.4       13.5       22.0      380.1 
100824  193249  47  42.9859 N  63  48.0064 W   8.3        2.4       13.5       22.0      380.1 
100824  193250  47  42.9836 N  63  48.0071 W   8.3        2.4       13.5       22.0      380.1 
