FileName: C:\TESTNE~1\GP127F.TXT
Local Time: Sat Aug 21 18:51:06 2010

Ship: August 21, 2010 Trip: GP127F Tow: 10
Comments: Zone 12 ouest du banc orphelin
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
100821  215108  48  24.7506 N  63  31.6891 W   6.6       10.2*       8.5*      65.6*     199.7*
100821  215109  48  24.7490 N  63  31.6907 W   6.6       10.2        8.5       65.6      199.7 
100821  215110  48  24.7473 N  63  31.6924 W   6.7       10.2        8.5       65.6      199.7 
100821  215111  48  24.7456 N  63  31.6943 W   6.8       10.2        8.5       65.6      199.7 
100821  215112  48  24.7440 N  63  31.6962 W   6.9       10.2        8.5       65.6      199.7 
100821  215113  48  24.7423 N  63  31.6981 W   7.0       10.2        8.5       65.6      199.7 
100821  215114  48  24.7406 N  63  31.6999 W   7.1       10.2        8.5       65.6      199.7 
100821  215115  48  24.7389 N  63  31.7015 W   7.1       10.2        8.5       65.6      199.7 
100821  215116  48  24.7371 N  63  31.7032 W   7.2       10.2        8.5       65.6      199.7 
100821  215117  48  24.7355 N  63  31.7048 W   7.1       10.2        8.5       65.6      199.7 
100821  215118  48  24.7339 N  63  31.7068 W   7.2       10.2        8.5       65.6      199.7 
100821  215119  48  24.7323 N  63  31.7087 W   7.2       10.2        8.5       65.6      199.7 
100821  215120  48  24.7307 N  63  31.7105 W   7.2       10.2        8.5       65.6      199.7 
100821  215121  48  24.7290 N  63  31.7122 W   7.2       10.2        8.5       65.6      199.7 
100821  215122  48  24.7273 N  63  31.7139 W   7.2       10.2        8.5       65.6      199.7 
100821  215123  48  24.7256 N  63  31.7156 W   7.2       10.2        8.5       65.6      199.7 
100821  215124  48  24.7240 N  63  31.7174 W   7.2       10.2        8.5       65.6      199.7 
100821  215125  48  24.7224 N  63  31.7192 W   7.2       10.2        8.5       65.6      199.7 
100821  215126  48  24.7208 N  63  31.7210 W   7.2       10.2        8.5       65.6      199.7 
100821  215127  48  24.7192 N  63  31.7228 W   7.2       10.2        8.5       65.6      199.7 
100821  215128  48  24.7176 N  63  31.7246 W   7.2       10.2        8.5       65.6      199.7 
100821  215129  48  24.7159 N  63  31.7263 W   7.2       10.2        8.5       65.6      199.7 
100821  215130  48  24.7143 N  63  31.7279 W   7.2       10.2        8.5       65.6      199.7 
100821  215131  48  24.7128 N  63  31.7295 W   7.1       10.2        8.5       65.6      199.7 
100821  215132  48  24.7113 N  63  31.7312 W   7.0       10.2        8.5       65.6      199.7 
100821  215133  48  24.7099 N  63  31.7328 W   6.9       10.2        8.5       65.6      199.7 
100821  215134  48  24.7085 N  63  31.7342 W   6.8       10.2        8.5       65.6      199.7 
100821  215135  48  24.7072 N  63  31.7356 W   6.6       10.2        8.5       65.6      199.7 
100821  215136  48  24.7060 N  63  31.7371 W   6.4       10.2        8.5       65.6      199.7 
100821  215137  48  24.7048 N  63  31.7384 W   6.2       10.2        8.5       65.6      199.7 
100821  215138  48  24.7037 N  63  31.7396 W   6.0       10.2        8.5       65.6      199.7 
100821  215139  48  24.7025 N  63  31.7406 W   5.9       10.2        8.5       65.6      199.7 
100821  215140  48  24.7014 N  63  31.7417 W   5.7       10.2        8.5       65.6      199.7 
100821  215141  48  24.7005 N  63  31.7429 W   5.5       10.2        8.5       65.6      199.7 
100821  215142  48  24.6995 N  63  31.7442 W   5.3       10.2        8.5       65.6      199.7 
100821  215143  48  24.6985 N  63  31.7452 W   5.2       10.2        8.5       65.6      199.7 
100821  215144  48  24.6976 N  63  31.7461 W   5.0       10.2        8.5       65.6      199.7 
100821  215145  48  24.6967 N  63  31.7470 W   4.9       10.2        8.5       65.6      199.7 
100821  215146  48  24.6958 N  63  31.7482 W   4.7       10.2        8.5       65.6      199.7 
100821  215147  48  24.6949 N  63  31.7491 W   4.6       10.2        8.5       65.6      199.7 
100821  215148  48  24.6941 N  63  31.7500 W   4.5       10.2        8.5       65.6      199.7 
100821  215149  48  24.6933 N  63  31.7509 W   4.3       10.2        8.5       65.6      199.7 
100821  215150  48  24.6925 N  63  31.7518 W   4.3       10.2        8.5       65.6      199.7 
100821  215151  48  24.6917 N  63  31.7527 W   4.2       10.2        8.5       65.6      199.7 
100821  215152  48  24.6910 N  63  31.7536 W   4.1       10.2        8.5       65.6      199.7 
100821  215153  48  24.6902 N  63  31.7545 W   4.0       10.2        8.5       65.6      199.7 
100821  215154  48  24.6895 N  63  31.7552 W   3.9       10.2        8.5       65.6      199.7 
100821  215155  48  24.6888 N  63  31.7560 W   3.8       10.2        8.5       65.6      199.7 
100821  215156  48  24.6882 N  63  31.7569 W   3.7       10.2        8.5       65.6      199.7 
100821  215157  48  24.6875 N  63  31.7577 W   3.6       10.2        8.5       65.6      199.7 
100821  215158  48  24.6868 N  63  31.7584 W   3.5       10.2        8.5       65.6      199.7 
100821  215159  48  24.6861 N  63  31.7592 W   3.5       10.2        8.5       65.6      199.7 
100821  215200  48  24.6855 N  63  31.7599 W   3.4       10.2        2.2*       2.5*     199.7 
100821  215201  48  24.6848 N  63  31.7607 W   3.3       10.2        2.2        2.5      199.7 
100821  215202  48  24.6842 N  63  31.7615 W   3.3       10.2        2.2        2.5      199.7 
100821  215203  48  24.6835 N  63  31.7622 W   3.2       10.2        2.2        2.5      199.7 
100821  215204  48  24.6829 N  63  31.7629 W   3.2       10.2        2.2        2.5      199.7 
