FileName: C:\TESTNE~1\GP139F.TXT
Local Time: Sat Aug 07 10:23:29 2010

Ship: August 07, 2010 Trip: GP139F Tow: 4
Comments: Zone 12 entre banc orphelin et grenade sous marines
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
100807  132330  48  17.2652 N  62  29.4150 W   6.6        5.6*       8.0*      76.2*     524.3*
100807  132331  48  17.2651 N  62  29.4120 W   6.7        5.6        8.0       76.2      524.3 
100807  132332  48  17.2651 N  62  29.4091 W   6.7        5.6        8.0       76.2      524.3 
100807  132333  48  17.2651 N  62  29.4063 W   6.7        5.6        8.0       76.2      524.3 
100807  132334  48  17.2650 N  62  29.4035 W   6.7        5.6        8.0       76.2      524.3 
100807  132335  48  17.2649 N  62  29.4007 W   6.7        5.6        8.0       76.2      524.3 
100807  132336  48  17.2647 N  62  29.3980 W   6.7        5.6        8.0       76.2      524.3 
100807  132337  48  17.2647 N  62  29.3953 W   6.6        5.6        8.0       76.2      524.3 
100807  132338  48  17.2647 N  62  29.3927 W   6.5        5.6        8.0       76.2      524.3 
100807  132339  48  17.2648 N  62  29.3902 W   6.5        5.6        8.0       76.2      524.3 
100807  132340  48  17.2648 N  62  29.3877 W   6.4        5.6        8.0       76.2      524.3 
100807  132341  48  17.2647 N  62  29.3853 W   6.3        5.6        8.0       76.2      524.3 
100807  132342  48  17.2646 N  62  29.3830 W   6.1        5.6        8.0       76.2      524.3 
100807  132343  48  17.2646 N  62  29.3809 W   5.9        5.6        8.0       76.2      524.3 
100807  132344  48  17.2646 N  62  29.3787 W   5.7        5.6        8.0       76.2      524.3 
100807  132345  48  17.2646 N  62  29.3767 W   5.6        5.6        8.0       76.2      524.3 
100807  132346  48  17.2645 N  62  29.3748 W   5.4        5.6        8.0       76.2      524.3 
100807  132347  48  17.2644 N  62  29.3728 W   5.3        5.6        8.0       76.2      524.3 
100807  132348  48  17.2642 N  62  29.3710 W   5.1        5.6        8.0       76.2      524.3 
100807  132349  48  17.2642 N  62  29.3693 W   5.0        5.6        8.0       76.2      524.3 
100807  132350  48  17.2643 N  62  29.3676 W   4.8        5.6        8.0       76.2      524.3 
100807  132351  48  17.2642 N  62  29.3660 W   4.7        5.6        8.0       76.2      524.3 
100807  132352  48  17.2640 N  62  29.3643 W   4.6        5.6        8.0       76.2      524.3 
100807  132353  48  17.2639 N  62  29.3626 W   4.5        5.6        8.0       76.2      524.3 
100807  132354  48  17.2638 N  62  29.3609 W   4.4        5.6        8.0       76.2      524.3 
100807  132355  48  17.2638 N  62  29.3592 W   4.4        5.6        8.0       76.2      524.3 
100807  132356  48  17.2637 N  62  29.3575 W   4.3        5.6        8.0       76.2      524.3 
100807  132357  48  17.2636 N  62  29.3560 W   4.2        5.6        8.0       76.2      524.3 
100807  132358  48  17.2635 N  62  29.3545 W   4.1        5.6        8.0       76.2      524.3 
100807  132359  48  17.2634 N  62  29.3529 W   4.0        5.6        8.0       76.2      524.3 
100807  132400  48  17.2634 N  62  29.3513 W   4.0        5.6        8.0       76.2      524.3 
100807  132401  48  17.2634 N  62  29.3498 W   3.9        5.6        8.0       76.2      524.3 
100807  132402  48  17.2633 N  62  29.3483 W   3.9        5.6        8.0       76.2      524.3 
100807  132403  48  17.2631 N  62  29.3468 W   3.8        5.6        8.0       76.2      524.3 
100807  132404  48  17.2630 N  62  29.3453 W   3.8        5.6        8.0       76.2      524.3 
100807  132405  48  17.2629 N  62  29.3440 W   3.7        5.6        8.0       76.2      524.3 
100807  132406  48  17.2629 N  62  29.3426 W   3.6        5.6        8.0       76.2      524.3 
100807  132407  48  17.2629 N  62  29.3412 W   3.6        5.6        8.0       76.2      524.3 
100807  132408  48  17.2629 N  62  29.3399 W   3.5        5.6        8.0       76.2      524.3 
