FileName: C:\TESTNE~1\GP154F.TXT
Local Time: Sun Aug 22 16:25:17 2010

Ship: August 22, 2010 Trip: GP154F Tow: 07
Comments: Zone 12 vallee de shediac nord
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
100822  192519  47  57.9784 N  63  55.2211 W   6.6        6.7*       3.6*     134.8*      19.8*
100822  192520  47  57.9768 N  63  55.2221 W   6.6        6.7        3.6      134.8       19.8 
100822  192521  47  57.9751 N  63  55.2230 W   6.5        6.7        3.6      134.8       19.8 
100822  192522  47  57.9735 N  63  55.2241 W   6.5        6.7        3.6      134.8       19.8 
100822  192523  47  57.9719 N  63  55.2252 W   6.5        6.7        3.6      134.8       19.8 
100822  192524  47  57.9702 N  63  55.2264 W   6.5        6.7        3.6      134.8       19.8 
100822  192525  47  57.9687 N  63  55.2274 W   6.4        6.7        3.6      134.8       19.8 
100822  192526  47  57.9671 N  63  55.2283 W   6.4        6.7        3.6      134.8       19.8 
100822  192527  47  57.9657 N  63  55.2292 W   6.2        6.7        3.6      134.8       19.8 
100822  192528  47  57.9643 N  63  55.2300 W   6.1        6.7        3.6      134.8       19.8 
100822  192529  47  57.9629 N  63  55.2308 W   5.9        6.7        3.6      134.8       19.8 
100822  192530  47  57.9616 N  63  55.2313 W   5.8        6.7        3.6      134.8       19.8 
100822  192531  47  57.9603 N  63  55.2320 W   5.7        6.7        3.6      134.8       19.8 
100822  192532  47  57.9591 N  63  55.2327 W   5.5        6.7        3.6      134.8       19.8 
100822  192533  47  57.9580 N  63  55.2335 W   5.3        6.7        3.6      134.8       19.8 
100822  192534  47  57.9570 N  63  55.2341 W   5.1        6.7        3.6      134.8       19.8 
100822  192535  47  57.9560 N  63  55.2346 W   4.9        6.7        3.6      134.8       19.8 
100822  192536  47  57.9550 N  63  55.2351 W   4.8        6.7        3.6      134.8       19.8 
100822  192537  47  57.9540 N  63  55.2357 W   4.6        6.7        3.6      134.8       19.8 
100822  192538  47  57.9531 N  63  55.2362 W   4.4        6.7        3.6      134.8       19.8 
100822  192539  47  57.9522 N  63  55.2367 W   4.3        6.7        3.6      134.8       19.8 
100822  192540  47  57.9513 N  63  55.2373 W   4.2        6.7        3.6      134.8       19.8 
100822  192541  47  57.9504 N  63  55.2377 W   4.0        6.7        3.6      134.8       19.8 
100822  192542  47  57.9496 N  63  55.2381 W   3.9        6.7        3.6      134.8       19.8 
100822  192543  47  57.9488 N  63  55.2385 W   3.8        6.7        3.6      134.8       19.8 
100822  192544  47  57.9479 N  63  55.2390 W   3.7        6.7        3.6      134.8       19.8 
100822  192545  47  57.9471 N  63  55.2395 W   3.7        6.7        3.6      134.8       19.8 
100822  192546  47  57.9463 N  63  55.2398 W   3.5        6.7        3.6      134.8       19.8 
