FileName: C:\TESTNE~1\G185F.TXT
Local Time: Sat Jul 10 07:03:42 2010

Ship: July 10, 2010 Trip: GP185F Tow: 2
Comments: Zone 12 nord de l ile biron
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
100710  100344  47  59.4253 N  61  37.8608 W   7.5        4.3*       2.6*     123.0*     123.2*
100710  100345  47  59.4272 N  61  37.8594 W   7.5        4.3        2.6      123.0      123.2 
100710  100346  47  59.4291 N  61  37.8581 W   7.5        4.3        2.6      123.0      123.2 
100710  100347  47  59.4309 N  61  37.8567 W   7.5        4.3        2.6      123.0      123.2 
100710  100348  47  59.4327 N  61  37.8552 W   7.5        4.3        2.6      123.0      123.2 
100710  100349  47  59.4346 N  61  37.8539 W   7.5        4.3        2.6      123.0      123.2 
100710  100350  47  59.4364 N  61  37.8525 W   7.4        4.3        2.6      123.0      123.2 
100710  100351  47  59.4382 N  61  37.8512 W   7.4        4.3        2.6      123.0      123.2 
100710  100352  47  59.4399 N  61  37.8500 W   7.3        4.3        2.6      123.0      123.2 
100710  100353  47  59.4415 N  61  37.8488 W   7.1        4.3        2.6      123.0      123.2 
100710  100354  47  59.4430 N  61  37.8476 W   7.0        4.3        2.6      123.0      123.2 
100710  100355  47  59.4445 N  61  37.8463 W   6.8        4.3        2.6      123.0      123.2 
100710  100356  47  59.4458 N  61  37.8450 W   6.6        4.3        2.6      123.0      123.2 
100710  100357  47  59.4472 N  61  37.8437 W   6.5        4.3        2.6      123.0      123.2 
100710  100358  47  59.4485 N  61  37.8425 W   6.3        4.3        2.6      123.0      123.2 
100710  100359  47  59.4497 N  61  37.8413 W   6.1        4.3        2.6      123.0      123.2 
100710  100400  47  59.4508 N  61  37.8402 W   5.9        4.3        2.6      123.0      123.2 
100710  100401  47  59.4519 N  61  37.8391 W   5.7        4.3        2.6      123.0      123.2 
100710  100402  47  59.4530 N  61  37.8381 W   5.5        4.3        2.6      123.0      123.2 
100710  100403  47  59.4541 N  61  37.8370 W   5.4        4.3        2.6      123.0      123.2 
100710  100404  47  59.4551 N  61  37.8359 W   5.2        4.3        2.6      123.0      123.2 
100710  100405  47  59.4560 N  61  37.8349 W   5.1        4.3        2.6      123.0      123.2 
100710  100406  47  59.4570 N  61  37.8339 W   4.9        4.3        2.6      123.0      123.2 
100710  100407  47  59.4579 N  61  37.8330 W   4.8        4.3        2.6      123.0      123.2 
100710  100408  47  59.4589 N  61  37.8319 W   4.7        4.3        2.6      123.0      123.2 
100710  100409  47  59.4598 N  61  37.8309 W   4.6        4.3        2.6      123.0      123.2 
100710  100410  47  59.4607 N  61  37.8300 W   4.5        4.3        2.6      123.0      123.2 
100710  100411  47  59.4616 N  61  37.8290 W   4.4        4.3        2.6      123.0      123.2 
100710  100412  47  59.4625 N  61  37.8280 W   4.3        4.3        2.6      123.0      123.2 
100710  100413  47  59.4634 N  61  37.8271 W   4.3        4.3        2.6      123.0      123.2 
100710  100414  47  59.4642 N  61  37.8262 W   4.2        4.3        2.6      123.0      123.2 
100710  100415  47  59.4651 N  61  37.8254 W   4.1        4.3        2.6      123.0      123.2 
100710  100416  47  59.4659 N  61  37.8245 W   4.0        4.3        2.6      123.0      123.2 
100710  100417  47  59.4667 N  61  37.8236 W   4.0        4.3        2.6      123.0      123.2 
100710  100418  47  59.4676 N  61  37.8227 W   3.9        4.3        2.6        4.7*     123.2 
100710  100419  47  59.4683 N  61  37.8219 W   3.8        4.3        2.6        4.7      123.2 
100710  100420  47  59.4691 N  61  37.8211 W   3.8        4.3        2.6        4.7      123.2 
100710  100421  47  59.4699 N  61  37.8203 W   3.7        4.3        2.6        4.7      123.2 
100710  100422  47  59.4707 N  61  37.8196 W   3.7        4.3        2.6        4.7      123.2 
100710  100423  47  59.4714 N  61  37.8189 W   3.6        4.3        2.6        1.3*     123.2 
100710  100424  47  59.4721 N  61  37.8182 W   3.5        4.3        2.6        1.3      123.2 
100710  100425  47  59.4728 N  61  37.8173 W   3.5        4.3        2.6        1.3      123.2 
100710  100426  47  59.4736 N  61  37.8165 W   3.5        4.3        2.6        1.3      123.2 
100710  100427  47  59.4743 N  61  37.8157 W   3.4        4.3        2.6        1.3      123.2 
100710  100428  47  59.4750 N  61  37.8150 W   3.4        4.3       12.3*      12.8*     123.2 
100710  100429  47  59.4759 N  61  37.8143 W   3.4        4.3       12.3       12.8      123.2 
100710  100430  47  59.4767 N  61  37.8133 W   3.4        4.3       12.3       12.8      123.2 
100710  100431  47  59.4775 N  61  37.8125 W   3.5        4.3       12.3       12.8      123.2 
100710  100432  47  59.4784 N  61  37.8116 W   3.5        4.3       12.3       12.8       97.2*
100710  100433  47  59.4794 N  61  37.8107 W   3.7        4.3       12.3       12.8       97.2 
100710  100434  47  59.4805 N  61  37.8098 W   3.8        4.3       12.3       12.8       97.2 
100710  100435  47  59.4816 N  61  37.8088 W   4.0        4.3       12.3       12.8       97.2 
100710  100436  47  59.4829 N  61  37.8079 W   4.2        4.3       12.3       12.8       97.2 
100710  100437  47  59.4842 N  61  37.8069 W   4.3        4.3       12.3       12.8       97.2 
100710  100438  47  59.4855 N  61  37.8058 W   4.5        4.3       12.3       12.8       97.2 
100710  100439  47  59.4869 N  61  37.8046 W   4.7        4.3       12.3       12.8       97.2 
100710  100440  47  59.4882 N  61  37.8034 W   4.9        4.3       12.3       12.8       97.2 
100710  100441  47  59.4897 N  61  37.8023 W   5.1        4.3       12.3       12.8       97.2 
100710  100442  47  59.4913 N  61  37.8012 W   5.2        4.3       12.3       12.8       97.2 
100710  100443  47  59.4929 N  61  37.8000 W   5.4        4.3       12.3       12.8       97.2 
100710  100444  47  59.4945 N  61  37.7987 W   5.6        4.3       12.3       12.8       97.2 
100710  100445  47  59.4962 N  61  37.7973 W   5.8        4.3       12.3       12.8       97.2 
100710  100446  47  59.4978 N  61  37.7961 W   5.9        4.3       12.3       12.8       97.2 
100710  100447  47  59.4994 N  61  37.7948 W   6.0        4.3       12.3       12.8      201.0*
100710  100448  47  59.5010 N  61  37.7936 W   6.1        4.3       12.3       12.8      201.0 
100710  100449  47  59.5027 N  61  37.7924 W   6.2        4.3       12.3       12.8      201.0 
100710  100450  47  59.5045 N  61  37.7910 W   6.3        4.3       12.3       12.8      201.0 
100710  100451  47  59.5063 N  61  37.7894 W   6.5        4.3       12.3       12.8      201.0 
100710  100452  47  59.5082 N  61  37.7878 W   6.7        4.3       12.3       12.8      201.0 
100710  100453  47  59.5100 N  61  37.7863 W   6.8        4.3       12.3       12.8      201.0 
100710  100454  47  59.5118 N  61  37.7850 W   6.9        4.3       12.3       12.8      201.0 
100710  100455  47  59.5136 N  61  37.7838 W   6.9        4.3       12.3       12.8      201.0 
100710  100456  47  59.5154 N  61  37.7825 W   6.9        4.3       12.3       12.8      201.0 
100710  100457  47  59.5171 N  61  37.7810 W   7.0        4.3       12.3       12.8      201.0 
100710  100458  47  59.5190 N  61  37.7793 W   7.1        4.3       12.3       12.8      201.0 
100710  100459  47  59.5209 N  61  37.7775 W   7.2        4.3       12.3        6.7*     201.0 
100710  100500  47  59.5228 N  61  37.7757 W   7.4        4.3       12.3        6.7      201.0 
100710  100501  47  59.5248 N  61  37.7741 W   7.5        4.3       12.3        6.7      201.0 
100710  100502  47  59.5267 N  61  37.7727 W   7.5        4.3       12.3        6.7      201.0 
100710  100503  47  59.5286 N  61  37.7713 W   7.5        4.3       12.3        6.7      201.0 
100710  100504  47  59.5305 N  61  37.7701 W   7.5        4.3       12.3        6.7      201.0 
100710  100505  47  59.5324 N  61  37.7686 W   7.5        4.3       12.3        6.7      201.0 
100710  100506  47  59.5343 N  61  37.7670 W   7.5        4.3       12.3        6.7      201.0 
100710  100507  47  59.5361 N  61  37.7653 W   7.6        4.3       12.3        6.7      201.0 
100710  100508  47  59.5381 N  61  37.7637 W   7.6        4.3       12.3        6.7      201.0 
100710  100509  47  59.5400 N  61  37.7622 W   7.7        4.3       12.3        6.7      201.0 
100710  100510  47  59.5419 N  61  37.7607 W   7.7        4.3       12.3        6.7      201.0 
100710  100511  47  59.5439 N  61  37.7593 W   7.7        4.3       12.3        6.7      201.0 
