FileName: C:\TESTNE~1\GP189F.TXT
Local Time: Sun Aug 08 08:00:43 2010

Ship: August 08, 2010 Trip: GP189F Tow: 02
Comments: Zone 12 sud ouest des grenades sous marines
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
100808  110046  48   4.5115 N  62  18.8707 W   6.3        7.8*      10.0*     146.5*     231.4*
100808  110047  48   4.5126 N  62  18.8682 W   6.4        7.8       10.0      146.5      231.4 
100808  110048  48   4.5137 N  62  18.8657 W   6.5        7.8       10.0      146.5      231.4 
100808  110049  48   4.5150 N  62  18.8635 W   6.6        7.8       10.0      146.5      231.4 
100808  110050  48   4.5162 N  62  18.8611 W   6.7        7.8       10.0      146.5      231.4 
100808  110051  48   4.5174 N  62  18.8587 W   6.8        7.8       10.0      146.5      231.4 
100808  110052  48   4.5185 N  62  18.8562 W   6.8        7.8       10.0      146.5      231.4 
100808  110053  48   4.5197 N  62  18.8538 W   6.9        7.8       10.0      146.5      231.4 
100808  110054  48   4.5210 N  62  18.8514 W   6.9        7.8       10.0      146.5      231.4 
100808  110055  48   4.5223 N  62  18.8490 W   7.0        7.8       10.0      146.5      231.4 
100808  110056  48   4.5236 N  62  18.8465 W   7.1        7.8       10.0      146.5      231.4 
100808  110057  48   4.5248 N  62  18.8438 W   7.1        7.8       10.0      146.5      231.4 
100808  110058  48   4.5260 N  62  18.8413 W   7.1        7.8       10.0      146.5      231.4 
100808  110059  48   4.5271 N  62  18.8390 W   7.1        7.8       10.0      146.5      231.4 
100808  110100  48   4.5283 N  62  18.8367 W   7.1        7.8       10.0      146.5      231.4 
100808  110101  48   4.5296 N  62  18.8345 W   7.0        7.8       10.0      146.5      231.4 
100808  110102  48   4.5307 N  62  18.8323 W   7.0        7.8       10.0      146.5      231.4 
100808  110103  48   4.5318 N  62  18.8301 W   6.9        7.8       10.0      146.5      231.4 
100808  110104  48   4.5328 N  62  18.8279 W   6.8        7.8       10.0      146.5      231.4 
100808  110105  48   4.5337 N  62  18.8259 W   6.7        7.8       10.0      146.5      231.4 
100808  110106  48   4.5347 N  62  18.8241 W   6.5        7.8       10.0      146.5      231.4 
100808  110107  48   4.5356 N  62  18.8224 W   6.3        7.8       10.0      146.5      231.4 
100808  110108  48   4.5365 N  62  18.8206 W   6.2        7.8       10.0      146.5      231.4 
100808  110109  48   4.5373 N  62  18.8190 W   6.0        7.8       10.0      146.5      231.4 
100808  110110  48   4.5381 N  62  18.8173 W   5.8        7.8       10.0      146.5      231.4 
100808  110111  48   4.5389 N  62  18.8157 W   5.6        7.8       10.0      146.5      231.4 
100808  110112  48   4.5397 N  62  18.8143 W   5.4        7.8       10.0      146.5      231.4 
100808  110113  48   4.5404 N  62  18.8130 W   5.2        7.8       10.0      146.5      231.4 
100808  110114  48   4.5411 N  62  18.8116 W   5.1        7.8       10.0      146.5      231.4 
100808  110115  48   4.5418 N  62  18.8102 W   4.9        7.8       10.0      146.5      231.4 
100808  110116  48   4.5424 N  62  18.8088 W   4.7        7.8       10.0      146.5      231.4 
100808  110117  48   4.5430 N  62  18.8075 W   4.6        7.8       10.0      146.5      231.4 
100808  110118  48   4.5437 N  62  18.8063 W   4.5        7.8       10.0      146.5      231.4 
100808  110119  48   4.5444 N  62  18.8052 W   4.3        7.8       10.0      146.5      231.4 
100808  110120  48   4.5451 N  62  18.8040 W   4.2        7.8       10.0      146.5      231.4 
100808  110121  48   4.5457 N  62  18.8028 W   4.2        7.8       10.0      146.5      231.4 
100808  110122  48   4.5462 N  62  18.8014 W   4.1        7.8       10.0      146.5      231.4 
100808  110123  48   4.5468 N  62  18.8003 W   3.9        7.8       10.0      146.5      231.4 
100808  110124  48   4.5474 N  62  18.7993 W   3.9        7.8       10.0      146.5      231.4 
100808  110125  48   4.5481 N  62  18.7984 W   3.8        7.8       10.0      146.5      231.4 
100808  110126  48   4.5487 N  62  18.7973 W   3.7        7.8       10.0      146.5      231.4 
100808  110127  48   4.5492 N  62  18.7960 W   3.6        7.8       10.0      146.5      231.4 
100808  110128  48   4.5496 N  62  18.7949 W   3.6        7.8       10.0      146.5      231.4 
100808  110129  48   4.5502 N  62  18.7939 W   3.5        7.8       10.0      146.5      231.4 
100808  110130  48   4.5509 N  62  18.7930 W   3.4        7.8       10.0      146.5      231.4 
100808  110131  48   4.5516 N  62  18.7920 W   3.4        7.8       10.0      146.5      231.4 
100808  110132  48   4.5520 N  62  18.7910 W   3.4        7.8       10.0      146.5      231.4 
100808  110133  48   4.5525 N  62  18.7898 W   3.3        7.8       10.0        7.3*     231.4 
100808  110134  48   4.5529 N  62  18.7886 W   3.3        7.8       10.0        7.3      231.4 
100808  110135  48   4.5534 N  62  18.7877 W   3.3        7.8       10.0        7.3      231.4 
100808  110136  48   4.5541 N  62  18.7867 W   3.2        7.8       10.0        7.3      231.4 
100808  110137  48   4.5547 N  62  18.7857 W   3.2        7.8       10.0        7.3      231.4 
100808  110138  48   4.5551 N  62  18.7845 W   3.2        7.8       10.0        3.0*     231.4 
100808  110139  48   4.5556 N  62  18.7834 W   3.1        7.8       10.0        3.0      231.4 
100808  110140  48   4.5560 N  62  18.7825 W   3.1        7.8       10.0        3.0      231.4 
100808  110141  48   4.5565 N  62  18.7815 W   3.1        7.8       10.0        3.0      231.4 
100808  110142  48   4.5570 N  62  18.7805 W   3.1        7.8       10.0        3.0      231.4 
100808  110143  48   4.5574 N  62  18.7795 W   3.1        7.8       10.0        3.0      231.4 
100808  110144  48   4.5578 N  62  18.7785 W   3.0        7.8       10.0        3.0      231.4 
100808  110145  48   4.5581 N  62  18.7775 W   3.0        7.8       10.0        3.0      231.4 
100808  110146  48   4.5585 N  62  18.7765 W   3.0        7.8       10.0        3.0      231.4 
