FileName: C:\TESTNE~1\GP232F.TXT
Local Time: Wed Sep 08 09:38:28 2010

Ship: September 08, 2010 Trip: GP232F Tow: 05
Comments: Zone 12 pres de mabou ns
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
100908  123830  46  12.4656 N  61  43.3395 W   7.1       13.5*       9.8*      33.6*       2.6*
100908  123831  46  12.4638 N  61  43.3381 W   7.1       13.5        9.8       33.6        2.6 
100908  123832  46  12.4619 N  61  43.3366 W   7.2       13.5        9.8       33.6        2.6 
100908  123833  46  12.4603 N  61  43.3352 W   7.2       13.5        9.8       33.6        2.6 
100908  123834  46  12.4585 N  61  43.3338 W   7.3       13.5        9.8       33.6        2.6 
100908  123835  46  12.4567 N  61  43.3324 W   7.3       13.5        9.8       33.6        2.6 
100908  123836  46  12.4548 N  61  43.3310 W   7.4       13.5        9.8       33.6        2.6 
100908  123837  46  12.4528 N  61  43.3295 W   7.4       13.5        9.8       33.6        2.6 
100908  123838  46  12.4509 N  61  43.3280 W   7.5       13.5        9.8       33.6        2.6 
100908  123839  46  12.4492 N  61  43.3265 W   7.5       13.5        9.8       33.6        2.6 
100908  123840  46  12.4474 N  61  43.3250 W   7.4       13.5        9.8       33.6        2.6 
100908  123841  46  12.4458 N  61  43.3236 W   7.4       13.5        9.8       33.6        2.6 
100908  123842  46  12.4441 N  61  43.3222 W   7.2       13.5        9.8       33.6        2.6 
100908  123843  46  12.4425 N  61  43.3210 W   7.1       13.5        9.8       33.6        2.6 
100908  123844  46  12.4409 N  61  43.3198 W   7.0       13.5        9.8       33.6        2.6 
100908  123845  46  12.4394 N  61  43.3186 W   6.8       13.5        9.8       33.6        2.6 
100908  123846  46  12.4380 N  61  43.3174 W   6.6       13.5        9.8       33.6        2.6 
100908  123847  46  12.4366 N  61  43.3163 W   6.5       13.5        9.8       33.6        2.6 
100908  123848  46  12.4352 N  61  43.3153 W   6.3       13.5        9.8       33.6        2.6 
100908  123849  46  12.4340 N  61  43.3143 W   6.1       13.5        9.8       33.6        2.6 
100908  123850  46  12.4329 N  61  43.3133 W   5.9       13.5        9.8       33.6        2.6 
100908  123851  46  12.4317 N  61  43.3124 W   5.7       13.5        9.8       33.6        2.6 
100908  123852  46  12.4306 N  61  43.3114 W   5.5       13.5        9.8       33.6        2.6 
100908  123853  46  12.4295 N  61  43.3106 W   5.4       13.5        9.8       33.6        2.6 
100908  123854  46  12.4283 N  61  43.3098 W   5.2       13.5        9.8       33.6        2.6 
100908  123855  46  12.4272 N  61  43.3089 W   5.1       13.5        9.8       33.6        2.6 
100908  123856  46  12.4262 N  61  43.3080 W   5.0       13.5        9.8       33.6        2.6 
100908  123857  46  12.4251 N  61  43.3071 W   4.9       13.5        9.8       33.6        2.6 
100908  123858  46  12.4242 N  61  43.3064 W   4.7       13.5        9.8       33.6        2.6 
100908  123859  46  12.4233 N  61  43.3057 W   4.6       13.5        9.8       33.6        2.6 
100908  123900  46  12.4225 N  61  43.3050 W   4.5       13.5        9.8       33.6        2.6 
100908  123901  46  12.4217 N  61  43.3042 W   4.4       13.5        9.8       33.6        2.6 
100908  123902  46  12.4206 N  61  43.3034 W   4.4       13.5        9.8       33.6        2.6 
100908  123903  46  12.4196 N  61  43.3026 W   4.3       13.5        9.8       33.6        2.6 
100908  123904  46  12.4186 N  61  43.3019 W   4.3       13.5        9.8       33.6        2.6 
100908  123905  46  12.4177 N  61  43.3012 W   4.2       13.5        9.8       33.6        2.6 
100908  123906  46  12.4168 N  61  43.3005 W   4.0       13.5        9.8       33.6        2.6 
100908  123907  46  12.4160 N  61  43.2997 W   3.9       13.5        9.8       33.6        8.4*
100908  123908  46  12.4152 N  61  43.2990 W   3.9       13.5        9.8       17.6*       8.4 
100908  123909  46  12.4147 N  61  43.2986 W   3.8       13.5        9.8       17.6        8.4 
100908  123910  46  12.4139 N  61  43.2980 W   3.8       13.5        9.8       17.6        8.4 
100908  123911  46  12.4131 N  61  43.2973 W   3.7       13.5        9.8       17.6        8.4 
100908  123912  46  12.4123 N  61  43.2967 W   3.7       13.5        9.8       17.6       10.6*
100908  123913  46  12.4116 N  61  43.2961 W   3.6       13.5        9.8        2.4*      10.6 
100908  123914  46  12.4109 N  61  43.2954 W   3.5       13.5        9.8        2.4       10.6 
100908  123915  46  12.4102 N  61  43.2948 W   3.4       13.5        9.8        2.4       10.6 
100908  123916  46  12.4096 N  61  43.2943 W   3.4       13.5        9.8        2.4       10.6 
100908  123917  46  12.4087 N  61  43.2936 W   3.4       13.5        9.8        2.4       20.2*
100908  123918  46  12.4079 N  61  43.2930 W   3.4       13.5        9.8        7.3*      20.2 
100908  123919  46  12.4071 N  61  43.2923 W   3.4       13.5        9.8        7.3       20.2 
100908  123920  46  12.4063 N  61  43.2916 W   3.4       13.5        9.8        7.3       20.2 
