FileName: C:\TESTNE~1\GP247F.TXT
Local Time: Fri Sep 10 17:28:04 2010

Ship: September 10, 2010 Trip: GP247F Tow: 09
Comments: Zone 19 bay st lawrence
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
100910  202805  47   4.4919 N  60  30.2468 W   6.7        3.2*      13.6       66.5*     489.6*
100910  202806  47   4.4909 N  60  30.2448 W   6.6        3.2       13.6       66.5      489.6 
100910  202807  47   4.4899 N  60  30.2430 W   6.4        3.2       13.6       66.5      489.6 
100910  202808  47   4.4890 N  60  30.2411 W   6.3        3.2       13.6       66.5      489.6 
100910  202809  47   4.4881 N  60  30.2392 W   6.1        3.2       13.6       66.5      489.6 
100910  202810  47   4.4873 N  60  30.2374 W   6.0        3.2       13.6       66.5      489.6 
100910  202811  47   4.4866 N  60  30.2359 W   5.8        3.2       13.6       66.5      489.6 
100910  202812  47   4.4858 N  60  30.2343 W   5.6        3.2       13.6       66.5      489.6 
100910  202813  47   4.4852 N  60  30.2327 W   5.4        3.2       13.6       66.5      489.6 
100910  202814  47   4.4845 N  60  30.2312 W   5.3        3.2       13.6       66.5      489.6 
100910  202815  47   4.4839 N  60  30.2298 W   5.1        3.2       13.6       66.5      489.6 
100910  202816  47   4.4832 N  60  30.2285 W   4.9        3.2       13.6       66.5      489.6 
100910  202817  47   4.4825 N  60  30.2271 W   4.8        3.2       13.6       66.5      489.6 
100910  202818  47   4.4819 N  60  30.2257 W   4.7        3.2       13.6       66.5      489.6 
100910  202819  47   4.4815 N  60  30.2243 W   4.5        3.2       13.6       66.5      489.6 
100910  202820  47   4.4810 N  60  30.2230 W   4.4        3.2       13.6       66.5      489.6 
100910  202821  47   4.4804 N  60  30.2217 W   4.3        3.2       13.6        3.6*     489.6 
100910  202822  47   4.4798 N  60  30.2205 W   4.2        3.2       13.6        3.6      489.6 
100910  202823  47   4.4793 N  60  30.2193 W   4.1        3.2       13.6        3.6      489.6 
100910  202824  47   4.4788 N  60  30.2180 W   4.0        3.2       13.6        3.6      489.6 
100910  202825  47   4.4784 N  60  30.2168 W   3.9        3.2       13.6        3.6      489.6 
100910  202826  47   4.4781 N  60  30.2156 W   3.8        3.2       13.6        3.6      489.6 
100910  202827  47   4.4777 N  60  30.2144 W   3.7        3.2       13.6        3.6      489.6 
100910  202828  47   4.4771 N  60  30.2134 W   3.6        3.2       13.6        3.6       12.8*
100910  202829  47   4.4766 N  60  30.2124 W   3.5        3.2       13.6        3.6       12.8 
100910  202830  47   4.4762 N  60  30.2113 W   3.4        3.2       13.6        3.6       12.8 
100910  202831  47   4.4759 N  60  30.2102 W   3.4        3.2       13.6       12.6*      12.8 
100910  202832  47   4.4756 N  60  30.2090 W   3.3        3.2       13.6       12.6       12.8 
100910  202833  47   4.4752 N  60  30.2079 W   3.3        3.2       13.6       12.6       12.8 
100910  202834  47   4.4748 N  60  30.2069 W   3.2        3.2       13.6       12.6       12.8 
100910  202835  47   4.4744 N  60  30.2060 W   3.1        3.2       13.6       12.6       12.8 
100910  202836  47   4.4740 N  60  30.2050 W   3.1        3.2       13.6       12.6       12.8 
100910  202837  47   4.4737 N  60  30.2039 W   3.0        3.2       13.6       12.6       12.8 
100910  202838  47   4.4733 N  60  30.2028 W   3.0        3.2       13.6       12.6        3.5*
100910  202839  47   4.4730 N  60  30.2017 W   3.0        3.2       13.6       12.6        3.5 
100910  202840  47   4.4726 N  60  30.2006 W   3.0        3.2       13.6       12.6        3.5 
100910  202841  47   4.4721 N  60  30.1996 W   3.0        3.2       13.6        4.1*       3.5 
100910  202842  47   4.4716 N  60  30.1984 W   3.1        3.2       13.6        4.1        3.5 
100910  202843  47   4.4709 N  60  30.1972 W   3.2        3.2       13.6        4.1        0.4*
100910  202844  47   4.4704 N  60  30.1959 W   3.3        3.2       13.6        4.1        0.4 
100910  202845  47   4.4697 N  60  30.1945 W   3.4        3.2       13.6        4.1        0.4 
100910  202846  47   4.4691 N  60  30.1929 W   3.6        3.2       13.6        4.1        0.4 
100910  202847  47   4.4683 N  60  30.1913 W   3.7        3.2       13.6        4.1        0.4 
100910  202848  47   4.4675 N  60  30.1896 W   3.9        3.2       13.6        4.1        0.4 
100910  202849  47   4.4665 N  60  30.1880 W   4.2        3.2       13.6        4.1        0.4 
100910  202850  47   4.4655 N  60  30.1861 W   4.4        3.2       13.6        4.1        0.4 
100910  202851  47   4.4644 N  60  30.1843 W   4.7        3.2       13.6        4.1        0.4 
100910  202852  47   4.4634 N  60  30.1823 W   4.9        3.2       13.6        4.1        0.4 
100910  202853  47   4.4625 N  60  30.1802 W   5.1        3.2       13.6        4.1        0.4 
100910  202854  47   4.4614 N  60  30.1781 W   5.3        3.2       13.6        4.1        0.4 
100910  202855  47   4.4603 N  60  30.1760 W   5.5        3.2       13.6        4.1        0.4 
100910  202856  47   4.4590 N  60  30.1739 W   5.7        3.2       13.6        4.1        0.4 
100910  202857  47   4.4579 N  60  30.1718 W   5.8        3.2       13.6        4.1        0.4 
100910  202858  47   4.4566 N  60  30.1695 W   6.0        3.2       13.6        4.1        0.4 
100910  202859  47   4.4554 N  60  30.1673 W   6.2        3.2       13.6        4.1        0.4 
100910  202900  47   4.4542 N  60  30.1650 W   6.3        3.2       13.6        4.1        0.4 
100910  202901  47   4.4532 N  60  30.1627 W   6.4        3.2       13.6        4.1        0.4 
100910  202902  47   4.4519 N  60  30.1605 W   6.5        3.2       13.6        4.1        0.4 
100910  202903  47   4.4506 N  60  30.1583 W   6.6        3.2       13.6        4.1        0.4 
100910  202904  47   4.4492 N  60  30.1561 W   6.7        3.2       13.6        4.1        0.4 
100910  202905  47   4.4479 N  60  30.1538 W   6.8        3.2       13.6        4.1        0.4 
100910  202906  47   4.4467 N  60  30.1514 W   6.9        3.2       13.6        4.1        0.4 
100910  202907  47   4.4454 N  60  30.1491 W   6.9        3.2       13.6        4.1        0.4 
100910  202908  47   4.4441 N  60  30.1467 W   7.0        3.2       13.6        4.1        0.4 
100910  202909  47   4.4427 N  60  30.1444 W   7.1        3.2       13.6        4.1        0.4 
100910  202910  47   4.4413 N  60  30.1421 W   7.1        3.2       13.6        4.1        0.4 
100910  202911  47   4.4401 N  60  30.1398 W   7.1        3.2       13.6        4.1        0.4 
100910  202912  47   4.4388 N  60  30.1374 W   7.2        3.2       13.6        4.1        0.4 
100910  202913  47   4.4375 N  60  30.1350 W   7.2        3.2       13.6        4.1        0.4 
100910  202914  47   4.4361 N  60  30.1326 W   7.3        3.2        9.2*       4.1        0.4 
100910  202915  47   4.4347 N  60  30.1302 W   7.3        3.2        9.2        4.1        0.4 
100910  202916  47   4.4334 N  60  30.1279 W   7.3        3.2        9.2        4.1        0.4 
100910  202917  47   4.4321 N  60  30.1255 W   7.4        3.2        9.2        4.1        0.4 
100910  202918  47   4.4308 N  60  30.1230 W   7.4        3.2        9.2        3.6*       0.4 
100910  202919  47   4.4296 N  60  30.1206 W   7.4        3.2        9.2        3.6        0.4 
100910  202920  47   4.4283 N  60  30.1183 W   7.4        3.2        9.2        3.6        0.4 
100910  202921  47   4.4270 N  60  30.1159 W   7.4        3.2        9.2        3.6        0.4 
100910  202922  47   4.4256 N  60  30.1134 W   7.5        3.2        9.2        3.6        0.4 
100910  202923  47   4.4243 N  60  30.1110 W   7.5        3.2        9.2        3.6        0.4 
100910  202924  47   4.4229 N  60  30.1085 W   7.5        3.2        9.2        3.6        0.4 
100910  202925  47   4.4217 N  60  30.1059 W   7.5        3.2        9.2        3.6        0.4 
100910  202926  47   4.4205 N  60  30.1033 W   7.6        3.2        9.2        3.6        0.4 
100910  202927  47   4.4192 N  60  30.1008 W   7.6        3.2        9.2        3.6        0.4 
100910  202928  47   4.4179 N  60  30.0982 W   7.6        3.2        9.2        3.6        0.4 
100910  202929  47   4.4168 N  60  30.0957 W   7.6        3.2        9.2        3.6        0.4 
100910  202930  47   4.4156 N  60  30.0934 W   7.6        3.2        9.2        3.6        0.4 
100910  202931  47   4.4143 N  60  30.0909 W   7.6        3.2        9.2        3.6        0.4 
100910  202932  47   4.4131 N  60  30.0885 W   7.6        3.2        9.2        3.6        0.4 
100910  202933  47   4.4118 N  60  30.0860 W   7.6        3.2        9.2        3.6        0.4 
100910  202934  47   4.4105 N  60  30.0836 W   7.6        3.2        9.2        3.6        0.4 
100910  202935  47   4.4093 N  60  30.0813 W   7.6        3.2        9.2        3.6        0.4 
100910  202936  47   4.4081 N  60  30.0788 W   7.6        3.2        9.2        3.6        0.4 
100910  202937  47   4.4069 N  60  30.0763 W   7.6        3.2        9.2        3.6        0.4 
100910  202938  47   4.4057 N  60  30.0738 W   7.5        3.2        9.2        3.6        0.4 
100910  202939  47   4.4045 N  60  30.0713 W   7.6        3.2        9.2        8.0*       0.4 
100910  202940  47   4.4033 N  60  30.0689 W   7.6        3.2        9.2        8.0        0.4 
100910  202941  47   4.4019 N  60  30.0664 W   7.6        3.2        9.2        8.0        0.4 
100910  202942  47   4.4007 N  60  30.0639 W   7.6        3.2        9.2        8.0        0.4 
100910  202943  47   4.3995 N  60  30.0614 W   7.6        3.2        9.2        8.0        0.4 
100910  202944  47   4.3983 N  60  30.0588 W   7.6        3.2        9.2        5.8*       0.4 
100910  202945  47   4.3971 N  60  30.0564 W   7.6        3.2        9.2        5.8        0.4 
100910  202946  47   4.3958 N  60  30.0539 W   7.6        3.2        9.2        5.8        0.4 
100910  202947  47   4.3944 N  60  30.0514 W   7.6        3.2        9.2        5.8        0.4 
100910  202948  47   4.3932 N  60  30.0489 W   7.6        3.2        9.2        5.8        0.4 
100910  202949  47   4.3918 N  60  30.0465 W   7.6        3.2        9.2        5.8        0.4 
100910  202950  47   4.3905 N  60  30.0440 W   7.6        3.2        9.2        5.0*       0.4 
100910  202951  47   4.3892 N  60  30.0415 W   7.6        3.2        9.2        5.0        0.4 
100910  202952  47   4.3878 N  60  30.0392 W   7.6        3.2        9.2        5.0        0.4 
100910  202953  47   4.3867 N  60  30.0367 W   7.6        3.2        9.2        5.0        0.4 
100910  202954  47   4.3855 N  60  30.0344 W   7.6        3.2        9.2        5.0        0.4 
100910  202955  47   4.3842 N  60  30.0320 W   7.6        3.2        9.2        8.4*       0.4 
100910  202956  47   4.3829 N  60  30.0294 W   7.6        3.2        9.2        8.4        0.4 
100910  202957  47   4.3817 N  60  30.0269 W   7.6        3.2        9.2        8.4        0.4 
100910  202958  47   4.3805 N  60  30.0244 W   7.6        3.2        9.2        8.4        0.4 
100910  202959  47   4.3793 N  60  30.0218 W   7.6        3.2        9.2        8.4        0.4 
100910  203000  47   4.3780 N  60  30.0193 W   7.6        3.2        9.2        8.4        0.4 
100910  203001  47   4.3767 N  60  30.0166 W   7.6        3.2        9.2        8.4        0.4 
100910  203002  47   4.3756 N  60  30.0141 W   7.6        3.2        9.2        8.4        0.4 
