FileName: C:\TESTNE~1\GP276F.TXT
Local Time: Tue Aug 31 14:32:16 2010

Ship: August 31, 2010 Trip: GP276F Tow: 09
Comments: Zone 12 pei east point
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
100831  173217  46  34.7094 N  61  46.8640 W   6.5        2.7*       7.0*     130.4*     579.8*
100831  173218  46  34.7077 N  61  46.8636 W   6.5        2.7        7.0      130.4      579.8 
100831  173219  46  34.7059 N  61  46.8632 W   6.5        2.7        7.0      130.4      579.8 
100831  173220  46  34.7041 N  61  46.8628 W   6.5        2.7        7.0      130.4      579.8 
100831  173221  46  34.7024 N  61  46.8622 W   6.5        2.7        7.0      130.4      579.8 
100831  173222  46  34.7008 N  61  46.8616 W   6.4        2.7        7.0      130.4      579.8 
100831  173223  46  34.6991 N  61  46.8611 W   6.4        2.7        7.0      130.4      579.8 
100831  173224  46  34.6975 N  61  46.8607 W   6.4        2.7        7.0      130.4      579.8 
100831  173225  46  34.6958 N  61  46.8602 W   6.4        2.7        7.0      130.4      579.8 
100831  173226  46  34.6942 N  61  46.8596 W   6.3        2.7        7.0      130.4      579.8 
100831  173227  46  34.6926 N  61  46.8589 W   6.3        2.7        7.0      130.4      579.8 
100831  173228  46  34.6910 N  61  46.8585 W   6.3        2.7        7.0      130.4      579.8 
100831  173229  46  34.6892 N  61  46.8581 W   6.3        2.7        7.0      130.4      579.8 
100831  173230  46  34.6876 N  61  46.8574 W   6.2        2.7        7.0      130.4      579.8 
100831  173231  46  34.6861 N  61  46.8569 W   6.2        2.7        7.0      130.4      579.8 
100831  173232  46  34.6843 N  61  46.8564 W   6.2        2.7        7.0      130.4      579.8 
100831  173233  46  34.6827 N  61  46.8559 W   6.2        2.7        7.0      130.4      579.8 
100831  173234  46  34.6811 N  61  46.8553 W   6.1        2.7        7.0      130.4      579.8 
100831  173235  46  34.6796 N  61  46.8548 W   6.1        2.7        7.0      130.4      579.8 
100831  173236  46  34.6780 N  61  46.8542 W   6.0        2.7        7.0      130.4      579.8 
100831  173237  46  34.6765 N  61  46.8538 W   6.0        2.7        7.0      130.4      579.8 
100831  173238  46  34.6749 N  61  46.8533 W   6.0        2.7        7.0      130.4      579.8 
100831  173239  46  34.6734 N  61  46.8527 W   5.9        2.7        7.0      130.4      579.8 
100831  173240  46  34.6719 N  61  46.8520 W   5.9        2.7        7.0      130.4      579.8 
100831  173241  46  34.6703 N  61  46.8516 W   5.9        2.7        7.0      130.4      579.8 
100831  173242  46  34.6687 N  61  46.8511 W   5.9        2.7        7.0      130.4      579.8 
100831  173243  46  34.6671 N  61  46.8506 W   5.9        2.7        7.0      130.4      579.8 
100831  173244  46  34.6655 N  61  46.8499 W   5.9        2.7        7.0      130.4      579.8 
100831  173245  46  34.6639 N  61  46.8493 W   5.9        2.7        7.0      130.4      579.8 
100831  173246  46  34.6623 N  61  46.8489 W   5.9        2.7        7.0      130.4      579.8 
100831  173247  46  34.6608 N  61  46.8484 W   5.9        2.7        7.0      130.4      579.8 
100831  173248  46  34.6593 N  61  46.8479 W   5.8        2.7        7.0      130.4      579.8 
100831  173249  46  34.6579 N  61  46.8473 W   5.7        2.7        7.0      130.4      579.8 
100831  173250  46  34.6566 N  61  46.8469 W   5.6        2.7        7.0      130.4      579.8 
100831  173251  46  34.6552 N  61  46.8465 W   5.5        2.7        7.0      130.4      579.8 
100831  173252  46  34.6540 N  61  46.8460 W   5.4        2.7        7.0      130.4      579.8 
100831  173253  46  34.6528 N  61  46.8456 W   5.2        2.7        7.0        3.2*     579.8 
100831  173254  46  34.6515 N  61  46.8452 W   5.1        2.7        7.0        3.2      579.8 
100831  173255  46  34.6503 N  61  46.8448 W   5.0        2.7        7.0        3.2      579.8 
100831  173256  46  34.6491 N  61  46.8444 W   4.9        2.7        7.0        3.2      579.8 
100831  173257  46  34.6480 N  61  46.8440 W   4.8        2.7        7.0        3.2      579.8 
100831  173258  46  34.6469 N  61  46.8436 W   4.7        2.7        7.0        0.2*     579.8 
100831  173259  46  34.6457 N  61  46.8432 W   4.7        2.7        7.0        0.2      579.8 
100831  173300  46  34.6445 N  61  46.8429 W   4.6        2.7        7.0        0.2      579.8 
100831  173301  46  34.6434 N  61  46.8426 W   4.5        2.7        7.0        0.2      579.8 
100831  173302  46  34.6424 N  61  46.8421 W   4.4        2.7        7.0        0.2      579.8 
100831  173303  46  34.6413 N  61  46.8417 W   4.3        2.7        7.0        5.3*     579.8 
100831  173304  46  34.6402 N  61  46.8414 W   4.3        2.7        7.0        5.3      579.8 
100831  173305  46  34.6392 N  61  46.8411 W   4.2        2.7        7.0        5.3      579.8 
100831  173306  46  34.6383 N  61  46.8408 W   4.1        2.7        7.0        5.3      579.8 
100831  173307  46  34.6374 N  61  46.8404 W   4.1        2.7        7.0        5.3      579.8 
100831  173308  46  34.6364 N  61  46.8401 W   4.0        2.7        7.0        5.3        1.3*
100831  173309  46  34.6354 N  61  46.8398 W   4.0        2.7        7.0        3.3*       1.3 
100831  173310  46  34.6344 N  61  46.8395 W   3.9        2.7        7.0        3.3        1.3 
100831  173311  46  34.6335 N  61  46.8392 W   3.8        2.7        7.0        3.3        1.3 
100831  173312  46  34.6326 N  61  46.8388 W   3.8        2.7       12.8*       3.3        1.3 
100831  173313  46  34.6316 N  61  46.8384 W   3.8        2.7       12.8        3.3        0.0*
100831  173314  46  34.6307 N  61  46.8383 W   3.7        2.7       12.8        0.6*       0.0 
100831  173315  46  34.6297 N  61  46.8380 W   3.7        2.7       12.8        0.6        0.0 
100831  173316  46  34.6289 N  61  46.8376 W   3.6        2.7       12.8        0.6        0.0 
100831  173317  46  34.6280 N  61  46.8372 W   3.6        2.7       12.8        0.6        0.0 
100831  173318  46  34.6270 N  61  46.8369 W   3.6        2.7       12.8        0.6        0.0 
100831  173319  46  34.6259 N  61  46.8366 W   3.6        2.7       12.8        8.6*       0.0 
100831  173320  46  34.6249 N  61  46.8361 W   3.7        2.7       12.8        8.6        0.0 
100831  173321  46  34.6239 N  61  46.8355 W   3.7        2.7       12.8        8.6        0.0 
100831  173322  46  34.6227 N  61  46.8351 W   3.8        2.7       12.8        8.6        0.0 
100831  173323  46  34.6213 N  61  46.8347 W   4.0        2.7       12.8        8.6        0.0 
100831  173324  46  34.6200 N  61  46.8342 W   4.2        2.7       12.8        8.6        0.0 
100831  173325  46  34.6187 N  61  46.8335 W   4.3        2.7       12.8        8.6        0.0 
100831  173326  46  34.6172 N  61  46.8329 W   4.5        2.7       12.8        8.6        0.0 
100831  173327  46  34.6157 N  61  46.8323 W   4.7        2.7       12.8        8.6        0.0 
100831  173328  46  34.6141 N  61  46.8316 W   4.9        2.7       12.8        8.6        0.0 
100831  173329  46  34.6124 N  61  46.8309 W   5.1        2.7       12.8        8.6        0.0 
100831  173330  46  34.6107 N  61  46.8301 W   5.3        2.7       12.8        8.6        0.0 
100831  173331  46  34.6089 N  61  46.8293 W   5.5        2.7       12.8        8.6        0.0 
100831  173332  46  34.6070 N  61  46.8285 W   5.8        2.7       12.8        8.6        0.0 
100831  173333  46  34.6051 N  61  46.8277 W   6.0        2.7       12.8        8.6        0.0 
100831  173334  46  34.6032 N  61  46.8268 W   6.2        2.7       12.8        8.6        0.0 
100831  173335  46  34.6012 N  61  46.8260 W   6.3        2.7       12.8        8.6        0.0 
100831  173336  46  34.5992 N  61  46.8250 W   6.5        2.7       12.8        8.6        0.0 
100831  173337  46  34.5972 N  61  46.8241 W   6.7        2.7       12.8        8.6        0.0 
100831  173338  46  34.5952 N  61  46.8232 W   6.8        2.7       12.8        8.6        0.0 
100831  173339  46  34.5931 N  61  46.8224 W   6.9        2.7       12.8        8.6        0.0 
100831  173340  46  34.5910 N  61  46.8214 W   7.1        2.7       12.8        8.6        0.0 
100831  173341  46  34.5890 N  61  46.8204 W   7.2        2.7       12.8        8.6        0.0 
100831  173342  46  34.5869 N  61  46.8193 W   7.3        2.7       12.8        8.6        0.0 
100831  173343  46  34.5848 N  61  46.8184 W   7.4        2.7       12.8        8.6        0.0 
100831  173344  46  34.5826 N  61  46.8175 W   7.5        2.7       12.8        8.6        0.0 
100831  173345  46  34.5805 N  61  46.8167 W   7.5        2.7       12.8        8.6        0.0 
100831  173346  46  34.5783 N  61  46.8157 W   7.6        2.7       12.8        8.6        0.0 
100831  173347  46  34.5762 N  61  46.8147 W   7.7        2.7       12.8        8.6        0.0 
100831  173348  46  34.5741 N  61  46.8135 W   7.7        2.7       12.8        8.6        0.0 
100831  173349  46  34.5720 N  61  46.8125 W   7.8        2.7       12.8        8.6        0.0 
