FileName: C:\TESTNE~1\GP317F.TXT
Local Time: Mon Aug 23 20:26:20 2010

Ship: August 23, 2010 Trip: GP317F Tow: 14
Comments: Zone 12 centre du banc bradelle
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
100823  232622  47  31.5459 N  62  47.5727 W   5.5        4.2*      13.2*      94.1*     684.9*
100823  232623  47  31.5442 N  62  47.5718 W   5.7        4.2       13.2       94.1      684.9 
100823  232624  47  31.5424 N  62  47.5710 W   5.8        4.2       13.2       94.1      684.9 
100823  232625  47  31.5405 N  62  47.5704 W   6.0        4.2       13.2       94.1      684.9 
100823  232626  47  31.5385 N  62  47.5698 W   6.2        4.2       13.2       94.1      684.9 
100823  232627  47  31.5365 N  62  47.5691 W   6.4        4.2       13.2       94.1      684.9 
100823  232628  47  31.5347 N  62  47.5683 W   6.5        4.2       13.2       94.1      684.9 
100823  232629  47  31.5328 N  62  47.5675 W   6.6        4.2       13.2       94.1      684.9 
100823  232630  47  31.5308 N  62  47.5667 W   6.7        4.2       13.2       94.1      684.9 
100823  232631  47  31.5289 N  62  47.5659 W   6.8        4.2       13.2       94.1      684.9 
100823  232632  47  31.5269 N  62  47.5651 W   6.8        4.2       13.2       94.1      684.9 
100823  232633  47  31.5249 N  62  47.5644 W   6.9        4.2       13.2       94.1      684.9 
100823  232634  47  31.5230 N  62  47.5637 W   7.0        4.2       13.2       94.1      684.9 
100823  232635  47  31.5210 N  62  47.5630 W   7.0        4.2       13.2       94.1      684.9 
100823  232636  47  31.5190 N  62  47.5622 W   7.1        4.2       13.2       94.1      684.9 
100823  232637  47  31.5171 N  62  47.5614 W   7.1        4.2       13.2       94.1      684.9 
100823  232638  47  31.5151 N  62  47.5607 W   7.1        4.2       13.2       94.1      684.9 
100823  232639  47  31.5132 N  62  47.5599 W   7.2        4.2       13.2       94.1      684.9 
100823  232640  47  31.5112 N  62  47.5592 W   7.1        4.2       13.2       94.1      684.9 
