FileName: C:\TESTNE~1\GP345F.TXT
Local Time: Tue Aug 17 05:46:58 2010

Ship: August 17, 2010 Trip: GP345F Tow: 01
Comments: Zone 12 baie des chaleur point vert
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
100817  084654  47  56.9993 N  65  37.9540 W   7.5        0.0        8.6*      68.3*     244.6*
100817  084655  47  57.0010 N  65  37.9526 W   7.4        0.0        8.6       68.3      244.6 
100817  084656  47  57.0026 N  65  37.9513 W   7.3        0.0        8.6       68.3      244.6 
100817  084657  47  57.0041 N  65  37.9500 W   7.1        0.0        8.6       68.3      244.6 
100817  084658  47  57.0057 N  65  37.9487 W   7.0        0.0        8.6       68.3      244.6 
100817  084659  47  57.0071 N  65  37.9475 W   6.8        0.0        8.6       68.3      244.6 
100817  084700  47  57.0085 N  65  37.9463 W   6.7        0.0        8.6       68.3      244.6 
100817  084701  47  57.0098 N  65  37.9452 W   6.5        0.0        8.6       68.3      244.6 
100817  084702  47  57.0111 N  65  37.9441 W   6.3        0.0        8.6       68.3      244.6 
100817  084703  47  57.0123 N  65  37.9430 W   6.1        0.0        8.6       68.3      244.6 
100817  084704  47  57.0135 N  65  37.9420 W   5.9        0.0        8.6       68.3      244.6 
100817  084705  47  57.0146 N  65  37.9410 W   5.7        0.0        8.6       68.3      244.6 
100817  084706  47  57.0157 N  65  37.9402 W   5.5        0.0        8.6       68.3      244.6 
100817  084707  47  57.0168 N  65  37.9393 W   5.4        0.0        8.6       68.3      244.6 
100817  084708  47  57.0179 N  65  37.9385 W   5.2        0.0        8.6       68.3      244.6 
100817  084709  47  57.0189 N  65  37.9376 W   5.1        0.0        8.6       68.3      244.6 
100817  084710  47  57.0200 N  65  37.9369 W   4.9        0.0        8.6       68.3      244.6 
100817  084711  47  57.0210 N  65  37.9361 W   4.8        0.0        8.6       68.3      244.6 
100817  084712  47  57.0221 N  65  37.9354 W   4.7        0.0        8.6       68.3      244.6 
100817  084713  47  57.0230 N  65  37.9347 W   4.6        0.0        8.6       68.3      244.6 
100817  084714  47  57.0240 N  65  37.9340 W   4.5        0.0        8.6       68.3      244.6 
100817  084715  47  57.0250 N  65  37.9333 W   4.4        0.0        8.6       68.3      244.6 
100817  084716  47  57.0260 N  65  37.9326 W   4.3        0.0        8.6       68.3      244.6 
100817  084717  47  57.0269 N  65  37.9319 W   4.2        0.0        8.6       68.3      244.6 
100817  084718  47  57.0278 N  65  37.9312 W   4.2        0.0        8.6        5.2*     244.6 
100817  084719  47  57.0287 N  65  37.9304 W   4.1        0.0        8.6        5.2      244.6 
100817  084720  47  57.0296 N  65  37.9298 W   4.0        0.0        8.6        5.2      244.6 
100817  084721  47  57.0305 N  65  37.9291 W   4.0        0.0        8.6        5.2      244.6 
100817  084722  47  57.0314 N  65  37.9285 W   3.9        0.0        8.6        5.2      244.6 
100817  084723  47  57.0323 N  65  37.9279 W   3.8        0.0        8.6        2.3*     244.6 
100817  084724  47  57.0331 N  65  37.9273 W   3.8        0.0        8.6        2.3      244.6 
100817  084725  47  57.0339 N  65  37.9267 W   3.7        0.0        8.6        2.3      244.6 
100817  084726  47  57.0347 N  65  37.9260 W   3.7        0.0        8.6        2.3       16.7*
100817  084727  47  57.0355 N  65  37.9254 W   3.6        0.0        8.6        2.3       16.7 
100817  084728  47  57.0363 N  65  37.9248 W   3.6        2.2*       8.6        3.8*      16.7 
100817  084729  47  57.0371 N  65  37.9243 W   3.5        2.2        8.6        3.8       16.7 
100817  084730  47  57.0379 N  65  37.9236 W   3.5        2.2        8.6        3.8       16.7 
100817  084731  47  57.0388 N  65  37.9230 W   3.4        2.2        8.6        3.8       16.7 
100817  084732  47  57.0395 N  65  37.9226 W   3.4        2.2        8.6        3.8       23.3*
100817  084733  47  57.0403 N  65  37.9220 W   3.3        2.2        8.6        1.3*      23.3 
100817  084734  47  57.0410 N  65  37.9214 W   3.3        2.2        3.8*       1.3       23.3 
100817  084735  47  57.0418 N  65  37.9209 W   3.3        2.2        3.8        1.3       23.3 
100817  084736  47  57.0426 N  65  37.9203 W   3.2        2.2        3.8        1.3       23.3 
100817  084737  47  57.0433 N  65  37.9197 W   3.2        2.2        3.8        1.3       20.7*
100817  084738  47  57.0440 N  65  37.9191 W   3.2        2.2        3.8        3.2*      20.7 
100817  084739  47  57.0446 N  65  37.9185 W   3.1        2.2        3.8        3.2       20.7 
100817  084740  47  57.0454 N  65  37.9182 W   3.1        2.2        3.8        3.2       20.7 
100817  084741  47  57.0461 N  65  37.9176 W   3.1        2.2       11.7*       3.2       20.7 
100817  084742  47  57.0468 N  65  37.9170 W   3.1        2.2       11.7        3.2       19.4*
