FileName: C:\TRAWLS~2\GP011FR.TXT
Local Time: Wed Sep 07 16:01:27 2011

Ship: Sept 07, 2011 Trip: GP011Fr Tow: 05
Comments: zone 12 banc bradelle ouest
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
110907  190130  47  38.9270 N  63  43.9571 W   6.0        3.2*      13.4*      22.4*     658.5*
110907  190131  47  38.9266 N  63  43.9546 W   6.1        3.2       13.4       22.4      658.5 
110907  190132  47  38.9264 N  63  43.9521 W   6.1        3.2       13.4       22.4      658.5 
110907  190133  47  38.9261 N  63  43.9495 W   6.1        3.2       13.4       22.4      658.5 
110907  190134  47  38.9256 N  63  43.9470 W   6.2        3.2       13.4       22.4      658.5 
110907  190135  47  38.9253 N  63  43.9445 W   6.2        3.2       13.4       22.4      658.5 
110907  190136  47  38.9251 N  63  43.9420 W   6.1        3.2       13.4       22.4      658.5 
110907  190137  47  38.9248 N  63  43.9394 W   6.2        3.2       13.4       22.4      658.5 
110907  190138  47  38.9243 N  63  43.9371 W   6.2        3.2       13.4       22.4      658.5 
110907  190139  47  38.9239 N  63  43.9347 W   6.1        3.2       13.4       22.4      658.5 
110907  190140  47  38.9236 N  63  43.9326 W   6.0        3.2       13.4       22.4      658.5 
110907  190141  47  38.9234 N  63  43.9305 W   5.9        3.2       13.4       22.4      658.5 
110907  190142  47  38.9232 N  63  43.9282 W   5.9        3.2       13.4       22.4      658.5 
110907  190143  47  38.9229 N  63  43.9260 W   5.8        3.2       13.4       22.4      658.5 
110907  190144  47  38.9226 N  63  43.9242 W   5.6        3.2       13.4       22.4      658.5 
110907  190145  47  38.9225 N  63  43.9223 W   5.4        3.2       13.4       22.4      658.5 
110907  190146  47  38.9222 N  63  43.9205 W   5.3        3.2       13.4       22.4      658.5 
110907  190147  47  38.9221 N  63  43.9187 W   5.1        3.2       13.4       22.4      658.5 
110907  190148  47  38.9218 N  63  43.9172 W   4.9        3.2       13.4       22.4        7.0*
110907  190149  47  38.9216 N  63  43.9157 W   4.7        3.2       13.4       22.4        7.0 
110907  190150  47  38.9214 N  63  43.9143 W   4.6        3.2       13.4       22.4        7.0 
110907  190151  47  38.9212 N  63  43.9126 W   4.5        3.2       13.4       11.4*       7.0 
110907  190152  47  38.9212 N  63  43.9111 W   4.4        3.2       13.4       11.4        7.0 
110907  190153  47  38.9210 N  63  43.9097 W   4.2        3.2       13.4       11.4        7.0 
110907  190154  47  38.9207 N  63  43.9085 W   4.1        3.2       13.4       11.4        7.0 
110907  190155  47  38.9204 N  63  43.9070 W   4.0        3.2       13.4       11.4        7.0 
110907  190156  47  38.9201 N  63  43.9056 W   4.0        3.2       13.4       11.4        7.0 
110907  190157  47  38.9199 N  63  43.9043 W   3.9        3.2       13.4*      11.4        7.0 
110907  190158  47  38.9198 N  63  43.9030 W   3.8        3.2       13.4       11.4        7.0 
110907  190159  47  38.9197 N  63  43.9016 W   3.7        3.2       13.4       11.4        7.0 
110907  190200  47  38.9196 N  63  43.9003 W   3.6        3.2       13.4       11.4        7.0 
110907  190201  47  38.9195 N  63  43.8992 W   3.5        3.2       13.4        1.8*       7.0 
110907  190202  47  38.9192 N  63  43.8981 W   3.4        3.2       13.4        1.8        7.0 
110907  190203  47  38.9190 N  63  43.8969 W   3.4        3.2       13.4        1.8        7.0 
110907  190204  47  38.9188 N  63  43.8959 W   3.2        3.2       13.4        1.8        7.0 
110907  190205  47  38.9188 N  63  43.8948 W   3.2        3.2       13.4        1.8        7.0 
110907  190206  47  38.9188 N  63  43.8935 W   3.2        3.2       13.4        2.9*       7.0 
110907  190207  47  38.9186 N  63  43.8924 W   3.1        3.2       13.4        2.9        7.0 
110907  190208  47  38.9186 N  63  43.8914 W   3.0        3.2       13.4        2.9        7.0 
110907  190209  47  38.9185 N  63  43.8904 W   2.9        3.2       13.4        2.9        7.0 
110907  190210  47  38.9181 N  63  43.8893 W   2.9        2.7*      13.4        2.9        7.0 
110907  190211  47  38.9181 N  63  43.8882 W   2.9        2.7       13.4        2.9        7.0 
110907  190212  47  38.9180 N  63  43.8871 W   2.8        2.7       13.4        2.9        7.0 
110907  190213  47  38.9179 N  63  43.8858 W   2.9        2.7       13.4        2.9        7.0 
110907  190214  47  38.9177 N  63  43.8843 W   3.0        2.7       13.4        2.9        7.0 
110907  190215  47  38.9176 N  63  43.8829 W   3.1        2.7       13.4        2.9        7.0 
110907  190216  47  38.9174 N  63  43.8812 W   3.3        2.7       13.4        2.9        7.0 
110907  190217  47  38.9173 N  63  43.8793 W   3.5        2.7       13.4        2.9        7.0 
110907  190218  47  38.9171 N  63  43.8775 W   3.6        2.7       13.4        2.9        7.0 
110907  190219  47  38.9169 N  63  43.8757 W   3.8        2.7       13.4        2.9        7.0 
110907  190220  47  38.9165 N  63  43.8737 W   4.0        2.7       13.4        2.9        7.0 
110907  190221  47  38.9163 N  63  43.8714 W   4.2        2.7       13.4        2.9        7.0 
110907  190222  47  38.9161 N  63  43.8692 W   4.4        2.7       13.4        2.9        7.0 
110907  190223  47  38.9160 N  63  43.8671 W   4.5        2.7       13.4        2.9        7.0 
110907  190224  47  38.9157 N  63  43.8647 W   4.7        2.7       13.4        2.9        7.0 
110907  190225  47  38.9151 N  63  43.8624 W   4.9        2.7       13.4        2.9      254.2*
110907  190226  47  38.9148 N  63  43.8603 W   5.0        2.7       13.4        2.9      254.2 
110907  190227  47  38.9145 N  63  43.8579 W   5.2        2.7       13.4        2.9      254.2 
110907  190228  47  38.9141 N  63  43.8554 W   5.4        2.7       13.4        2.9      254.2 
110907  190229  47  38.9139 N  63  43.8530 W   5.4        2.7       13.4        2.9      254.2 
110907  190230  47  38.9135 N  63  43.8505 W   5.6        2.7       13.4        2.9      254.2 
110907  190231  47  38.9131 N  63  43.8479 W   5.7        2.7       13.4        2.9      254.2 
110907  190232  47  38.9129 N  63  43.8453 W   5.8        2.7       13.4        2.9      254.2 
110907  190233  47  38.9126 N  63  43.8428 W   5.9        2.7       13.4        2.9      254.2 
110907  190234  47  38.9121 N  63  43.8403 W   5.9        2.7       13.4        2.9      254.2 
110907  190235  47  38.9117 N  63  43.8375 W   6.1        2.7       13.4        2.9      254.2 
110907  190236  47  38.9113 N  63  43.8348 W   6.2        2.7       13.4        2.9      254.2 
110907  190237  47  38.9110 N  63  43.8322 W   6.2        2.7       13.4        2.9      254.2 
110907  190238  47  38.9107 N  63  43.8294 W   6.3        2.7       13.4        2.9      254.2 
110907  190239  47  38.9105 N  63  43.8265 W   6.4        2.7       13.4        2.9      254.2 
110907  190240  47  38.9104 N  63  43.8236 W   6.4        2.7       13.4        2.9      254.2 
110907  190241  47  38.9100 N  63  43.8209 W   6.5        2.7       13.4        2.9      254.2 
110907  190242  47  38.9096 N  63  43.8183 W   6.5        2.7       13.4        2.9      254.2 
110907  190243  47  38.9091 N  63  43.8159 W   6.5        2.7       13.4        2.9      254.2 
110907  190244  47  38.9085 N  63  43.8132 W   6.5        2.7       13.4        2.9      254.2 
110907  190245  47  38.9080 N  63  43.8103 W   6.6        2.7       13.4        2.9      254.2 
110907  190246  47  38.9078 N  63  43.8074 W   6.6        2.7       13.4        2.9      254.2 
110907  190247  47  38.9077 N  63  43.8046 W   6.6        2.7       13.4        2.9      254.2 
110907  190248  47  38.9074 N  63  43.8020 W   6.6        2.7       13.4        2.9      254.2 
110907  190249  47  38.9072 N  63  43.7991 W   6.7        2.7       13.4        2.9      254.2 
110907  190250  47  38.9069 N  63  43.7962 W   6.7        2.7       13.4        2.9      254.2 
110907  190251  47  38.9065 N  63  43.7937 W   6.7        2.7       13.4        2.9      254.2 
110907  190252  47  38.9064 N  63  43.7909 W   6.6        2.7       13.4        2.9      254.2 
110907  190253  47  38.9058 N  63  43.7880 W   6.7        2.7       13.4        2.9      254.2 
110907  190254  47  38.9054 N  63  43.7851 W   6.8        2.7       13.4        2.9      254.2 
110907  190255  47  38.9051 N  63  43.7824 W   6.7        2.7       13.4        2.9      254.2 
110907  190256  47  38.9049 N  63  43.7796 W   6.7        2.7       13.4        2.9      254.2 
110907  190257  47  38.9046 N  63  43.7769 W   6.7        2.7       13.4        2.9      254.2 
110907  190258  47  38.9043 N  63  43.7741 W   6.7        2.7       13.4        2.9      254.2 
110907  190259  47  38.9040 N  63  43.7712 W   6.8        2.7       13.4        2.9      254.2 
110907  190300  47  38.9035 N  63  43.7685 W   6.8        2.7       13.4        2.9      254.2 
110907  190301  47  38.9031 N  63  43.7660 W   6.7        2.7       13.4        2.9      254.2 
110907  190302  47  38.9027 N  63  43.7633 W   6.8        2.7       13.4        2.9      254.2 
110907  190303  47  38.9021 N  63  43.7603 W   6.8        2.7       13.4        2.9      254.2 
110907  190304  47  38.9019 N  63  43.7575 W   6.8        2.7       13.4        2.9      254.2 
110907  190305  47  38.9016 N  63  43.7548 W   6.8        2.7       13.4        2.9      254.2 
110907  190306  47  38.9014 N  63  43.7521 W   6.7        2.7       13.4        2.9      254.2 
110907  190307  47  38.9010 N  63  43.7492 W   6.8        2.7       13.4        2.9      254.2 
110907  190308  47  38.9006 N  63  43.7465 W   6.8        2.7       13.4        2.9      254.2 
110907  190309  47  38.9003 N  63  43.7436 W   6.8        2.7       13.4        2.9      254.2 
110907  190310  47  38.9001 N  63  43.7408 W   6.8        2.7       13.4        2.9      254.2 
110907  190311  47  38.8996 N  63  43.7382 W   6.8        2.7       13.4        2.9       83.1*
110907  190312  47  38.8993 N  63  43.7354 W   6.8        2.7       13.4        2.9       83.1 
110907  190313  47  38.8989 N  63  43.7325 W   6.8        2.7       13.4        2.9       83.1 
110907  190314  47  38.8986 N  63  43.7298 W   6.8        2.7       13.4        2.9       83.1 
110907  190315  47  38.8984 N  63  43.7272 W   6.7        2.7       13.4        2.9       83.1 
110907  190316  47  38.8980 N  63  43.7244 W   6.8        2.7       13.4        2.9       83.1 
110907  190317  47  38.8976 N  63  43.7216 W   6.8        2.7       13.4        2.9       83.1 
110907  190318  47  38.8972 N  63  43.7190 W   6.7        2.7       13.4        2.9       83.1 
110907  190319  47  38.8970 N  63  43.7163 W   6.7        2.7       13.4        2.9       83.1 
110907  190320  47  38.8968 N  63  43.7135 W   6.7        2.7       13.4      121.7*      83.1 
110907  190321  47  38.8964 N  63  43.7106 W   6.8        2.7       13.4      121.7       83.1 
110907  190322  47  38.8961 N  63  43.7079 W   6.8        2.7       13.4      121.7       83.1 
110907  190323  47  38.8958 N  63  43.7052 W   6.8        2.7       13.4      121.7       83.1 
110907  190324  47  38.8956 N  63  43.7024 W   6.8        2.7       13.4      121.7       83.1 
110907  190325  47  38.8951 N  63  43.6997 W   6.7        2.7       13.4      121.7       83.1 
110907  190326  47  38.8947 N  63  43.6971 W   6.7        2.7       13.4      121.7       83.1 
110907  190327  47  38.8942 N  63  43.6943 W   6.8        2.7       13.4      121.7       83.1 
110907  190328  47  38.8939 N  63  43.6915 W   6.8        2.7       13.4      121.7       83.1 
110907  190329  47  38.8936 N  63  43.6889 W   6.7        2.7       13.4      121.7       83.1 
110907  190330  47  38.8934 N  63  43.6863 W   6.7        2.7       13.4      121.7       83.1 
110907  190331  47  38.8929 N  63  43.6835 W   6.7        2.7       13.4      121.7       83.1 
110907  190332  47  38.8925 N  63  43.6809 W   6.7        2.7       13.4      121.7       83.1 
110907  190333  47  38.8923 N  63  43.6782 W   6.7        2.7       13.4      121.7       83.1 
110907  190334  47  38.8921 N  63  43.6755 W   6.7        2.7       13.4      121.7       83.1 
110907  190335  47  38.8917 N  63  43.6729 W   6.7        2.7       13.4      121.7       83.1 
110907  190336  47  38.8914 N  63  43.6704 W   6.6        2.7       13.4      121.7       83.1 
110907  190337  47  38.8911 N  63  43.6677 W   6.6        2.7       13.4      121.7       83.1 
110907  190338  47  38.8908 N  63  43.6648 W   6.7        2.7       13.4      121.7       83.1 
110907  190339  47  38.8904 N  63  43.6621 W   6.7        2.7       13.4      121.7       83.1 
110907  190340  47  38.8899 N  63  43.6596 W   6.6        2.7       13.4      121.7       83.1 
110907  190341  47  38.8896 N  63  43.6569 W   6.6        2.7       13.4      121.7       83.1 
110907  190342  47  38.8891 N  63  43.6542 W   6.6        2.7       13.4      121.7       83.1 
110907  190343  47  38.8888 N  63  43.6517 W   6.6        2.7       13.4      121.7       83.1 
110907  190344  47  38.8885 N  63  43.6492 W   6.6        2.7       13.4      121.7       83.1 
110907  190345  47  38.8883 N  63  43.6465 W   6.6        2.7       13.4      121.7       83.1 
110907  190346  47  38.8879 N  63  43.6438 W   6.6        2.7       13.4      121.7       83.1 
110907  190347  47  38.8876 N  63  43.6413 W   6.6        2.7       13.4      121.7       83.1 
110907  190348  47  38.8873 N  63  43.6387 W   6.6        2.7       13.4      121.7       83.1 
110907  190349  47  38.8870 N  63  43.6359 W   6.6        2.7       13.4      121.7       83.1 
110907  190350  47  38.8867 N  63  43.6333 W   6.6        2.7       13.4      121.7       83.1 
110907  190351  47  38.8863 N  63  43.6306 W   6.6        2.7       13.4      121.7       83.1 
110907  190352  47  38.8859 N  63  43.6279 W   6.6        2.7       13.4      121.7       83.1 
110907  190353  47  38.8856 N  63  43.6252 W   6.6        2.7       13.4      121.7       83.1 
110907  190354  47  38.8854 N  63  43.6225 W   6.6        2.7       13.4      121.7       83.1 
110907  190355  47  38.8851 N  63  43.6198 W   6.6        2.7       13.4      121.7       83.1 
110907  190356  47  38.8846 N  63  43.6171 W   6.7        2.7       13.4      121.7       83.1 
110907  190357  47  38.8842 N  63  43.6144 W   6.7        2.7       13.4      121.7       83.1 
110907  190358  47  38.8839 N  63  43.6118 W   6.6        2.7       13.4      121.7       83.1 
110907  190359  47  38.8835 N  63  43.6091 W   6.6        2.7       13.4      121.7       83.1 
110907  190400  47  38.8832 N  63  43.6064 W   6.6        2.7       13.4      121.7       83.1 
110907  190401  47  38.8829 N  63  43.6037 W   6.6        2.7       13.4      121.7       83.1 
110907  190402  47  38.8825 N  63  43.6011 W   6.6        2.7       13.4      121.7       83.1 
110907  190403  47  38.8822 N  63  43.5985 W   6.6        2.7       13.4      121.7       83.1 
110907  190404  47  38.8819 N  63  43.5959 W   6.5        2.7       13.4      121.7       83.1 
110907  190405  47  38.8813 N  63  43.5933 W   6.6        2.7       13.4      121.7       83.1 
110907  190406  47  38.8807 N  63  43.5906 W   6.6        2.7       13.4      121.7       83.1 
110907  190407  47  38.8803 N  63  43.5882 W   6.6        2.7       13.4      121.7       83.1 
110907  190408  47  38.8801 N  63  43.5857 W   6.5        2.7       13.4      121.7       83.1 
110907  190409  47  38.8798 N  63  43.5830 W   6.5        2.7       13.4      121.7       83.1 
110907  190410  47  38.8793 N  63  43.5804 W   6.5        2.7       13.4      121.7       83.1 
110907  190411  47  38.8790 N  63  43.5779 W   6.5        2.7       13.4      121.7       83.1 
110907  190412  47  38.8784 N  63  43.5754 W   6.5        2.7       13.4      121.7       83.1 
110907  190413  47  38.8781 N  63  43.5727 W   6.5        2.7       13.4      121.7       83.1 
110907  190414  47  38.8778 N  63  43.5700 W   6.5        2.7       13.4      121.7       83.1 
110907  190415  47  38.8776 N  63  43.5674 W   6.5        2.7       13.4      121.7       83.1 
110907  190416  47  38.8773 N  63  43.5647 W   6.5        2.7       13.4      121.7       83.1 
110907  190417  47  38.8770 N  63  43.5621 W   6.5        2.7       13.4      121.7       83.1 
110907  190418  47  38.8766 N  63  43.5596 W   6.5        2.7       13.4      121.7       83.1 
110907  190419  47  38.8763 N  63  43.5569 W   6.5        2.7       13.4      121.7        4.4*
110907  190420  47  38.8759 N  63  43.5542 W   6.5        2.7       13.4      121.7        4.4 
110907  190421  47  38.8757 N  63  43.5516 W   6.5        2.7       13.4      121.7        4.4 
110907  190422  47  38.8754 N  63  43.5489 W   6.5        2.7       13.4      121.7        4.4 
110907  190423  47  38.8749 N  63  43.5463 W   6.5        2.7       13.4      121.7        4.4 
110907  190424  47  38.8745 N  63  43.5437 W   6.5        2.7       13.4      121.7        4.4 
110907  190425  47  38.8741 N  63  43.5410 W   6.5        2.7       13.4      121.7        4.4 
110907  190426  47  38.8739 N  63  43.5383 W   6.5        2.7       13.4      121.7        4.4 
110907  190427  47  38.8736 N  63  43.5357 W   6.5        2.7       13.4      121.7        4.4 
110907  190428  47  38.8730 N  63  43.5330 W   6.6        2.7       13.4      121.7        4.4 
110907  190429  47  38.8728 N  63  43.5304 W   6.5        2.7       13.4      121.7        4.4 
110907  190430  47  38.8724 N  63  43.5278 W   6.5        2.7       13.4      121.7      285.9*
110907  190431  47  38.8719 N  63  43.5253 W   6.5        2.7       13.4      121.7      285.9 
110907  190432  47  38.8716 N  63  43.5226 W   6.5        2.7       13.4      121.7      285.9 
110907  190433  47  38.8713 N  63  43.5200 W   6.5        2.7       13.4      121.7      285.9 
110907  190434  47  38.8708 N  63  43.5174 W   6.5        2.7       13.4      121.7      285.9 
110907  190435  47  38.8705 N  63  43.5149 W   6.5        2.7       13.4      121.7       22.0*
110907  190436  47  38.8703 N  63  43.5122 W   6.5        2.7       13.4      121.7       22.0 
110907  190437  47  38.8700 N  63  43.5097 W   6.4        2.7       13.4      121.7       22.0 
110907  190438  47  38.8697 N  63  43.5073 W   6.3        2.7       13.4      121.7       22.0 
110907  190439  47  38.8694 N  63  43.5050 W   6.2        5.1*      13.4      121.7       22.0 
110907  190440  47  38.8690 N  63  43.5026 W   6.2        5.1       13.4      121.7       45.3*
110907  190441  47  38.8687 N  63  43.5003 W   6.1        5.1       13.4      121.7       45.3 
110907  190442  47  38.8685 N  63  43.4981 W   6.0        5.1       13.4      121.7       45.3 
110907  190443  47  38.8683 N  63  43.4958 W   6.0        5.1       13.4      121.7       45.3 
110907  190444  47  38.8681 N  63  43.4935 W   5.9        5.1       13.4      121.7       45.3 
110907  190445  47  38.8678 N  63  43.4915 W   5.8        5.1       13.4      121.7       45.3 
110907  190446  47  38.8674 N  63  43.4893 W   5.7        5.1       13.4      121.7       17.2*
110907  190447  47  38.8669 N  63  43.4871 W   5.7        5.1       13.4      121.7       17.2 
110907  190448  47  38.8667 N  63  43.4849 W   5.7        5.1       13.4      121.7       17.2 
110907  190449  47  38.8665 N  63  43.4828 W   5.6        5.1       13.4      121.7       17.2 
110907  190450  47  38.8662 N  63  43.4807 W   5.6        5.1       13.4      121.7       17.2 
110907  190451  47  38.8660 N  63  43.4784 W   5.5        5.1       13.4      121.7       28.2*
110907  190452  47  38.8659 N  63  43.4762 W   5.5        5.1       13.4      121.7       28.2 
110907  190453  47  38.8658 N  63  43.4741 W   5.5        5.1       13.4      121.7       28.2 
110907  190454  47  38.8656 N  63  43.4719 W   5.4        5.1       13.4      121.7       28.2 
110907  190455  47  38.8654 N  63  43.4697 W   5.4        5.1       13.4       66.5*      28.2 
110907  190456  47  38.8652 N  63  43.4675 W   5.4        5.1       13.4       66.5       32.6*
110907  190457  47  38.8651 N  63  43.4655 W   5.3        5.1       13.4       66.5       32.6 
110907  190458  47  38.8649 N  63  43.4635 W   5.2        5.1       13.4       66.5       32.6 
110907  190459  47  38.8646 N  63  43.4616 W   5.2        5.1       13.4       66.5       32.6 
110907  190500  47  38.8643 N  63  43.4600 W   5.0        5.1       13.4       66.5       32.6 
110907  190501  47  38.8642 N  63  43.4584 W   4.9        5.1       13.4       66.5       29.0*
110907  190502  47  38.8640 N  63  43.4567 W   4.7        5.1       13.4       66.5       29.0 
110907  190503  47  38.8636 N  63  43.4553 W   4.6        5.1       13.4       66.5       29.0 
110907  190504  47  38.8634 N  63  43.4541 W   4.4        5.1       13.4       66.5       29.0 
110907  190505  47  38.8634 N  63  43.4527 W   4.2        5.1       13.4       66.5       29.0 
110907  190506  47  38.8633 N  63  43.4513 W   4.1        5.1       13.4       66.5       29.0 
110907  190507  47  38.8633 N  63  43.4500 W   3.9        5.1       13.4       66.5       29.0*
110907  190508  47  38.8631 N  63  43.4487 W   3.7        5.1       13.4       66.5       29.0 
110907  190509  47  38.8631 N  63  43.4475 W   3.6        5.1       13.4        8.3*      29.0 
110907  190510  47  38.8631 N  63  43.4463 W   3.5        5.1       13.4        8.3       29.0 
110907  190511  47  38.8630 N  63  43.4452 W   3.3        5.1       13.4        8.3       29.0 
110907  190512  47  38.8631 N  63  43.4441 W   3.2        2.8*      13.4        8.3       24.6*
110907  190513  47  38.8632 N  63  43.4431 W   3.1        2.8       13.4        8.3       24.6 
