FileName: C:\TRAWLS~2\GP023FR.TXT
Local Time: Sat Jul 30 19:42:27 2011

Ship: July 30, 2011 Trip: GP023Fr Tow: 15
Comments: zone 12 nord pei cape tyron
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
110730  224225  47   0.2239 N  63  10.1508 W   5.5        2.8*       9.5*      53.5*     266.6*
110730  224226  47   0.2249 N  63  10.1526 W   5.6        2.8        9.5       53.5      266.6 
110730  224227  47   0.2259 N  63  10.1545 W   5.6        2.8        9.5       53.5      266.6 
110730  224228  47   0.2270 N  63  10.1563 W   5.6        2.8        9.5       53.5      266.6 
110730  224229  47   0.2280 N  63  10.1581 W   5.6        2.8        9.5       53.5      266.6 
110730  224230  47   0.2290 N  63  10.1598 W   5.6        2.8        9.5       53.5      266.6 
110730  224231  47   0.2300 N  63  10.1616 W   5.7        2.8        9.5       53.5      266.6 
110730  224232  47   0.2311 N  63  10.1634 W   5.7        2.8        9.5       53.5      266.6 
110730  224233  47   0.2321 N  63  10.1651 W   5.7        2.8        9.5       53.5      266.6 
110730  224234  47   0.2330 N  63  10.1669 W   5.7        2.8        9.5       53.5      266.6 
110730  224235  47   0.2340 N  63  10.1686 W   5.6        2.8        9.5       53.5      266.6 
110730  224236  47   0.2349 N  63  10.1702 W   5.5        2.8        9.5       53.5      266.6 
110730  224237  47   0.2358 N  63  10.1717 W   5.4        2.8        9.5       53.5      266.6 
110730  224238  47   0.2366 N  63  10.1731 W   5.3        2.8        9.5       53.5      266.6 
110730  224239  47   0.2375 N  63  10.1745 W   5.2        2.8        9.5       53.5      266.6 
110730  224240  47   0.2382 N  63  10.1758 W   5.0        2.8        9.5       53.5      266.6 
110730  224241  47   0.2390 N  63  10.1770 W   4.9        2.8        9.5       53.5      266.6 
110730  224242  47   0.2397 N  63  10.1782 W   4.8        2.8        9.5       53.5        8.4*
110730  224243  47   0.2405 N  63  10.1795 W   4.6        2.8        9.5       53.5        8.4 
110730  224244  47   0.2411 N  63  10.1806 W   4.5        2.8        9.5       53.5        8.4 
110730  224245  47   0.2418 N  63  10.1817 W   4.4        2.8        9.5       53.5        8.4 
110730  224246  47   0.2425 N  63  10.1828 W   4.2        2.8        9.5       53.5        8.4 
110730  224247  47   0.2431 N  63  10.1838 W   4.2        2.8        9.5       53.5        8.4 
110730  224248  47   0.2438 N  63  10.1849 W   4.1        2.8        9.5       53.5        8.4 
110730  224249  47   0.2444 N  63  10.1860 W   4.0        2.8        9.5       53.5        8.4 
110730  224250  47   0.2451 N  63  10.1870 W   3.9        2.8        9.5       53.5        8.4 
110730  224251  47   0.2457 N  63  10.1881 W   3.9        2.8        9.5        1.4*       8.4 
110730  224252  47   0.2463 N  63  10.1892 W   3.8        2.8        9.5        1.4        8.4 
110730  224253  47   0.2469 N  63  10.1902 W   3.8        2.8        9.5        1.4        8.4 
110730  224254  47   0.2476 N  63  10.1911 W   3.7        2.8        9.5        1.4        8.4 
110730  224255  47   0.2482 N  63  10.1921 W   3.6        2.8        9.5        1.4        8.4 
110730  224256  47   0.2487 N  63  10.1931 W   3.6        2.8        9.5        0.0*       8.4 
110730  224257  47   0.2490 N  63  10.1939 W   3.5        2.8        9.5        0.0        8.4 
110730  224258  47   0.2496 N  63  10.1949 W   3.5        2.8        9.5        0.0        8.4 
110730  224259  47   0.2501 N  63  10.1958 W   3.4        2.8        9.5        0.0        8.4 
110730  224300  47   0.2507 N  63  10.1967 W   3.3        2.8        9.5        0.0        8.4 
110730  224301  47   0.2510 N  63  10.1974 W   3.3        2.8        9.5        3.6*       8.4 
110730  224302  47   0.2516 N  63  10.1983 W   3.3        2.8        9.5        3.6        8.4 
110730  224303  47   0.2522 N  63  10.1992 W   3.2        2.8        9.5        3.6       13.2*
110730  224304  47   0.2527 N  63  10.2002 W   3.2        2.8        9.5        3.6       13.2 
110730  224305  47   0.2534 N  63  10.2012 W   3.2        2.4*       9.5        3.6       13.2 
110730  224306  47   0.2540 N  63  10.2023 W   3.3        2.4        9.5        3.6       13.2 
110730  224307  47   0.2547 N  63  10.2034 W   3.4        2.4        9.5        3.6       13.2 
110730  224308  47   0.2555 N  63  10.2047 W   3.5        2.4        9.5        3.6       13.2 
110730  224309  47   0.2559 N  63  10.2059 W   3.6        2.4        9.5        3.6       13.2 
110730  224310  47   0.2566 N  63  10.2073 W   3.7        2.4        9.5        3.6       13.2 
110730  224311  47   0.2573 N  63  10.2087 W   3.9        2.4        9.5        3.6       13.2 
110730  224312  47   0.2581 N  63  10.2102 W   4.0        2.4        9.5        3.6       13.2 
110730  224313  47   0.2590 N  63  10.2117 W   4.1        2.4        9.5        3.6       13.2 
110730  224314  47   0.2600 N  63  10.2134 W   4.3        2.4        9.5        3.6       13.2 
110730  224315  47   0.2610 N  63  10.2152 W   4.4        2.4        9.5        3.6       13.2 
110730  224316  47   0.2620 N  63  10.2171 W   4.6        2.4        9.5        3.6       13.2 
110730  224317  47   0.2630 N  63  10.2190 W   4.8        2.4        9.5        3.6       13.2 
110730  224318  47   0.2639 N  63  10.2210 W   4.9        2.4        9.5        3.6       13.2 
110730  224319  47   0.2649 N  63  10.2229 W   5.1        2.4        9.5        3.6       13.2 
110730  224320  47   0.2659 N  63  10.2249 W   5.2        2.4        9.5        3.6       13.2 
110730  224321  47   0.2670 N  63  10.2268 W   5.3        2.4        9.5        3.6       13.2 
110730  224322  47   0.2679 N  63  10.2288 W   5.5        2.4        9.5        3.6       13.2 
110730  224323  47   0.2691 N  63  10.2309 W   5.6        2.4        9.5        3.6       13.2 
110730  224324  47   0.2702 N  63  10.2332 W   5.7        2.4        9.5        3.6       13.2 
110730  224325  47   0.2711 N  63  10.2355 W   5.9        2.4        9.5        3.6       13.2 
110730  224326  47   0.2722 N  63  10.2378 W   6.0        2.4        9.5        3.6       13.2 
110730  224327  47   0.2733 N  63  10.2400 W   6.1        2.4        9.5        3.6       13.2 
110730  224328  47   0.2745 N  63  10.2422 W   6.2        2.4        9.5        3.6       13.2 
110730  224329  47   0.2756 N  63  10.2444 W   6.3        2.4        9.5        3.6       13.2 
110730  224330  47   0.2767 N  63  10.2467 W   6.3        2.4        9.5        3.6       13.2 
110730  224331  47   0.2779 N  63  10.2490 W   6.4        2.4        9.5        3.6       13.2 
110730  224332  47   0.2790 N  63  10.2514 W   6.5        2.4        9.5        3.6       13.2 
110730  224333  47   0.2801 N  63  10.2537 W   6.6        2.4        9.5        3.6       13.2 
110730  224334  47   0.2810 N  63  10.2560 W   6.7        2.4        9.5        3.6       13.2 
110730  224335  47   0.2821 N  63  10.2583 W   6.7        2.4        9.5        3.6       13.2 
110730  224336  47   0.2833 N  63  10.2607 W   6.8        2.4        9.5        3.6       13.2 
110730  224337  47   0.2846 N  63  10.2630 W   6.9        2.4        9.5        3.6       13.2 
110730  224338  47   0.2856 N  63  10.2652 W   6.9        2.4        9.5        3.6       13.2 
110730  224339  47   0.2866 N  63  10.2675 W   6.9        2.4        9.5        3.6       13.2 
110730  224340  47   0.2878 N  63  10.2698 W   6.9        2.4        9.5        3.6       13.2 
110730  224341  47   0.2889 N  63  10.2723 W   6.9        2.4        9.5        3.6       13.2 
110730  224342  47   0.2901 N  63  10.2746 W   6.9        2.4        9.5        3.6       13.2 
110730  224343  47   0.2913 N  63  10.2770 W   6.9        2.4        9.5        3.6       13.2 
110730  224344  47   0.2927 N  63  10.2794 W   7.0        2.4        9.5        3.6       13.2 
110730  224345  47   0.2940 N  63  10.2817 W   7.0        2.4        9.5        3.6       13.2 
110730  224346  47   0.2951 N  63  10.2839 W   6.9        2.4        9.5        3.6       13.2 
110730  224347  47   0.2963 N  63  10.2862 W   6.9        2.4        9.5        3.6       13.2 
110730  224348  47   0.2974 N  63  10.2885 W   6.9        2.4        9.5        3.6       13.2 
110730  224349  47   0.2986 N  63  10.2908 W   6.9        2.4        9.5        3.6       13.2 
110730  224350  47   0.2996 N  63  10.2929 W   6.9        2.4        9.5        3.6       13.2 
110730  224351  47   0.3007 N  63  10.2952 W   6.9        2.4        9.5        3.6       13.2 
110730  224352  47   0.3018 N  63  10.2976 W   7.0        2.4        9.5        3.6       13.2 
110730  224353  47   0.3030 N  63  10.2999 W   7.0        2.4        9.5        3.6       13.2 
110730  224354  47   0.3042 N  63  10.3021 W   6.9        2.4        9.5        1.8*      13.2 
110730  224355  47   0.3054 N  63  10.3044 W   6.9        2.4        9.5        1.8      661.1*
110730  224356  47   0.3064 N  63  10.3065 W   6.9        2.4        9.5        1.8      661.1 
110730  224357  47   0.3075 N  63  10.3088 W   6.9        2.4        9.5        1.8      661.1 
110730  224358  47   0.3084 N  63  10.3111 W   6.9        2.4        9.5        1.8      661.1 
110730  224359  47   0.3094 N  63  10.3134 W   6.9        2.4        9.5        5.9*     661.1 
110730  224400  47   0.3103 N  63  10.3157 W   6.9        2.4        9.5        5.9      661.1 
110730  224401  47   0.3114 N  63  10.3179 W   6.9        2.4        9.5        5.9      661.1 
110730  224402  47   0.3124 N  63  10.3201 W   6.9        2.4        9.5        5.9      661.1 
110730  224403  47   0.3135 N  63  10.3222 W   6.9        2.4        9.5        5.9      661.1 
110730  224404  47   0.3146 N  63  10.3244 W   6.9        2.4        9.5        5.9      661.1 
110730  224405  47   0.3158 N  63  10.3267 W   6.9        2.4        9.5        5.9      661.1 
110730  224406  47   0.3170 N  63  10.3290 W   6.9        2.4        9.5      115.3*     661.1 
110730  224407  47   0.3181 N  63  10.3314 W   6.9        2.4        9.5      115.3      661.1 
110730  224408  47   0.3191 N  63  10.3336 W   6.9        2.4        9.5      115.3      661.1 
110730  224409  47   0.3202 N  63  10.3359 W   6.9        2.4        9.5      115.3      661.1 
110730  224410  47   0.3212 N  63  10.3381 W   6.9        2.4        9.5      115.3      661.1 
110730  224411  47   0.3223 N  63  10.3402 W   6.9        2.4        9.5      115.3      661.1 
110730  224412  47   0.3234 N  63  10.3424 W   6.8        2.4        9.5      115.3      661.1 
110730  224413  47   0.3244 N  63  10.3446 W   6.8        2.4        9.5      115.3      661.1 
110730  224414  47   0.3255 N  63  10.3468 W   6.8        2.4        9.5      115.3      661.1 
110730  224415  47   0.3266 N  63  10.3491 W   6.8        2.4        9.5      115.3      661.1 
110730  224416  47   0.3277 N  63  10.3513 W   6.8        2.4        9.5      115.3      226.1*
110730  224417  47   0.3288 N  63  10.3536 W   6.8        2.4        9.5      115.3      226.1 
110730  224418  47   0.3298 N  63  10.3558 W   6.8        2.4        9.5      115.3      226.1 
110730  224419  47   0.3309 N  63  10.3581 W   6.8        2.4        9.5      115.3      226.1 
110730  224420  47   0.3321 N  63  10.3603 W   6.8        2.4        9.5      115.3      226.1 
110730  224421  47   0.3331 N  63  10.3624 W   6.8        2.4        9.5      115.3      226.1 
110730  224422  47   0.3342 N  63  10.3646 W   6.8        2.4        9.5      115.3      226.1 
110730  224423  47   0.3352 N  63  10.3667 W   6.8        2.4        9.5      115.3      226.1 
110730  224424  47   0.3364 N  63  10.3690 W   6.8        2.4        9.5      115.3      226.1 
110730  224425  47   0.3375 N  63  10.3712 W   6.8        2.4        9.5      115.3      226.1 
110730  224426  47   0.3385 N  63  10.3734 W   6.8        2.4        9.5      115.3      226.1 
110730  224427  47   0.3396 N  63  10.3757 W   6.8        2.4        9.5      115.3      226.1 
110730  224428  47   0.3408 N  63  10.3780 W   6.8        2.4        9.5      115.3      226.1 
110730  224429  47   0.3418 N  63  10.3802 W   6.8        2.4        9.5      115.3      226.1 
110730  224430  47   0.3428 N  63  10.3824 W   6.8        2.4        9.5      115.3      226.1 
110730  224431  47   0.3439 N  63  10.3846 W   6.8        2.4        9.5      115.3      226.1 
110730  224432  47   0.3449 N  63  10.3868 W   6.8        2.4        9.5      115.3      226.1 
110730  224433  47   0.3460 N  63  10.3890 W   6.8        2.4        9.5      115.3      226.1 
110730  224434  47   0.3470 N  63  10.3913 W   6.8        2.4        9.5      115.3      226.1 
110730  224435  47   0.3481 N  63  10.3936 W   6.8        2.4        9.5      115.3      226.1 
110730  224436  47   0.3492 N  63  10.3959 W   6.8        2.4        9.5      115.3      226.1 
110730  224437  47   0.3503 N  63  10.3982 W   6.8        2.4        9.5      115.3      226.1 
110730  224438  47   0.3512 N  63  10.4006 W   6.8        2.4        9.5      115.3      226.1 
110730  224439  47   0.3522 N  63  10.4029 W   6.7        2.4        9.5      115.3      226.1 
110730  224440  47   0.3533 N  63  10.4052 W   6.7        2.4        9.5      115.3      226.1 
110730  224441  47   0.3542 N  63  10.4074 W   6.7        2.4        9.5      115.3      226.1 
110730  224442  47   0.3552 N  63  10.4097 W   6.7        2.4        9.5      115.3      226.1 
110730  224443  47   0.3561 N  63  10.4121 W   6.7        2.4        9.5      115.3      226.1 
110730  224444  47   0.3570 N  63  10.4144 W   6.7        2.4        9.5      115.3      226.1 
110730  224445  47   0.3578 N  63  10.4168 W   6.7        2.4        9.5      115.3      226.1 
110730  224446  47   0.3587 N  63  10.4191 W   6.7        2.4        9.5      115.3      226.1 
110730  224447  47   0.3596 N  63  10.4214 W   6.7        2.4        9.5      115.3      226.1 
110730  224448  47   0.3605 N  63  10.4237 W   6.7        2.4        9.5      115.3      226.1 
110730  224449  47   0.3614 N  63  10.4261 W   6.6        2.4        9.5      115.3      226.1 
110730  224450  47   0.3622 N  63  10.4283 W   6.6        2.4        9.5      115.3      226.1 
110730  224451  47   0.3629 N  63  10.4304 W   6.6        2.4        9.5      115.3      226.1 
110730  224452  47   0.3638 N  63  10.4326 W   6.5        2.4        9.5      115.3      226.1 
110730  224453  47   0.3647 N  63  10.4348 W   6.4        2.4        9.5      115.3      267.0*
110730  224454  47   0.3655 N  63  10.4369 W   6.4        2.4        9.5      115.3      267.0 
110730  224455  47   0.3663 N  63  10.4389 W   6.3        2.4        9.5      115.3      267.0 
110730  224456  47   0.3672 N  63  10.4409 W   6.2        2.4        9.5      115.3      267.0 
110730  224457  47   0.3679 N  63  10.4428 W   6.1        2.4        9.5        6.6*     267.0 
110730  224458  47   0.3687 N  63  10.4447 W   6.0        2.4        9.5        6.6       27.7*
110730  224459  47   0.3695 N  63  10.4468 W   6.0        2.4        9.5        6.6       27.7 
110730  224500  47   0.3703 N  63  10.4486 W   5.9        2.4        9.5        6.6       27.7 
110730  224501  47   0.3711 N  63  10.4505 W   5.8        2.4        9.5        6.6       27.7 
110730  224502  47   0.3719 N  63  10.4524 W   5.8        2.4        9.5        5.9*      27.7 
110730  224503  47   0.3727 N  63  10.4543 W   5.7        2.4        9.5        5.9       27.7 
110730  224504  47   0.3735 N  63  10.4561 W   5.6        2.4        9.5        5.9       27.7 
110730  224505  47   0.3743 N  63  10.4581 W   5.6        2.4        9.5        5.9       27.7 
110730  224506  47   0.3751 N  63  10.4599 W   5.6        2.4        9.5        5.9       27.7 
110730  224507  47   0.3759 N  63  10.4617 W   5.5        2.4        9.5        5.9       27.7 
110730  224508  47   0.3766 N  63  10.4635 W   5.5        2.4        9.5        5.9      207.6*
110730  224509  47   0.3774 N  63  10.4653 W   5.4        2.4        9.5        5.9      207.6 
110730  224510  47   0.3781 N  63  10.4671 W   5.4        2.4        9.5        5.9      207.6 
110730  224511  47   0.3788 N  63  10.4689 W   5.4        2.4        9.5        5.9      207.6 
110730  224512  47   0.3794 N  63  10.4706 W   5.3        2.4        9.5       19.1*     207.6 
110730  224513  47   0.3802 N  63  10.4725 W   5.3        2.4        9.5       19.1      207.6 
110730  224514  47   0.3809 N  63  10.4743 W   5.3        2.4        9.5       19.1      207.6 
110730  224515  47   0.3817 N  63  10.4761 W   5.3        2.3*       9.5       19.1      207.6 
110730  224516  47   0.3824 N  63  10.4779 W   5.3        2.3        9.5       19.1      207.6 
110730  224517  47   0.3831 N  63  10.4798 W   5.3        2.3        9.5       19.1      207.6 
110730  224518  47   0.3838 N  63  10.4817 W   5.3        2.3        9.5        8.0*     207.6 
110730  224519  47   0.3845 N  63  10.4835 W   5.3        2.3        9.5        8.0      363.3*
110730  224520  47   0.3853 N  63  10.4855 W   5.3        2.3        9.5        8.0      363.3 
110730  224521  47   0.3861 N  63  10.4874 W   5.3        2.3        9.5        8.0      363.3 
110730  224522  47   0.3869 N  63  10.4892 W   5.3        2.3        9.5        8.0      363.3 
110730  224523  47   0.3875 N  63  10.4911 W   5.3        2.3        9.5        8.0      363.3 
110730  224524  47   0.3882 N  63  10.4930 W   5.2        2.3        9.5        8.0       32.6*
110730  224525  47   0.3888 N  63  10.4948 W   5.2        2.3        9.5        8.0       32.6 
110730  224526  47   0.3895 N  63  10.4967 W   5.2        2.3        9.5        8.0       32.6 
110730  224527  47   0.3902 N  63  10.4985 W   5.2        2.3        9.5        8.0       32.6 
110730  224528  47   0.3907 N  63  10.5004 W   5.2        2.3       13.2*       8.0       32.6 
110730  224529  47   0.3913 N  63  10.5021 W   5.2        2.3       13.2        8.0       32.6 
110730  224530  47   0.3919 N  63  10.5039 W   5.1        2.3       13.2        8.0       26.0*
110730  224531  47   0.3925 N  63  10.5055 W   5.0        2.3       13.2        8.0       26.0 
