FileName: C:\TRAWLS~2\GP025F.TXT
Local Time: Wed Aug 24 14:34:11 2011

Ship: Aug 24, 2011 Trip: GP025F Tow: 08
Comments: zone 12 baie des chaleurs cap espoire
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
110824  173413  48  17.8505 N  64   1.7530 W   4.7        7.9*      13.4*      63.5*       3.1*
110824  173414  48  17.8517 N  64   1.7517 W   4.8        7.9       13.4       63.5        3.1 
110824  173415  48  17.8531 N  64   1.7504 W   5.0        7.9       13.4       63.5        3.1 
110824  173416  48  17.8544 N  64   1.7491 W   5.1        7.9       13.4       63.5        3.1 
110824  173417  48  17.8558 N  64   1.7478 W   5.2        7.9       13.4       63.5        3.1 
110824  173418  48  17.8571 N  64   1.7465 W   5.3        7.9       13.4       63.5        3.1 
110824  173419  48  17.8585 N  64   1.7453 W   5.4        7.9       13.4       63.5        3.1 
110824  173420  48  17.8599 N  64   1.7441 W   5.4        7.9       13.4       63.5        3.1 
110824  173421  48  17.8613 N  64   1.7428 W   5.5        7.9       13.4       63.5        3.1 
110824  173422  48  17.8628 N  64   1.7415 W   5.6        7.9       13.4       63.5        3.1 
110824  173423  48  17.8642 N  64   1.7402 W   5.6        7.9       13.4       63.5        3.1 
110824  173424  48  17.8656 N  64   1.7389 W   5.7        7.9       13.4       63.5        3.1 
110824  173425  48  17.8668 N  64   1.7377 W   5.7        7.9       13.4       63.5        3.1 
110824  173426  48  17.8683 N  64   1.7365 W   5.6        7.9       13.4       63.5        3.1 
110824  173427  48  17.8696 N  64   1.7353 W   5.6        7.9       13.4       63.5        3.1 
110824  173428  48  17.8708 N  64   1.7342 W   5.5        7.9       13.4       63.5        3.1 
110824  173429  48  17.8720 N  64   1.7331 W   5.4        7.9       13.4       63.5        3.1 
110824  173430  48  17.8731 N  64   1.7321 W   5.3        7.9       13.4       63.5        3.1 
110824  173431  48  17.8743 N  64   1.7311 W   5.2        7.9       13.4       63.5        3.1 
110824  173432  48  17.8753 N  64   1.7301 W   5.1        7.9       13.4       63.5        3.1 
110824  173433  48  17.8763 N  64   1.7292 W   4.9        7.9       13.4       63.5        3.1 
110824  173434  48  17.8772 N  64   1.7284 W   4.8        7.9       13.4       63.5        3.1 
110824  173435  48  17.8781 N  64   1.7277 W   4.6        7.9       13.4       63.5        3.1 
110824  173436  48  17.8789 N  64   1.7270 W   4.4        7.9       13.4       63.5        3.1 
110824  173437  48  17.8798 N  64   1.7263 W   4.3        7.9       13.4       63.5        3.1 
110824  173438  48  17.8806 N  64   1.7256 W   4.2        7.9       13.4       63.5        3.1 
110824  173439  48  17.8814 N  64   1.7250 W   4.0        7.9       13.4       63.5        3.1 
110824  173440  48  17.8821 N  64   1.7244 W   3.9        7.9       13.4       63.5        3.1 
110824  173441  48  17.8829 N  64   1.7238 W   3.8        7.9       13.4       63.5        3.1 
110824  173442  48  17.8837 N  64   1.7232 W   3.7        7.9       13.4       63.5        3.1 
110824  173443  48  17.8844 N  64   1.7226 W   3.6        7.9       13.4       63.5        3.1 
110824  173444  48  17.8852 N  64   1.7220 W   3.5        7.9       13.4        3.2*       3.1 
110824  173445  48  17.8860 N  64   1.7214 W   3.4        7.9       13.4        3.2        3.1 
110824  173446  48  17.8866 N  64   1.7209 W   3.3        7.9       13.4        3.2        3.1 
110824  173447  48  17.8873 N  64   1.7204 W   3.2        7.9       13.4        3.2        3.1 
110824  173448  48  17.8879 N  64   1.7199 W   3.1        7.9       13.4        3.2        3.1 
110824  173449  48  17.8886 N  64   1.7194 W   3.1        7.9       13.3*       6.6*       3.1 
110824  173450  48  17.8892 N  64   1.7190 W   3.0        7.9       13.3        6.6        3.1 
110824  173451  48  17.8898 N  64   1.7186 W   2.9        7.9       13.3        6.6        3.1 
110824  173452  48  17.8904 N  64   1.7181 W   2.8        7.9       13.3        6.6        3.1 
110824  173453  48  17.8910 N  64   1.7176 W   2.8        7.9       13.3        6.6        0.4*
110824  173454  48  17.8916 N  64   1.7171 W   2.7        7.9       13.3        6.6        0.4 
110824  173455  48  17.8921 N  64   1.7168 W   2.6        7.9       13.3        6.6        0.4 
110824  173456  48  17.8926 N  64   1.7164 W   2.6        7.9       13.3        6.6        0.4 
110824  173457  48  17.8932 N  64   1.7159 W   2.6        7.9       13.3        6.6        0.4 
110824  173458  48  17.8937 N  64   1.7154 W   2.5        7.9       13.3        6.6        0.4 
110824  173459  48  17.8943 N  64   1.7150 W   2.5        7.9       13.3        6.6        0.4 
110824  173500  48  17.8948 N  64   1.7146 W   2.4        7.9       13.3        4.7*       0.4 
110824  173501  48  17.8953 N  64   1.7142 W   2.4        7.9       13.3        4.7        0.4 
110824  173502  48  17.8958 N  64   1.7137 W   2.4        2.7*      13.3        4.7        0.4 
110824  173503  48  17.8964 N  64   1.7133 W   2.4        2.7       13.3        4.7        0.4 
110824  173504  48  17.8969 N  64   1.7129 W   2.3        2.7       13.3        4.7        0.4 
110824  173505  48  17.8974 N  64   1.7126 W   2.3        2.7       13.3        3.0*       0.4 
