FileName: C:\TRAWLS~2\GP036F.TXT
Local Time: Sun Aug 14 16:33:17 2011

Ship: Aug 14, 2011 Trip: GP036F Tow: 09
Comments: zone 12 baie de gaspe
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
110814  193319  48  46.6793 N  64  18.4478 W   6.2       11.4*       9.0*     123.5*     199.7*
110814  193320  48  46.6779 N  64  18.4459 W   6.3       11.4        9.0      123.5      199.7 
110814  193321  48  46.6766 N  64  18.4439 W   6.3       11.4        9.0      123.5      199.7 
110814  193322  48  46.6753 N  64  18.4420 W   6.4       11.4        9.0      123.5      199.7 
110814  193323  48  46.6740 N  64  18.4400 W   6.4       11.4        9.0      123.5      199.7 
110814  193324  48  46.6728 N  64  18.4382 W   6.3       11.4        9.0      123.5      199.7 
110814  193325  48  46.6715 N  64  18.4364 W   6.3       11.4        9.0      123.5      199.7 
110814  193326  48  46.6703 N  64  18.4346 W   6.2       11.4        9.0      123.5      199.7 
110814  193327  48  46.6692 N  64  18.4329 W   6.2       11.4        9.0      123.5      199.7 
110814  193328  48  46.6680 N  64  18.4312 W   6.1       11.4        9.0      123.5      199.7 
110814  193329  48  46.6669 N  64  18.4295 W   6.0       11.4        9.0      123.5      199.7 
110814  193330  48  46.6658 N  64  18.4279 W   5.9       11.4        9.0      123.5      199.7 
110814  193331  48  46.6647 N  64  18.4263 W   5.8       11.4        9.0      123.5      199.7 
110814  193332  48  46.6637 N  64  18.4248 W   5.7       11.4        9.0      123.5      199.7 
110814  193333  48  46.6627 N  64  18.4232 W   5.6       11.4        2.2*     123.5      199.7 
110814  193334  48  46.6617 N  64  18.4217 W   5.5       11.4        2.2      123.5      199.7 
110814  193335  48  46.6608 N  64  18.4203 W   5.4       11.4        2.2      123.5      199.7 
110814  193336  48  46.6598 N  64  18.4188 W   5.3       11.4        2.2        3.6*     199.7 
110814  193337  48  46.6589 N  64  18.4174 W   5.2       11.4        2.2        3.6      199.7 
110814  193338  48  46.6580 N  64  18.4159 W   5.1       11.4        2.2        3.6      199.7 
110814  193339  48  46.6571 N  64  18.4145 W   5.0       11.4        2.2        3.6      199.7 
110814  193340  48  46.6562 N  64  18.4132 W   4.9       11.4       12.5*       3.6      199.7 
110814  193341  48  46.6554 N  64  18.4119 W   4.8       11.4       12.5        3.6      199.7 
110814  193342  48  46.6546 N  64  18.4105 W   4.8       11.4       12.5        3.6      199.7 
110814  193343  48  46.6538 N  64  18.4093 W   4.6       11.4       12.5        3.6      199.7 
110814  193344  48  46.6530 N  64  18.4080 W   4.6       11.4       12.5        3.6      199.7 
110814  193345  48  46.6522 N  64  18.4068 W   4.5       11.4       12.5        3.6       10.6*
110814  193346  48  46.6515 N  64  18.4056 W   4.4       11.4       12.5        0.1*      10.6 
110814  193347  48  46.6508 N  64  18.4044 W   4.3       11.4       12.5        0.1       10.6 
110814  193348  48  46.6501 N  64  18.4032 W   4.2       11.4       12.5        0.1       10.6 
110814  193349  48  46.6494 N  64  18.4021 W   4.1       11.4       12.5        0.1       10.6 
