FileName: C:\TRAWLS~2\GP048F.TXT
Local Time: Mon Aug 15 07:01:29 2011

Ship: Aug 15, 2011 Trip: GP048F Tow: 02
Comments: zone 12 ouest banc des orphelins
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
110815  100131  48  17.0555 N  63  48.0383 W   7.1       10.5*      13.4      123.1*     584.2*
110815  100132  48  17.0536 N  63  48.0372 W   7.1       10.5       13.4      123.1      584.2 
110815  100133  48  17.0517 N  63  48.0360 W   7.2       10.5       13.4      123.1      584.2 
110815  100134  48  17.0497 N  63  48.0348 W   7.2       10.5       13.4      123.1      584.2 
110815  100135  48  17.0478 N  63  48.0336 W   7.2       10.5       13.4      123.1      584.2 
110815  100136  48  17.0460 N  63  48.0324 W   7.2       10.5       13.4      123.1      584.2 
110815  100137  48  17.0441 N  63  48.0313 W   7.2       10.5       13.4      123.1      584.2 
110815  100138  48  17.0423 N  63  48.0302 W   7.2       10.5       13.4      123.1      584.2 
110815  100139  48  17.0405 N  63  48.0291 W   7.1       10.5       13.4      123.1      584.2 
110815  100140  48  17.0388 N  63  48.0280 W   7.1       10.5       13.4      123.1      584.2 
110815  100141  48  17.0370 N  63  48.0269 W   7.0       10.5       13.4      123.1      584.2 
110815  100142  48  17.0354 N  63  48.0259 W   6.9       10.5       13.4      123.1      584.2 
110815  100143  48  17.0339 N  63  48.0249 W   6.7       10.5       13.4      123.1      584.2 
110815  100144  48  17.0323 N  63  48.0238 W   6.6       10.5       13.4      123.1      584.2 
110815  100145  48  17.0308 N  63  48.0228 W   6.5       10.5       13.4      123.1      584.2 
110815  100146  48  17.0294 N  63  48.0219 W   6.3       10.5       13.4      123.1      584.2 
110815  100147  48  17.0281 N  63  48.0210 W   6.2       10.5       13.4      123.1      584.2 
110815  100148  48  17.0268 N  63  48.0201 W   6.0       10.5       13.4      123.1      584.2 
110815  100149  48  17.0256 N  63  48.0193 W   5.9       10.5       13.4      123.1      584.2 
110815  100150  48  17.0244 N  63  48.0185 W   5.7       10.5       13.4      123.1      584.2 
110815  100151  48  17.0232 N  63  48.0177 W   5.6       10.5       13.4      123.1       18.0*
110815  100152  48  17.0220 N  63  48.0169 W   5.4       10.5       13.4      123.1       18.0 
110815  100153  48  17.0208 N  63  48.0162 W   5.3       10.5       13.4      123.1       18.0 
110815  100154  48  17.0196 N  63  48.0155 W   5.2       10.5       13.4      123.1       18.0 
110815  100155  48  17.0186 N  63  48.0148 W   5.0       10.5       13.4      123.1       18.0 
110815  100156  48  17.0175 N  63  48.0141 W   4.9       10.5       13.4      123.1       18.0 
110815  100157  48  17.0165 N  63  48.0134 W   4.8       10.5       13.4      123.1       18.0 
110815  100158  48  17.0155 N  63  48.0128 W   4.7       10.5       13.4      123.1       18.0 
110815  100159  48  17.0145 N  63  48.0121 W   4.6       10.5       13.4      123.1       18.0 
110815  100200  48  17.0135 N  63  48.0115 W   4.5       10.5       13.4      123.1       18.0 
110815  100201  48  17.0125 N  63  48.0109 W   4.4       10.5       13.4      123.1       18.0 
110815  100202  48  17.0115 N  63  48.0102 W   4.3       10.5       13.4      123.1       18.0 
110815  100203  48  17.0105 N  63  48.0096 W   4.3       10.5       13.4      123.1       18.0 
110815  100204  48  17.0095 N  63  48.0090 W   4.2       10.5       13.4        4.4*      18.0 
110815  100205  48  17.0085 N  63  48.0083 W   4.2       10.5       13.4        4.4       18.0 
110815  100206  48  17.0076 N  63  48.0077 W   4.2       10.5       13.4        4.4       18.0 
110815  100207  48  17.0067 N  63  48.0072 W   4.1       10.5       13.4        4.4       18.0 
110815  100208  48  17.0058 N  63  48.0066 W   4.1       10.5       13.4        4.4       18.0 
110815  100209  48  17.0049 N  63  48.0060 W   4.1       10.5       13.5*       2.9*      18.0 
110815  100210  48  17.0039 N  63  48.0054 W   4.0       10.5       13.5        2.9       18.0 
110815  100211  48  17.0030 N  63  48.0048 W   4.0       10.5       13.5        2.9       18.0 
110815  100212  48  17.0020 N  63  48.0043 W   4.0       10.5       13.5        2.9       18.0 
110815  100213  48  17.0011 N  63  48.0037 W   3.9       10.5       13.5        2.9       18.0 
110815  100214  48  17.0002 N  63  48.0031 W   3.9       10.5       13.5        2.9       18.0 
110815  100215  48  16.9993 N  63  48.0026 W   3.9       10.5       13.5        2.8*      18.0 
110815  100216  48  16.9984 N  63  48.0020 W   3.8       10.5       13.5        2.8       18.0 
110815  100217  48  16.9974 N  63  48.0015 W   3.8       10.5       13.5        2.8       18.0 
110815  100218  48  16.9965 N  63  48.0009 W   3.8       10.5       13.5        2.8       18.0 
110815  100219  48  16.9956 N  63  48.0004 W   3.7       10.5       13.5        2.8       18.0 
110815  100220  48  16.9947 N  63  47.9999 W   3.7       10.5       13.5        3.9*      18.0 
110815  100221  48  16.9938 N  63  47.9994 W   3.7       10.5       13.5        3.9       18.0 
110815  100222  48  16.9929 N  63  47.9989 W   3.7        2.2*      13.5        3.9       18.0 
110815  100223  48  16.9921 N  63  47.9984 W   3.6        2.2       13.5        3.9       18.0 
110815  100224  48  16.9911 N  63  47.9978 W   3.7        2.2       13.5        3.9       18.0 
110815  100225  48  16.9901 N  63  47.9972 W   3.7        2.2       13.5        4.2*      18.0 
110815  100226  48  16.9890 N  63  47.9967 W   3.8        2.2       13.5        4.2       18.0 
110815  100227  48  16.9879 N  63  47.9960 W   3.9        2.2       13.5        4.2       18.0 
110815  100228  48  16.9867 N  63  47.9953 W   4.0        2.2       13.5        4.2       18.0 
110815  100229  48  16.9854 N  63  47.9946 W   4.2        2.2       13.5        4.2       18.0 
110815  100230  48  16.9841 N  63  47.9938 W   4.3        2.2       13.5        4.2       18.0 
110815  100231  48  16.9827 N  63  47.9929 W   4.5        2.2       13.5        4.2       18.0 
110815  100232  48  16.9813 N  63  47.9921 W   4.7        2.2       13.5        4.2       18.0 
110815  100233  48  16.9798 N  63  47.9912 W   4.8        2.2       13.5        4.2       18.0 
110815  100234  48  16.9783 N  63  47.9903 W   5.0        2.2       13.5        4.2       18.0 
110815  100235  48  16.9767 N  63  47.9893 W   5.2        2.2       13.5        4.2       18.0 
110815  100236  48  16.9752 N  63  47.9883 W   5.3        2.2       13.5      121.7*      18.0 
110815  100237  48  16.9735 N  63  47.9873 W   5.5        2.2       13.5      121.7       18.0 
110815  100238  48  16.9719 N  63  47.9863 W   5.6        2.2       13.5      121.7       18.0 
110815  100239  48  16.9702 N  63  47.9852 W   5.8        2.2       13.5      121.7       18.0 
