FileName: C:\TRAWLS~2\GP060F.TXT
Local Time: Mon Aug 01 17:29:42 2011

Ship: August 01, 2011 Trip: GP060F Tow: 09
Comments: zone 12 vallee de shediac sud
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
110801  202943  47  21.3417 N  64  24.6490 W   6.0        4.2*      11.0*      75.8*     163.6*
110801  202944  47  21.3432 N  64  24.6509 W   6.2        4.2       11.0       75.8      163.6 
110801  202945  47  21.3447 N  64  24.6528 W   6.3        4.2       11.0       75.8      163.6 
110801  202946  47  21.3462 N  64  24.6547 W   6.4        4.2       11.0       75.8      163.6 
110801  202947  47  21.3477 N  64  24.6566 W   6.5        4.2       11.0       75.8      163.6 
110801  202948  47  21.3493 N  64  24.6584 W   6.6        4.2       11.0       75.8      163.6 
110801  202949  47  21.3509 N  64  24.6603 W   6.7        4.2       11.0       75.8      163.6 
110801  202950  47  21.3525 N  64  24.6622 W   6.8        4.2       11.0       75.8      163.6 
110801  202951  47  21.3540 N  64  24.6642 W   6.9        4.2       11.0       75.8      163.6 
110801  202952  47  21.3555 N  64  24.6661 W   6.9        4.2       11.0       75.8      163.6 
110801  202953  47  21.3570 N  64  24.6680 W   6.9        4.2       11.0       75.8      163.6 
110801  202954  47  21.3585 N  64  24.6698 W   6.9        4.2       11.0       75.8      163.6 
110801  202955  47  21.3599 N  64  24.6716 W   6.9        4.2       11.0       75.8      163.6 
110801  202956  47  21.3612 N  64  24.6733 W   6.8        4.2       11.0       75.8      163.6 
110801  202957  47  21.3625 N  64  24.6750 W   6.7        4.2       11.0       75.8      163.6 
110801  202958  47  21.3638 N  64  24.6765 W   6.5        8.3*      11.0       75.8      163.6 
110801  202959  47  21.3651 N  64  24.6780 W   6.4        8.3       11.0       75.8      163.6 
110801  203000  47  21.3663 N  64  24.6794 W   6.3        8.3       11.0       75.8      163.6 
110801  203001  47  21.3674 N  64  24.6808 W   6.1        8.3       11.0       75.8      163.6 
110801  203002  47  21.3685 N  64  24.6821 W   5.9        8.3       11.0       75.8      163.6 
110801  203003  47  21.3695 N  64  24.6834 W   5.7        8.3       11.0       75.8      163.6 
110801  203004  47  21.3705 N  64  24.6846 W   5.6        8.3       11.0       75.8      163.6 
110801  203005  47  21.3715 N  64  24.6858 W   5.4        8.3       11.0       75.8      163.6 
110801  203006  47  21.3724 N  64  24.6870 W   5.2        8.3       11.0       75.8      163.6 
110801  203007  47  21.3733 N  64  24.6881 W   5.1        8.3       11.0       75.8      163.6 
110801  203008  47  21.3743 N  64  24.6892 W   5.0        8.3       11.0       75.8      163.6 
110801  203009  47  21.3752 N  64  24.6903 W   4.9        8.3       11.0       75.8      163.6 
110801  203010  47  21.3761 N  64  24.6914 W   4.8        8.3       11.0       75.8      163.6 
110801  203011  47  21.3769 N  64  24.6925 W   4.6        8.3       11.0       75.8      163.6 
110801  203012  47  21.3777 N  64  24.6936 W   4.5        8.3       11.0       75.8      163.6 
110801  203013  47  21.3785 N  64  24.6945 W   4.4        8.3       11.0       75.8      163.6 
110801  203014  47  21.3794 N  64  24.6956 W   4.3        8.3       11.0       75.8      163.6 
110801  203015  47  21.3802 N  64  24.6965 W   4.2        8.3       11.0       75.8      163.6 
110801  203016  47  21.3809 N  64  24.6975 W   4.1        8.3       11.0       75.8      163.6 
110801  203017  47  21.3816 N  64  24.6984 W   4.0        8.3       11.0       75.8      163.6 
110801  203018  47  21.3824 N  64  24.6993 W   3.9        8.3       11.0       75.8      163.6 
110801  203019  47  21.3831 N  64  24.7002 W   3.9        8.3       11.0        4.4*     163.6 
110801  203020  47  21.3838 N  64  24.7010 W   3.8        8.3       11.0        4.4      163.6 
110801  203021  47  21.3845 N  64  24.7019 W   3.7        8.3       11.0        4.4      163.6 
110801  203022  47  21.3852 N  64  24.7028 W   3.6        8.3       11.0        4.4      163.6 
110801  203023  47  21.3859 N  64  24.7036 W   3.6        8.3       11.0        4.4      163.6 
110801  203024  47  21.3866 N  64  24.7045 W   3.6        2.1*      11.0        4.2*     163.6 
110801  203025  47  21.3874 N  64  24.7055 W   3.6        2.1       11.0        4.2      163.6 
110801  203026  47  21.3882 N  64  24.7064 W   3.6        2.1       11.0        4.2        7.9*
110801  203027  47  21.3891 N  64  24.7076 W   3.7        2.1       11.0        4.2        7.9 
110801  203028  47  21.3900 N  64  24.7088 W   3.8        2.1       11.0        4.2        7.9 
110801  203029  47  21.3909 N  64  24.7100 W   3.9        2.1       11.0        4.2        7.9 
