FileName: C:\TRAWLS~2\GP083F.TXT
Local Time: Tue Jul 26 05:18:03 2011

Ship: July 26, 2011 Trip: GP083F Tow: 01
Comments: zone 12 nord de pei cablehead
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
110726  081805  46  48.2542 N  62  33.6308 W   5.8       13.0*       4.4*      23.4*      15.0*
110726  081806  46  48.2551 N  62  33.6285 W   5.9       13.0        4.4       23.4       15.0 
110726  081807  46  48.2559 N  62  33.6262 W   6.0       13.0        4.4       23.4       15.0 
110726  081808  46  48.2567 N  62  33.6239 W   6.1       13.0        4.4       23.4       15.0 
110726  081809  46  48.2575 N  62  33.6216 W   6.1       13.0        4.4       23.4       15.0 
110726  081810  46  48.2583 N  62  33.6192 W   6.2       13.0        4.4       23.4       15.0 
110726  081811  46  48.2592 N  62  33.6168 W   6.3       13.0        4.4       23.4       15.0 
110726  081812  46  48.2601 N  62  33.6145 W   6.3       13.0        4.4       23.4       15.0 
110726  081813  46  48.2609 N  62  33.6121 W   6.3       13.0        4.4       23.4       15.0 
110726  081814  46  48.2618 N  62  33.6098 W   6.4       13.0        4.4       23.4       15.0 
110726  081815  46  48.2627 N  62  33.6075 W   6.3       13.0        4.4       23.4       15.0 
110726  081816  46  48.2635 N  62  33.6054 W   6.3       13.0        4.4       23.4       15.0 
110726  081817  46  48.2642 N  62  33.6033 W   6.2       13.0        4.4       23.4       15.0 
110726  081818  46  48.2649 N  62  33.6013 W   6.1       13.0        4.4       23.4       15.0 
110726  081819  46  48.2657 N  62  33.5993 W   6.0       13.0        4.4       23.4       15.0 
110726  081820  46  48.2664 N  62  33.5973 W   5.9       13.0        4.4       23.4       15.0 
110726  081821  46  48.2671 N  62  33.5954 W   5.8       13.0        4.4       23.4       15.0 
110726  081822  46  48.2678 N  62  33.5936 W   5.7       13.0        4.4       23.4       15.0 
110726  081823  46  48.2685 N  62  33.5917 W   5.6       13.0        4.4       23.4       15.0 
110726  081824  46  48.2691 N  62  33.5899 W   5.4       13.0        4.4       23.4       15.0 
110726  081825  46  48.2697 N  62  33.5884 W   5.3       13.0        4.4        2.6*      15.0 
110726  081826  46  48.2702 N  62  33.5868 W   5.1       13.0        4.4        2.6       15.0 
110726  081827  46  48.2707 N  62  33.5852 W   5.0       13.0        4.4        2.6       15.0 
110726  081828  46  48.2712 N  62  33.5838 W   4.8       13.0        4.4        2.6       15.0 
