FileName: C:\TRAWLS~2\GP090FR.TXT
Local Time: Thu Sep 15 13:34:49 2011

Ship: Sept 15, 2011 Trip: GP090Fr Tow: 04
Comments: zone 12 canal des iles
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
110915  163452  46  50.6642 N  61  55.0621 W   6.4        2.8*       8.6*      94.8*     471.1*
110915  163453  46  50.6658 N  61  55.0636 W   6.5        2.8        8.6       94.8      471.1 
110915  163454  46  50.6675 N  61  55.0653 W   6.6        2.8        8.6       94.8      471.1 
110915  163455  46  50.6691 N  61  55.0668 W   6.7        2.8        8.6       94.8      471.1 
110915  163456  46  50.6708 N  61  55.0685 W   6.7        2.8        8.6       94.8      471.1 
110915  163457  46  50.6724 N  61  55.0701 W   6.7        2.8        8.6       94.8      471.1 
110915  163458  46  50.6739 N  61  55.0717 W   6.7        2.8        8.6       94.8      471.1 
110915  163459  46  50.6755 N  61  55.0734 W   6.8        2.8        8.6       94.8      471.1 
110915  163500  46  50.6772 N  61  55.0751 W   6.8        2.8        8.6       94.8      471.1 
110915  163501  46  50.6788 N  61  55.0766 W   6.9        2.8        8.6       94.8      471.1 
110915  163502  46  50.6804 N  61  55.0782 W   6.9        2.8        8.6       94.8      471.1 
110915  163503  46  50.6820 N  61  55.0798 W   6.9        2.8        8.6       94.8      471.1 
110915  163504  46  50.6836 N  61  55.0814 W   6.9        2.8        8.6       94.8      471.1 
110915  163505  46  50.6852 N  61  55.0829 W   6.9        2.8        8.6       94.8      471.1 
110915  163506  46  50.6868 N  61  55.0843 W   6.9        2.8        4.0*      94.8      471.1 
110915  163507  46  50.6884 N  61  55.0859 W   6.9        2.8        4.0       94.8      471.1 
110915  163508  46  50.6900 N  61  55.0875 W   6.9        2.8        4.0       94.8      315.0*
110915  163509  46  50.6916 N  61  55.0890 W   6.9        2.8        4.0       94.8      315.0 
110915  163510  46  50.6932 N  61  55.0906 W   6.9        2.8        4.0       94.8      315.0 
110915  163511  46  50.6948 N  61  55.0921 W   6.9        2.8        4.0       94.8      315.0 
