FileName: C:\TRAWLS~2\GP122F.TXT
Local Time: Mon Aug 15 10:19:52 2011

Ship: Aug 15, 2011 Trip: GP122F Tow: 05
Comments: zone 12 sud ouest banc des orphelins
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
110815  131954  48  13.2645 N  63  28.8677 W   5.3        8.1*       2.8*     149.6*     492.7*
110815  131955  48  13.2659 N  63  28.8662 W   5.4        8.1        2.8      149.6      492.7 
110815  131956  48  13.2672 N  63  28.8648 W   5.5        8.1        2.8      117.5*     492.7 
110815  131957  48  13.2686 N  63  28.8633 W   5.6        8.1        2.8      117.5      492.7 
110815  131958  48  13.2700 N  63  28.8619 W   5.6        8.1        2.8      117.5      492.7 
110815  131959  48  13.2713 N  63  28.8605 W   5.6        8.1        2.8      117.5      331.2*
110815  132000  48  13.2726 N  63  28.8591 W   5.7        8.1        2.8      117.5      331.2 
110815  132001  48  13.2740 N  63  28.8577 W   5.7        8.1        2.8      117.5      331.2 
110815  132002  48  13.2753 N  63  28.8563 W   5.7        8.1        2.8      117.5      331.2 
110815  132003  48  13.2766 N  63  28.8549 W   5.7        8.1        2.8      117.5      331.2 
110815  132004  48  13.2779 N  63  28.8535 W   5.7        8.1        2.8      117.5      331.2 
110815  132005  48  13.2792 N  63  28.8522 W   5.7        8.1        2.8      117.5      331.2 
110815  132006  48  13.2805 N  63  28.8508 W   5.7        8.1        2.8      117.5      331.2 
110815  132007  48  13.2818 N  63  28.8495 W   5.6        8.1        2.8      117.5      331.2 
110815  132008  48  13.2831 N  63  28.8481 W   5.6        8.1        2.8      117.5      331.2 
110815  132009  48  13.2843 N  63  28.8469 W   5.6        8.1        2.8      117.5      331.2 
110815  132010  48  13.2855 N  63  28.8456 W   5.5        8.1        2.8      117.5      331.2 
110815  132011  48  13.2867 N  63  28.8444 W   5.4        8.1        2.8      117.5      331.2 
110815  132012  48  13.2878 N  63  28.8432 W   5.4        8.1        2.8      117.5      331.2 
110815  132013  48  13.2889 N  63  28.8421 W   5.2        8.1        2.8      117.5      331.2 
