FileName: C:\TRAWLS~2\GP124F.TXT
Local Time: Wed Aug 10 15:26:34 2011

Ship: Aug 10, 2011 Trip: GP124F Tow: 08
Comments: zone 12 ouest du banc orphelain
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
110810  182636  48  21.0676 N  63  15.3519 W   5.7       11.5*       5.5*      12.4*     132.0*
110810  182637  48  21.0692 N  63  15.3530 W   5.7       11.5        5.5       12.4      132.0 
110810  182638  48  21.0707 N  63  15.3544 W   5.8       11.5        5.5       12.4      132.0 
110810  182639  48  21.0723 N  63  15.3557 W   5.9       11.5        5.5       12.4      132.0 
110810  182640  48  21.0739 N  63  15.3571 W   6.0       11.5        5.5       72.6*     132.0 
110810  182641  48  21.0756 N  63  15.3583 W   6.1       11.5        5.5       72.6      132.0 
110810  182642  48  21.0772 N  63  15.3596 W   6.2       11.5        5.5       72.6      132.0 
110810  182643  48  21.0788 N  63  15.3608 W   6.2       11.5        5.5       72.6      132.0 
110810  182644  48  21.0803 N  63  15.3619 W   6.2       11.5        5.5       72.6      132.0 
110810  182645  48  21.0818 N  63  15.3630 W   6.2       11.5        5.5       72.6      132.0 
110810  182646  48  21.0834 N  63  15.3643 W   6.2       11.5        5.5       72.6      132.0 
110810  182647  48  21.0849 N  63  15.3655 W   6.2       11.5        5.5       72.6      132.0 
110810  182648  48  21.0864 N  63  15.3668 W   6.2       11.5        5.5       72.6      132.0 
110810  182649  48  21.0878 N  63  15.3681 W   6.1       11.5        5.5       72.6      132.0 
110810  182650  48  21.0892 N  63  15.3692 W   6.1       11.5        5.5       72.6      132.0 
110810  182651  48  21.0906 N  63  15.3702 W   6.0       11.5        5.5       72.6      132.0 
110810  182652  48  21.0919 N  63  15.3710 W   5.8       11.5        5.5       72.6      132.0 
110810  182653  48  21.0932 N  63  15.3720 W   5.7       11.5        5.5       72.6      132.0 
110810  182654  48  21.0943 N  63  15.3730 W   5.5       11.5        5.5       72.6      132.0 
110810  182655  48  21.0954 N  63  15.3739 W   5.4       11.5        5.5       72.6      132.0 
110810  182656  48  21.0966 N  63  15.3749 W   5.3       11.5        5.5       72.6      132.0 
110810  182657  48  21.0977 N  63  15.3758 W   5.2       11.5        5.5       72.6      132.0 
110810  182658  48  21.0987 N  63  15.3766 W   5.0       11.5        5.5       72.6      132.0 
110810  182659  48  21.0997 N  63  15.3772 W   4.8       11.5        5.5        2.3*     132.0 
110810  182700  48  21.1007 N  63  15.3780 W   4.7       11.5        5.5        2.3      132.0 
110810  182701  48  21.1017 N  63  15.3787 W   4.6       11.5        5.5        2.3      132.0 
110810  182702  48  21.1027 N  63  15.3796 W   4.5       11.5        5.5        2.3      132.0 
110810  182703  48  21.1036 N  63  15.3804 W   4.4       11.5        5.5        2.3      132.0 
110810  182704  48  21.1046 N  63  15.3811 W   4.4       11.5        5.5        3.5*     132.0 
110810  182705  48  21.1057 N  63  15.3818 W   4.3       11.5        5.5        3.5      132.0 
110810  182706  48  21.1066 N  63  15.3825 W   4.2       11.5        5.5        3.5      132.0 
110810  182707  48  21.1075 N  63  15.3832 W   4.1       11.5        5.5        3.5      132.0 
110810  182708  48  21.1083 N  63  15.3838 W   4.0       11.5        5.5        3.5      132.0 
110810  182709  48  21.1092 N  63  15.3844 W   3.9       11.5        5.5        3.4*     132.0 
110810  182710  48  21.1101 N  63  15.3850 W   3.9       11.5        5.5        3.4      132.0 
110810  182711  48  21.1111 N  63  15.3855 W   3.8       11.5        5.5        3.4      132.0 
110810  182712  48  21.1119 N  63  15.3861 W   3.8       11.5        5.5        3.4      132.0 
110810  182713  48  21.1127 N  63  15.3868 W   3.7       11.5        5.5        3.4      132.0 
110810  182714  48  21.1135 N  63  15.3874 W   3.7       11.5        5.5        1.8*     132.0 
110810  182715  48  21.1144 N  63  15.3879 W   3.6       11.5        5.5        1.8      132.0 
110810  182716  48  21.1153 N  63  15.3885 W   3.6       11.5        5.5        1.8      132.0 
110810  182717  48  21.1160 N  63  15.3892 W   3.5       11.5        5.5        1.8       18.0*
110810  182718  48  21.1169 N  63  15.3899 W   3.6       11.5        5.5        1.8       18.0 
110810  182719  48  21.1179 N  63  15.3908 W   3.7       11.5        5.5        1.8       18.0 
110810  182720  48  21.1189 N  63  15.3916 W   3.7       11.5        5.5        1.8       18.0 
110810  182721  48  21.1199 N  63  15.3924 W   3.8       11.5        5.5        1.8       18.0 
110810  182722  48  21.1210 N  63  15.3934 W   3.9       11.5        5.5        1.8       18.0 
110810  182723  48  21.1221 N  63  15.3944 W   4.1       11.5        5.5        1.8       18.0 
110810  182724  48  21.1234 N  63  15.3954 W   4.2       11.5        5.5        1.8       18.0 
110810  182725  48  21.1246 N  63  15.3966 W   4.4       11.5        5.5        1.8       18.0 
110810  182726  48  21.1259 N  63  15.3981 W   4.6       11.5        5.5        1.8       18.0 
110810  182727  48  21.1272 N  63  15.3996 W   4.8       11.5        5.5        1.8       18.0 
110810  182728  48  21.1286 N  63  15.4010 W   5.0       11.5        5.5       77.3*      18.0 
110810  182729  48  21.1300 N  63  15.4022 W   5.2       11.5        5.5       77.3       18.0 
110810  182730  48  21.1314 N  63  15.4035 W   5.3       11.5        5.5       77.3       18.0 
110810  182731  48  21.1327 N  63  15.4049 W   5.4       11.5        5.5       77.3       18.0 
