FileName: C:\TRAWLS~2\GP156F.TXT
Local Time: Fri Jul 15 09:55:43 2011

Ship: July 15, 2011 Trip: GP156F Tow: 04
Comments: zone 12 nord de l ile brion
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
110715  125545  48   3.5900 N  61  29.1901 W   5.1        4.4*      10.4*     131.2*     398.1*
110715  125546  48   3.5896 N  61  29.1925 W   5.2        4.4       10.4      131.2      398.1 
110715  125547  48   3.5892 N  61  29.1950 W   5.4        4.4       10.4      131.2      398.1 
110715  125548  48   3.5886 N  61  29.1975 W   5.5        4.4       10.4      131.2      398.1 
110715  125549  48   3.5881 N  61  29.2000 W   5.6        4.4       10.4      131.2      398.1 
110715  125550  48   3.5875 N  61  29.2026 W   5.8        4.4       10.4      131.2      398.1 
110715  125551  48   3.5870 N  61  29.2052 W   5.9        4.4       10.4      131.2      398.1 
110715  125552  48   3.5867 N  61  29.2078 W   6.0        4.4       10.4      131.2      398.1 
110715  125553  48   3.5863 N  61  29.2102 W   6.0        4.4       10.4      131.2      398.1 
110715  125554  48   3.5859 N  61  29.2127 W   6.0        4.4       10.4      131.2      398.1 
110715  125555  48   3.5854 N  61  29.2151 W   6.0        4.4       10.4      131.2      398.1 
110715  125556  48   3.5848 N  61  29.2174 W   6.0        4.4       10.4      131.2      398.1 
110715  125557  48   3.5844 N  61  29.2198 W   6.0        4.4       10.4      131.2      398.1 
110715  125558  48   3.5840 N  61  29.2222 W   6.0        4.4       10.4      131.2      398.1 
110715  125559  48   3.5837 N  61  29.2245 W   5.9        4.4       10.4      131.2      398.1 
110715  125600  48   3.5834 N  61  29.2266 W   5.8        4.4       10.4      131.2      398.1 
110715  125601  48   3.5831 N  61  29.2286 W   5.7        4.4       10.4      131.2      398.1 
110715  125602  48   3.5829 N  61  29.2306 W   5.6        4.4       10.4      131.2      398.1 
110715  125603  48   3.5825 N  61  29.2326 W   5.5        4.4       10.4      131.2      398.1 
110715  125604  48   3.5821 N  61  29.2345 W   5.3        4.4       10.4      131.2      398.1 
110715  125605  48   3.5818 N  61  29.2363 W   5.2        4.4       10.4      131.2      398.1 
110715  125606  48   3.5816 N  61  29.2380 W   5.0        4.4       10.4      131.2      398.1 
