FileName: C:\TRAWLS~2\GP216F.TXT
Local Time: Tue Sep 13 19:27:01 2011

Ship: Sept 13, 2011 Trip: GP216F Tow: 12
Comments: zone 12 banc bradelle centre
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
110913  222703  47  37.0411 N  62  50.4415 W   6.1        9.6*       9.3*       1.8*     702.0*
110913  222704  47  37.0406 N  62  50.4441 W   6.2        9.6        9.3        1.8      702.0 
110913  222705  47  37.0400 N  62  50.4468 W   6.3        9.6        9.3        1.8      702.0 
110913  222706  47  37.0395 N  62  50.4494 W   6.3        9.6        9.3        1.8      702.0 
110913  222707  47  37.0390 N  62  50.4520 W   6.4        9.6        9.3        1.8      702.0 
110913  222708  47  37.0384 N  62  50.4546 W   6.4        9.6        9.3        1.8      702.0 
110913  222709  47  37.0379 N  62  50.4572 W   6.4        9.6        9.3        1.8      702.0 
110913  222710  47  37.0375 N  62  50.4600 W   6.5        9.6        9.3        1.8      702.0 
110913  222711  47  37.0370 N  62  50.4627 W   6.5        9.6        9.3        1.8      702.0 
110913  222712  47  37.0366 N  62  50.4653 W   6.6        9.6        9.3        1.8      702.0 
110913  222713  47  37.0360 N  62  50.4679 W   6.5        9.6        9.3        1.8      702.0 
110913  222714  47  37.0356 N  62  50.4705 W   6.5        9.6        9.3        1.8      702.0 
110913  222715  47  37.0352 N  62  50.4730 W   6.5        9.6        9.3        1.8      702.0 
110913  222716  47  37.0347 N  62  50.4755 W   6.5        9.6        9.3        1.8      702.0 
110913  222717  47  37.0342 N  62  50.4779 W   6.4        9.6        9.3        1.8      702.0 
110913  222718  47  37.0337 N  62  50.4803 W   6.4        9.6        9.3        1.8      702.0 
110913  222719  47  37.0333 N  62  50.4826 W   6.3        9.6        9.3        1.8      702.0 
110913  222720  47  37.0328 N  62  50.4848 W   6.2        9.6        9.3        1.8      702.0 
110913  222721  47  37.0325 N  62  50.4869 W   6.0        9.6        9.3        1.8      702.0 
110913  222722  47  37.0322 N  62  50.4889 W   5.8        9.6        9.3        1.8      702.0 
110913  222723  47  37.0318 N  62  50.4908 W   5.7        9.6        9.3        1.8      702.0 
110913  222724  47  37.0314 N  62  50.4927 W   5.5        9.6        9.3        1.8      702.0 
110913  222725  47  37.0311 N  62  50.4945 W   5.4        9.6        9.3        1.8      702.0 
