FileName: C:\TRAWLS~2\GP228F.TXT
Local Time: Sun Sep 18 18:18:55 2011

Ship: Sept 18, 2011 Trip: GP228F Tow: 11
Comments: zone 12 pres de inverness
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
110918  211857  46  19.3492 N  61  31.6886 W   5.9        8.0*      12.1*      60.9*      69.1*
110918  211858  46  19.3485 N  61  31.6910 W   6.0        8.0       12.1       60.9       69.1 
110918  211859  46  19.3479 N  61  31.6934 W   6.1        8.0       12.1       60.9       69.1 
110918  211900  46  19.3473 N  61  31.6958 W   6.1        8.0       12.1       60.9       69.1 
110918  211901  46  19.3466 N  61  31.6982 W   6.2        8.0       12.1       60.9       69.1 
110918  211902  46  19.3459 N  61  31.7006 W   6.2        8.0       12.1       60.9       69.1 
110918  211903  46  19.3453 N  61  31.7029 W   6.2        8.0       12.1       60.9       69.1 
110918  211904  46  19.3447 N  61  31.7053 W   6.2        8.0       12.1       60.9       69.1 
110918  211905  46  19.3440 N  61  31.7077 W   6.3        8.0       12.1       60.9       69.1 
110918  211906  46  19.3434 N  61  31.7100 W   6.3        8.0       12.1       60.9       69.1 
110918  211907  46  19.3427 N  61  31.7123 W   6.2        8.0       12.1       60.9       69.1 
110918  211908  46  19.3421 N  61  31.7146 W   6.2        8.0       12.1       60.9       69.1 
110918  211909  46  19.3416 N  61  31.7169 W   6.2        8.0       12.1       60.9       69.1 
110918  211910  46  19.3410 N  61  31.7191 W   6.1        8.0       12.1       60.9       69.1 
110918  211911  46  19.3404 N  61  31.7212 W   6.1        8.0       12.1       60.9       69.1 
110918  211912  46  19.3399 N  61  31.7233 W   6.0        8.0       12.1       60.9       69.1 
110918  211913  46  19.3394 N  61  31.7253 W   5.9        8.0       12.1       60.9       69.1 
110918  211914  46  19.3389 N  61  31.7272 W   5.8        8.0       12.1       60.9       69.1 
110918  211915  46  19.3384 N  61  31.7292 W   5.7        8.0       12.1       60.9       69.1 
110918  211916  46  19.3380 N  61  31.7310 W   5.5        8.0       12.1       60.9       69.1 
110918  211917  46  19.3375 N  61  31.7328 W   5.4        8.0       12.1       60.9       69.1 
110918  211918  46  19.3371 N  61  31.7345 W   5.3        8.0       12.1       60.9       69.1 
110918  211919  46  19.3367 N  61  31.7361 W   5.1        8.0       12.1       60.9       69.1 
110918  211920  46  19.3363 N  61  31.7376 W   4.9        8.0       12.1       60.9       69.1 
110918  211921  46  19.3359 N  61  31.7391 W   4.8        8.0       12.1       60.9       69.1 
110918  211922  46  19.3356 N  61  31.7405 W   4.6        8.0       12.1       60.9       69.1 
110918  211923  46  19.3353 N  61  31.7418 W   4.5        8.0       12.1       60.9       69.1 
110918  211924  46  19.3350 N  61  31.7431 W   4.3        8.0       12.1       60.9       69.1 
110918  211925  46  19.3346 N  61  31.7444 W   4.2        8.0       12.1       60.9       69.1 
110918  211926  46  19.3342 N  61  31.7457 W   4.1        8.0       12.1       60.9       69.1 
110918  211927  46  19.3339 N  61  31.7469 W   3.9        8.0        3.4*      60.9       69.1 
110918  211928  46  19.3336 N  61  31.7481 W   3.8        8.0        3.4       60.9       69.1 
110918  211929  46  19.3333 N  61  31.7493 W   3.7        8.0        3.4       60.9       69.1 
110918  211930  46  19.3330 N  61  31.7505 W   3.6        8.0        3.4       60.9       69.1 
110918  211931  46  19.3327 N  61  31.7515 W   3.5        8.0        3.4       60.9       69.1 
110918  211932  46  19.3324 N  61  31.7526 W   3.4        8.0        3.4        2.7*      69.1 
110918  211933  46  19.3321 N  61  31.7537 W   3.3        8.0        3.4        2.7       69.1 
110918  211934  46  19.3319 N  61  31.7547 W   3.2        8.0       12.0*       2.7       69.1 
110918  211935  46  19.3316 N  61  31.7557 W   3.2        8.0       12.0        2.7       69.1 
110918  211936  46  19.3314 N  61  31.7567 W   3.1        8.0       12.0        2.7       69.1 
110918  211937  46  19.3311 N  61  31.7577 W   3.0        8.0       12.0        2.7       69.1 
110918  211938  46  19.3309 N  61  31.7586 W   2.9        8.0       12.0        4.2*      69.1 
110918  211939  46  19.3307 N  61  31.7596 W   2.9        8.0       12.0        4.2       69.1 
110918  211940  46  19.3305 N  61  31.7605 W   2.8        8.0       12.0        4.2       69.1 
110918  211941  46  19.3303 N  61  31.7614 W   2.7        8.0       12.0        4.2       69.1 
110918  211942  46  19.3300 N  61  31.7622 W   2.7        8.0       12.0        4.2       69.1 
110918  211943  46  19.3299 N  61  31.7631 W   2.6        8.0       12.0        4.9*      69.1 
110918  211944  46  19.3296 N  61  31.7640 W   2.6        8.0       12.0        4.9       69.1 
110918  211945  46  19.3295 N  61  31.7648 W   2.5        8.0       12.0        4.9       69.1 
110918  211946  46  19.3292 N  61  31.7656 W   2.5        8.0       12.0        4.9       69.1 
110918  211947  46  19.3291 N  61  31.7665 W   2.5        2.5*      12.0        4.9       69.1 
110918  211948  46  19.3288 N  61  31.7673 W   2.4        2.5       12.0        3.2*      69.1 
110918  211949  46  19.3286 N  61  31.7681 W   2.4        2.5       12.0        3.2       69.1 
110918  211950  46  19.3284 N  61  31.7689 W   2.4        2.5       12.0        3.2       69.1 
110918  211951  46  19.3282 N  61  31.7698 W   2.3        2.5       12.0        3.2       69.1 
110918  211952  46  19.3279 N  61  31.7706 W   2.4        2.5       12.0        3.2       69.1 
110918  211953  46  19.3277 N  61  31.7717 W   2.4        2.5       12.0        3.2       69.1 
110918  211954  46  19.3274 N  61  31.7728 W   2.5        2.5       12.0        3.2       69.1 
110918  211955  46  19.3271 N  61  31.7740 W   2.7        2.5       12.0        3.2       69.1 
110918  211956  46  19.3267 N  61  31.7754 W   2.8        2.5       12.0        3.2       69.1 
110918  211957  46  19.3263 N  61  31.7768 W   3.0        2.5       12.0        3.2       69.1 
110918  211958  46  19.3259 N  61  31.7783 W   3.2        2.5       12.0        3.2       69.1 
110918  211959  46  19.3255 N  61  31.7799 W   3.4        2.5       12.0        3.2       69.1 
110918  212000  46  19.3250 N  61  31.7817 W   3.6        2.5       12.0        3.2       69.1 
