FileName: C:\TRAWLS~2\GP240F.TXT
Local Time: Tue Sep 13 11:04:17 2011

Ship: Sept 13, 2011 Trip: GP240F Tow: 05
Comments: zone 12 banc bradelle nord est
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
110913  140419  47  47.2031 N  62  31.2615 W   5.8       11.0*      12.0*      52.4*       9.7*
110913  140420  47  47.2016 N  62  31.2604 W   5.9       11.0       12.0       52.4        9.7 
110913  140421  47  47.2000 N  62  31.2592 W   6.0       11.0       12.0       52.4        9.7 
110913  140422  47  47.1983 N  62  31.2579 W   6.0       11.0       12.0       52.4        9.7 
110913  140423  47  47.1967 N  62  31.2567 W   6.1       11.0       12.0       52.4        9.7 
110913  140424  47  47.1951 N  62  31.2555 W   6.2       11.0       12.0       52.4        9.7 
110913  140425  47  47.1935 N  62  31.2543 W   6.2       11.0       12.0       52.4        9.7 
110913  140426  47  47.1918 N  62  31.2531 W   6.2       11.0       12.0       52.4        9.7 
110913  140427  47  47.1903 N  62  31.2519 W   6.2       11.0       12.0       52.4        9.7 
110913  140428  47  47.1888 N  62  31.2507 W   6.2       11.0       12.0       52.4      329.0*
110913  140429  47  47.1873 N  62  31.2495 W   6.2       11.0       12.0       52.4      329.0 
110913  140430  47  47.1857 N  62  31.2484 W   6.2       11.0       12.0       52.4      329.0 
110913  140431  47  47.1842 N  62  31.2473 W   6.1       11.0       12.0       52.4      329.0 
110913  140432  47  47.1828 N  62  31.2462 W   6.1       11.0       12.0       52.4      329.0 
110913  140433  47  47.1814 N  62  31.2451 W   6.0       11.0       12.0       52.4      147.4*
110913  140434  47  47.1801 N  62  31.2441 W   5.9       11.0       12.0       52.4      147.4 
110913  140435  47  47.1788 N  62  31.2431 W   5.8       11.0       12.0       52.4      147.4 
110913  140436  47  47.1776 N  62  31.2421 W   5.6       11.0       12.0       52.4      147.4 
110913  140437  47  47.1764 N  62  31.2412 W   5.5       11.0       12.0       52.4      147.4 
110913  140438  47  47.1753 N  62  31.2403 W   5.4       11.0       12.0       52.4      147.4 
110913  140439  47  47.1742 N  62  31.2394 W   5.2       11.0       12.0       52.4      147.4 
110913  140440  47  47.1732 N  62  31.2386 W   5.0       11.0       12.0       52.4      147.4 
110913  140441  47  47.1721 N  62  31.2377 W   4.9       11.0       12.0       52.4      147.4 
110913  140442  47  47.1712 N  62  31.2370 W   4.8       11.0       12.0       52.4      147.4 
110913  140443  47  47.1702 N  62  31.2362 W   4.6       11.0       12.0       52.4      147.4 
110913  140444  47  47.1693 N  62  31.2355 W   4.5       11.0       12.0       52.4      147.4 
110913  140445  47  47.1684 N  62  31.2347 W   4.4       11.0       12.0       52.4      147.4 
110913  140446  47  47.1676 N  62  31.2340 W   4.2       11.0       12.0       52.4      147.4 
110913  140447  47  47.1667 N  62  31.2333 W   4.1       11.0       12.0       52.4      147.4 
110913  140448  47  47.1658 N  62  31.2326 W   4.0       11.0       12.0       52.4      147.4 
110913  140449  47  47.1650 N  62  31.2320 W   3.9       11.0       12.0       52.4       21.1*
110913  140450  47  47.1642 N  62  31.2314 W   3.8       11.0       12.0       52.4       21.1 
110913  140451  47  47.1634 N  62  31.2308 W   3.7       11.0       12.0       52.4       21.1 
110913  140452  47  47.1627 N  62  31.2301 W   3.6       11.0       12.0       52.4       21.1 
110913  140453  47  47.1620 N  62  31.2296 W   3.5       11.0       12.0       52.4       21.1 
110913  140454  47  47.1612 N  62  31.2290 W   3.4       11.0       12.0       52.4       54.5*
110913  140455  47  47.1605 N  62  31.2284 W   3.4       11.0       12.0       52.4       54.5 
110913  140456  47  47.1597 N  62  31.2278 W   3.3       11.0       12.0       52.4       54.5 
110913  140457  47  47.1590 N  62  31.2272 W   3.3       11.0       12.0        4.1*      54.5 
110913  140458  47  47.1583 N  62  31.2266 W   3.2       11.0       12.0        4.1       54.5 
110913  140459  47  47.1575 N  62  31.2261 W   3.2       11.0       12.0        4.1       54.5 
110913  140500  47  47.1567 N  62  31.2255 W   3.2       11.0       11.3*       4.1       54.5 
110913  140501  47  47.1560 N  62  31.2250 W   3.1       11.0       11.3        4.1       54.5 
110913  140502  47  47.1553 N  62  31.2245 W   3.1       11.0       11.3        3.0*      54.5 
110913  140503  47  47.1546 N  62  31.2239 W   3.1       11.0       11.3        3.0       54.5 
110913  140504  47  47.1540 N  62  31.2234 W   3.0       11.0       11.3        3.0       54.5 
110913  140505  47  47.1534 N  62  31.2229 W   3.0       11.0       11.3        3.0       58.5*
110913  140506  47  47.1527 N  62  31.2225 W   3.0       11.0       11.3        3.0       58.5 
110913  140507  47  47.1520 N  62  31.2219 W   3.0       11.0       11.3        2.3*      58.5 
110913  140508  47  47.1513 N  62  31.2214 W   2.9       11.0       11.3        2.3       58.5 
110913  140509  47  47.1507 N  62  31.2208 W   2.9       11.0       11.3        2.3       58.5 
110913  140510  47  47.1500 N  62  31.2203 W   2.9       11.0       11.3        2.3       58.5 
110913  140511  47  47.1494 N  62  31.2200 W   2.8       11.0       11.3        2.3       58.5 
110913  140512  47  47.1487 N  62  31.2195 W   2.8       11.0       11.3        2.1*      58.5 
110913  140513  47  47.1481 N  62  31.2189 W   2.8       11.0       11.3        2.1       58.5 
110913  140514  47  47.1474 N  62  31.2184 W   2.8       11.0       11.3        2.1       58.5 
110913  140515  47  47.1468 N  62  31.2180 W   2.7       11.0       11.3        2.1       58.5 
110913  140516  47  47.1461 N  62  31.2175 W   2.7       11.0       11.3        2.1       25.5*
110913  140517  47  47.1455 N  62  31.2171 W   2.7       11.0       11.3        2.1       25.5 
110913  140518  47  47.1448 N  62  31.2167 W   2.7       11.0        3.1*       3.2*      25.5 
