FileName: C:\TRAWLS~2\GP316F.TXT
Local Time: Tue Aug 02 08:29:07 2011

Ship: Aug 02, 2011 Trip: GP316F Tow: 04
Comments: zone 12 vallee de shediac centre
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
110802  112909  47  27.4087 N  63  48.8234 W   4.8        4.1*       4.5*      74.5*     396.3*
110802  112910  47  27.4099 N  63  48.8218 W   5.0        4.1        4.5       74.5      396.3 
110802  112911  47  27.4113 N  63  48.8203 W   5.2        4.1        4.5       74.5      396.3 
110802  112912  47  27.4126 N  63  48.8189 W   5.3        4.1        4.5       74.5      396.3 
110802  112913  47  27.4139 N  63  48.8173 W   5.4        4.1        4.5       74.5      396.3 
110802  112914  47  27.4151 N  63  48.8158 W   5.5        4.1        4.5       74.5      396.3 
110802  112915  47  27.4164 N  63  48.8144 W   5.5        4.1        4.5       74.5      396.3 
110802  112916  47  27.4177 N  63  48.8129 W   5.6        4.1        4.5       74.5      396.3 
110802  112917  47  27.4189 N  63  48.8114 W   5.6        4.1        4.5       74.5      396.3 
110802  112918  47  27.4202 N  63  48.8100 W   5.6        4.1        4.5       74.5      396.3 
110802  112919  47  27.4215 N  63  48.8086 W   5.6        4.1        4.5       74.5      396.3 
110802  112920  47  27.4227 N  63  48.8071 W   5.6        4.1        4.5       74.5      396.3 
110802  112921  47  27.4239 N  63  48.8057 W   5.6        4.1        4.5       74.5      396.3 
110802  112922  47  27.4250 N  63  48.8043 W   5.5        4.1        4.5       74.5      396.3 
110802  112923  47  27.4261 N  63  48.8030 W   5.5        4.1        4.5       74.5      396.3 
110802  112924  47  27.4272 N  63  48.8016 W   5.4        4.1        4.5       74.5      396.3 
110802  112925  47  27.4282 N  63  48.8003 W   5.3        4.1        4.5       74.5      396.3 
110802  112926  47  27.4292 N  63  48.7991 W   5.2        4.1        4.5       74.5      396.3 
110802  112927  47  27.4302 N  63  48.7978 W   5.1        4.1        4.5       74.5      396.3 
110802  112928  47  27.4311 N  63  48.7967 W   5.0        4.1        4.5       74.5      396.3 
110802  112929  47  27.4319 N  63  48.7957 W   4.8        4.1        4.5       74.5      396.3 
