FileName: C:\TRAWLS~3\GP036F
Local Time: Wed Aug 22 17:47:23 2012

Ship: August 22, 2012 Trip: GP036F Tow: tow 10
Comments: Zone 12 baie des chaleurs
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
120822  204725  48  29.0126 N  64   2.8183 W   5.7        4.9*       6.3*     105.9*     643.1*
120822  204726  48  29.0125 N  64   2.8211 W   5.9        4.9        6.3      105.9      643.1 
120822  204727  48  29.0123 N  64   2.8240 W   6.0        4.9        6.3      105.9      643.1 
120822  204728  48  29.0120 N  64   2.8270 W   6.2        4.9        6.3      105.9      643.1 
120822  204729  48  29.0118 N  64   2.8298 W   6.3        4.9        6.3      105.9      643.1 
120822  204730  48  29.0117 N  64   2.8325 W   6.3        4.9        6.3      105.9      643.1 
120822  204731  48  29.0116 N  64   2.8355 W   6.4        4.9        6.3      105.9      643.1 
120822  204732  48  29.0114 N  64   2.8384 W   6.5        4.9        6.3      105.9      643.1 
120822  204733  48  29.0111 N  64   2.8413 W   6.5        4.9        6.3      105.9      643.1 
120822  204734  48  29.0111 N  64   2.8441 W   6.6        4.9        6.3      105.9      643.1 
120822  204735  48  29.0110 N  64   2.8470 W   6.6        4.9        6.3      105.9      643.1 
120822  204736  48  29.0108 N  64   2.8499 W   6.6        4.9        6.3      105.9      643.1 
120822  204737  48  29.0107 N  64   2.8527 W   6.7        4.9        6.3      105.9      643.1 
120822  204738  48  29.0104 N  64   2.8554 W   6.6        4.9        6.3      105.9      643.1 
120822  204739  48  29.0103 N  64   2.8580 W   6.6        4.9        6.3      105.9      643.1 
120822  204740  48  29.0101 N  64   2.8608 W   6.5        4.9        6.3      105.9      643.1 
120822  204741  48  29.0099 N  64   2.8633 W   6.5        4.9        6.3      105.9      643.1 
120822  204742  48  29.0096 N  64   2.8658 W   6.3        4.9        6.3      105.9      643.1 
120822  204743  48  29.0094 N  64   2.8682 W   6.2        4.9        6.3      105.9      643.1 
120822  204744  48  29.0093 N  64   2.8705 W   6.1        4.9        6.3      105.9      643.1 
120822  204745  48  29.0090 N  64   2.8725 W   5.9        4.9        6.3      105.9      643.1 
120822  204746  48  29.0088 N  64   2.8745 W   5.7        4.9        6.3      105.9      643.1 
120822  204747  48  29.0086 N  64   2.8765 W   5.6        4.9        6.3      105.9      643.1 
120822  204748  48  29.0083 N  64   2.8784 W   5.4        4.9        6.3      105.9      643.1 
120822  204749  48  29.0079 N  64   2.8801 W   5.2        4.9        6.3      105.9      643.1 
120822  204750  48  29.0075 N  64   2.8817 W   5.0        4.9        6.3      105.9      643.1 
120822  204751  48  29.0072 N  64   2.8834 W   5.0        4.9        6.3      105.9      643.1 
120822  204752  48  29.0069 N  64   2.8851 W   4.8        4.9        6.3      105.9      643.1 
120822  204753  48  29.0065 N  64   2.8865 W   4.6        4.9        6.3      105.9      643.1 
120822  204754  48  29.0062 N  64   2.8880 W   4.5        4.9        6.3      105.9      643.1 
120822  204755  48  29.0060 N  64   2.8896 W   4.4        4.9        6.3      105.9      643.1 
120822  204756  48  29.0057 N  64   2.8911 W   4.3        4.9        6.3      105.9      643.1 
120822  204757  48  29.0053 N  64   2.8924 W   4.2        4.9        6.3      105.9      643.1 
120822  204758  48  29.0050 N  64   2.8939 W   4.1        4.9        6.3      105.9      643.1 
120822  204759  48  29.0046 N  64   2.8954 W   4.1        4.9        6.3      105.9      643.1 
120822  204800  48  29.0043 N  64   2.8967 W   4.0        4.9        6.3      105.9      643.1 
120822  204801  48  29.0039 N  64   2.8980 W   3.9        4.9        6.3      105.9      643.1 
120822  204802  48  29.0036 N  64   2.8993 W   3.8        4.9        6.3        2.1*     643.1 
120822  204803  48  29.0033 N  64   2.9006 W   3.7        4.9        6.3        2.1      643.1 
120822  204804  48  29.0029 N  64   2.9020 W   3.7        4.9        6.3        2.1       75.7*
120822  204805  48  29.0026 N  64   2.9032 W   3.6        4.9        6.3        2.1       75.7 
120822  204806  48  29.0022 N  64   2.9043 W   3.5        4.9       12.6*       2.1       75.7 
120822  204807  48  29.0020 N  64   2.9056 W   3.5        4.9       12.6        5.0*      75.7 
120822  204808  48  29.0016 N  64   2.9068 W   3.4        4.9       12.6        5.0       75.7 
120822  204809  48  29.0013 N  64   2.9079 W   3.3        4.9       12.6        5.0        1.8*
120822  204810  48  29.0010 N  64   2.9090 W   3.3        4.9       12.6        5.0        1.8 
120822  204811  48  29.0007 N  64   2.9102 W   3.2        4.9       12.6        5.0        1.8 
120822  204812  48  29.0003 N  64   2.9114 W   3.3        4.9       12.6       10.6*       1.8 
120822  204813  48  29.0000 N  64   2.9124 W   3.2        4.9       12.6       10.6        1.8 
120822  204814  48  28.9996 N  64   2.9134 W   3.1        4.9       12.6       10.6        1.8 
120822  204815  48  28.9994 N  64   2.9146 W   3.1        4.9       12.6       10.6        1.8 
120822  204816  48  28.9991 N  64   2.9158 W   3.1        4.9       12.6       10.6        1.8 
120822  204817  48  28.9987 N  64   2.9167 W   3.0        4.9       12.6       10.6        1.8 
120822  204818  48  28.9983 N  64   2.9178 W   3.0        4.9       12.6        5.0*       1.8 
120822  204819  48  28.9980 N  64   2.9190 W   3.1        4.9       12.6        5.0        1.8 
120822  204820  48  28.9977 N  64   2.9203 W   3.1        4.9       12.6        5.0        1.8 
120822  204821  48  28.9974 N  64   2.9215 W   3.1        4.9       12.6        5.0        1.8 
120822  204822  48  28.9971 N  64   2.9229 W   3.2        4.9       12.6        5.0        1.8 
120822  204823  48  28.9968 N  64   2.9246 W   3.3        4.9       12.6        5.0        1.8 
120822  204824  48  28.9965 N  64   2.9264 W   3.5        4.9       12.6        5.0        1.8 
120822  204825  48  28.9962 N  64   2.9281 W   3.6        4.9       12.6      149.6*       1.8 
120822  204826  48  28.9960 N  64   2.9299 W   3.8        4.9       12.6      149.6        1.8 
120822  204827  48  28.9958 N  64   2.9320 W   4.0        4.9       12.6      149.6        1.8 
120822  204828  48  28.9955 N  64   2.9342 W   4.3        4.9       12.6      149.6        1.8 
120822  204829  48  28.9952 N  64   2.9363 W   4.4        4.9       12.6      149.6        1.8 
120822  204830  48  28.9949 N  64   2.9385 W   4.6        4.9       12.6      149.6        1.8 
120822  204831  48  28.9948 N  64   2.9409 W   4.8        4.9       12.6      149.6        1.8 
120822  204832  48  28.9945 N  64   2.9432 W   4.9        4.9       12.6      149.6        1.8 
120822  204833  48  28.9942 N  64   2.9456 W   5.1        4.9       12.6      149.6        1.8 
120822  204834  48  28.9939 N  64   2.9482 W   5.2        4.9       12.6      149.6        1.8 
120822  204835  48  28.9937 N  64   2.9507 W   5.4        4.9       12.6      149.6        1.8 
120822  204836  48  28.9934 N  64   2.9532 W   5.5        4.9       12.6      149.6        1.8 
120822  204837  48  28.9932 N  64   2.9559 W   5.7        4.9       12.6      149.6        1.8 
120822  204838  48  28.9930 N  64   2.9586 W   5.8        4.9       12.6      149.6        1.8 
120822  204839  48  28.9927 N  64   2.9613 W   5.9        4.9       12.6      149.6        1.8 
120822  204840  48  28.9926 N  64   2.9641 W   6.1        4.9       12.6      149.6        1.8 
120822  204841  48  28.9924 N  64   2.9669 W   6.2        4.9       12.6      149.6        1.8 
120822  204842  48  28.9922 N  64   2.9697 W   6.3        4.9       12.6      149.6        1.8 
120822  204843  48  28.9921 N  64   2.9725 W   6.3        4.9       12.6      149.6        1.8 
120822  204844  48  28.9921 N  64   2.9753 W   6.4        4.9       12.6      149.6        1.8 
120822  204845  48  28.9920 N  64   2.9783 W   6.5        4.9       12.6      149.6        1.8 
120822  204846  48  28.9918 N  64   2.9811 W   6.6        4.9       12.6      149.6        1.8 
120822  204847  48  28.9917 N  64   2.9839 W   6.5        4.9       12.6      149.6        1.8 
120822  204848  48  28.9918 N  64   2.9868 W   6.6        4.9       12.6      149.6        1.8 
120822  204849  48  28.9918 N  64   2.9898 W   6.7        4.9       12.6      149.6        1.8 
120822  204850  48  28.9916 N  64   2.9926 W   6.7        4.9       12.6      149.6        1.8 
120822  204851  48  28.9915 N  64   2.9955 W   6.8        4.9       12.6      149.6        1.8 
120822  204852  48  28.9915 N  64   2.9986 W   6.9        4.9       12.6      149.6        1.8 
120822  204853  48  28.9914 N  64   3.0016 W   6.9        4.9       12.6      149.6        1.8 
120822  204854  48  28.9913 N  64   3.0045 W   6.9        4.9       12.6      149.6        1.8 
120822  204855  48  28.9912 N  64   3.0075 W   7.0        4.9       12.6      149.6        1.8 
120822  204856  48  28.9912 N  64   3.0106 W   7.0        4.9       12.6      149.6        1.8 
120822  204857  48  28.9912 N  64   3.0137 W   7.1        4.9       12.6      149.6        1.8 
120822  204858  48  28.9912 N  64   3.0167 W   7.1        4.9       12.6      149.6      664.2*
120822  204859  48  28.9910 N  64   3.0196 W   7.1        4.9       12.6      149.6      664.2 
120822  204900  48  28.9910 N  64   3.0229 W   7.2        4.9       12.6      149.6      664.2 
120822  204901  48  28.9910 N  64   3.0260 W   7.2        4.9       12.6      149.6      664.2 
120822  204902  48  28.9910 N  64   3.0290 W   7.2        4.9       12.6      149.6      664.2 
120822  204903  48  28.9909 N  64   3.0321 W   7.3        4.9       12.6      149.6      664.2 
120822  204904  48  28.9909 N  64   3.0352 W   7.3        4.9       12.6      149.6      664.2 
120822  204905  48  28.9909 N  64   3.0383 W   7.3        4.9       12.6      149.6      664.2 
120822  204906  48  28.9910 N  64   3.0414 W   7.3        4.9       12.6      149.6      664.2 
120822  204907  48  28.9910 N  64   3.0446 W   7.4        4.9       12.6      149.6      664.2 
120822  204908  48  28.9910 N  64   3.0476 W   7.3        4.9       12.6      149.6      664.2 
120822  204909  48  28.9910 N  64   3.0508 W   7.4        4.9       12.6      149.6      664.2 
120822  204910  48  28.9910 N  64   3.0540 W   7.4        4.9       12.6      149.6      664.2 
120822  204911  48  28.9910 N  64   3.0571 W   7.4        4.9       12.6      149.6      664.2 
120822  204912  48  28.9910 N  64   3.0602 W   7.4        4.9       12.6      149.6      664.2 
120822  204913  48  28.9910 N  64   3.0634 W   7.5        4.9       12.6      149.6      664.2 
