FileName: C:\TRAWLS~3\GP050F
Local Time: Thu Aug 23 13:39:52 2012

Ship: August 23, 2012 Trip: GP050F Tow: tow 06
Comments: Zone 12 banc bradelle
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
120823  163953  48   3.8638 N  63  49.4842 W   5.4       10.9*       6.2*      76.9*     512.5*
120823  163954  48   3.8650 N  63  49.4820 W   5.7       10.9        6.2       76.9      512.5 
120823  163955  48   3.8663 N  63  49.4798 W   5.8       10.9        6.2       76.9      512.5 
120823  163956  48   3.8675 N  63  49.4775 W   6.0       10.9        6.2       76.9      512.5 
120823  163957  48   3.8689 N  63  49.4753 W   6.2       10.9        6.2       76.9      512.5 
120823  163958  48   3.8703 N  63  49.4731 W   6.3       10.9        6.2       76.9      512.5 
120823  163959  48   3.8717 N  63  49.4708 W   6.5       10.9        6.2       76.9      512.5 
120823  164000  48   3.8731 N  63  49.4685 W   6.6       10.9        6.2       76.9      512.5 
120823  164001  48   3.8743 N  63  49.4662 W   6.7       10.9        6.2       76.9      512.5 
120823  164002  48   3.8756 N  63  49.4640 W   6.7       10.9        6.2       76.9      512.5 
120823  164003  48   3.8768 N  63  49.4619 W   6.7       10.9        6.2       76.9      512.5 
120823  164004  48   3.8780 N  63  49.4599 W   6.7       10.9        6.2       76.9      512.5 
120823  164005  48   3.8793 N  63  49.4578 W   6.6       10.9        6.2       76.9      512.5 
120823  164006  48   3.8806 N  63  49.4559 W   6.6       10.9        6.2       76.9      512.5 
120823  164007  48   3.8818 N  63  49.4539 W   6.6       10.9        6.2       76.9      512.5 
120823  164008  48   3.8829 N  63  49.4519 W   6.5       10.9        6.2       76.9      512.5 
120823  164009  48   3.8840 N  63  49.4500 W   6.4       10.9        6.2       76.9      512.5 
120823  164010  48   3.8851 N  63  49.4482 W   6.3       10.9        6.2       76.9      512.5 
120823  164011  48   3.8861 N  63  49.4466 W   6.2       10.9        6.2       76.9      512.5 
120823  164012  48   3.8870 N  63  49.4449 W   6.0       10.9        6.2       76.9      512.5 
120823  164013  48   3.8879 N  63  49.4434 W   5.8       10.9        6.2       76.9      512.5 
120823  164014  48   3.8887 N  63  49.4420 W   5.7       10.9        6.2       76.9      512.5 
120823  164015  48   3.8896 N  63  49.4405 W   5.5       10.9        6.2       76.9      512.5 
120823  164016  48   3.8906 N  63  49.4391 W   5.4       10.9        6.2       76.9      512.5 
120823  164017  48   3.8913 N  63  49.4379 W   5.2       10.9        6.2       76.9      512.5 
120823  164018  48   3.8920 N  63  49.4366 W   5.1       10.9        6.2       76.9      512.5 
120823  164019  48   3.8928 N  63  49.4353 W   4.9       10.9        6.2       76.9      512.5 
120823  164020  48   3.8936 N  63  49.4340 W   4.8       10.9        6.2       76.9      512.5 
120823  164021  48   3.8944 N  63  49.4328 W   4.7       10.9        6.2       76.9      512.5 
120823  164022  48   3.8952 N  63  49.4316 W   4.6       10.9        6.2       76.9      512.5 
120823  164023  48   3.8960 N  63  49.4305 W   4.5       10.9        6.2       76.9      512.5 
120823  164024  48   3.8966 N  63  49.4293 W   4.4       10.9        6.2       76.9      512.5 
120823  164025  48   3.8973 N  63  49.4281 W   4.3       10.9        6.2       76.9      512.5 
120823  164026  48   3.8980 N  63  49.4270 W   4.2       10.9        6.2       76.9      512.5 
120823  164027  48   3.8986 N  63  49.4260 W   4.1       10.9        6.2       76.9      512.5 
120823  164028  48   3.8993 N  63  49.4249 W   4.0       10.9        6.2       76.9      512.5 
120823  164029  48   3.8999 N  63  49.4239 W   3.9       10.9        6.2       76.9      512.5 
120823  164030  48   3.9006 N  63  49.4228 W   3.8       10.9        6.2       76.9      512.5 
120823  164031  48   3.9012 N  63  49.4218 W   3.7       10.9        6.2        6.2*     512.5 
120823  164032  48   3.9017 N  63  49.4207 W   3.7       10.9        6.2        6.2      512.5 
120823  164033  48   3.9024 N  63  49.4197 W   3.6       10.9        6.2        6.2      512.5 
120823  164034  48   3.9030 N  63  49.4187 W   3.5       10.9        6.2        6.2      512.5 
120823  164035  48   3.9037 N  63  49.4177 W   3.5       10.9        6.2        6.2      512.5 
120823  164036  48   3.9043 N  63  49.4167 W   3.4       10.9        6.2        1.1*     512.5 
120823  164037  48   3.9049 N  63  49.4156 W   3.4       10.9        6.2        1.1        7.0*
120823  164038  48   3.9054 N  63  49.4147 W   3.4       10.9        6.2        1.1        7.0 
120823  164039  48   3.9060 N  63  49.4138 W   3.3       10.9        6.2        1.1        7.0 
120823  164040  48   3.9066 N  63  49.4128 W   3.3       10.9        6.2        1.1        7.0 
120823  164041  48   3.9072 N  63  49.4117 W   3.2       10.9        6.2        1.1        7.0 
120823  164042  48   3.9078 N  63  49.4107 W   3.3       10.9        6.2        1.1        7.0 
