FileName: C:\TRAWLS~3\GP059F
Local Time: Mon Jul 23 19:14:58 2012

Ship: July 23, 2012 Trip: GP059F Tow: tow 11
Comments: Zone 12 sud est du banc orphelin
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
120723  221500  48   9.2377 N  63  45.9892 W   5.7       10.7*       4.8*      22.8*      23.3*
120723  221501  48   9.2390 N  63  45.9872 W   5.9       10.7        4.8       22.8       23.3 
120723  221502  48   9.2403 N  63  45.9852 W   6.0       10.7        4.8       22.8       23.3 
120723  221503  48   9.2416 N  63  45.9832 W   6.1       10.7        4.8       22.8       23.3 
120723  221504  48   9.2429 N  63  45.9811 W   6.2       10.7        4.8       22.8       23.3 
120723  221505  48   9.2443 N  63  45.9791 W   6.3       10.7        4.8       22.8       23.3 
120723  221506  48   9.2456 N  63  45.9771 W   6.4       10.7        4.8       22.8       23.3 
120723  221507  48   9.2469 N  63  45.9751 W   6.4       10.7        4.8       22.8       23.3 
120723  221508  48   9.2483 N  63  45.9731 W   6.5       10.7        4.8       22.8       23.3 
120723  221509  48   9.2497 N  63  45.9710 W   6.5       10.7        4.8       22.8       23.3 
120723  221510  48   9.2510 N  63  45.9690 W   6.6       10.7        4.8       22.8       23.3 
120723  221511  48   9.2524 N  63  45.9670 W   6.6       10.7        4.8       22.8       23.3 
120723  221512  48   9.2537 N  63  45.9650 W   6.6       10.7        4.8       22.8       23.3 
120723  221513  48   9.2550 N  63  45.9630 W   6.6       10.7        4.8       22.8       23.3 
120723  221514  48   9.2564 N  63  45.9610 W   6.6       10.7        4.8       22.8       23.3 
120723  221515  48   9.2577 N  63  45.9590 W   6.7       10.7        4.8       22.8       23.3 
120723  221516  48   9.2590 N  63  45.9570 W   6.7       10.7        4.8       22.8       23.3 
120723  221517  48   9.2603 N  63  45.9550 W   6.6       10.7        4.8       22.8       23.3 
120723  221518  48   9.2616 N  63  45.9531 W   6.6       10.7        4.8       22.8       23.3 
120723  221519  48   9.2628 N  63  45.9513 W   6.5       10.7        4.8       22.8       23.3 
120723  221520  48   9.2640 N  63  45.9496 W   6.4       10.7        4.8       22.8       23.3 
120723  221521  48   9.2652 N  63  45.9480 W   6.3       10.7        4.8       22.8       23.3 
120723  221522  48   9.2663 N  63  45.9463 W   6.2       10.7        4.8       22.8       23.3 
120723  221523  48   9.2674 N  63  45.9446 W   6.1       10.7        4.8       22.8       23.3 
120723  221524  48   9.2685 N  63  45.9430 W   5.9       10.7        4.8       22.8       23.3 
120723  221525  48   9.2695 N  63  45.9415 W   5.8       10.7        4.8       22.8       23.3 
120723  221526  48   9.2704 N  63  45.9401 W   5.6       10.7        4.8       22.8       23.3 
120723  221527  48   9.2713 N  63  45.9386 W   5.5       10.7        4.8       22.8       23.3 
120723  221528  48   9.2722 N  63  45.9373 W   5.3       10.7        4.8       22.8       23.3 
120723  221529  48   9.2730 N  63  45.9359 W   5.2       10.7        4.8       22.8       23.3 
120723  221530  48   9.2739 N  63  45.9347 W   5.0       10.7        4.8       22.8       23.3 
120723  221531  48   9.2746 N  63  45.9335 W   4.9       10.7        4.8       22.8       23.3 
120723  221532  48   9.2754 N  63  45.9323 W   4.7       10.7        4.8       22.8       23.3 
120723  221533  48   9.2761 N  63  45.9311 W   4.5       10.7        4.8       22.8       23.3 
120723  221534  48   9.2768 N  63  45.9300 W   4.4       10.7        4.8       22.8       23.3 
120723  221535  48   9.2774 N  63  45.9290 W   4.3       10.7        4.8       22.8       23.3 
120723  221536  48   9.2781 N  63  45.9279 W   4.1       10.7        4.8       22.8       23.3 
120723  221537  48   9.2787 N  63  45.9269 W   4.0       10.7        4.8       22.8       23.3 
120723  221538  48   9.2793 N  63  45.9258 W   3.9       10.7        4.8       22.8       23.3 
120723  221539  48   9.2799 N  63  45.9249 W   3.8       10.7        4.8       22.8       23.3 
120723  221540  48   9.2805 N  63  45.9239 W   3.7       10.7        4.8       22.8      130.2*
120723  221541  48   9.2811 N  63  45.9229 W   3.6       10.7        4.8       22.8      130.2 
120723  221542  48   9.2817 N  63  45.9220 W   3.6       10.7        4.8       22.8      130.2 
120723  221543  48   9.2823 N  63  45.9210 W   3.5       10.7        4.8        3.2*     130.2 
120723  221544  48   9.2828 N  63  45.9201 W   3.4       10.7        4.8        3.2      130.2 
120723  221545  48   9.2834 N  63  45.9192 W   3.3       10.7        4.8        3.2      130.2 
120723  221546  48   9.2840 N  63  45.9182 W   3.3        2.1*       4.8        3.2      130.2 
120723  221547  48   9.2845 N  63  45.9173 W   3.3        2.1        4.8        3.2      130.2 
120723  221548  48   9.2850 N  63  45.9163 W   3.2        2.1        4.8        5.3*     130.2 
120723  221549  48   9.2855 N  63  45.9154 W   3.2        2.1        4.8        5.3      130.2 
120723  221550  48   9.2862 N  63  45.9144 W   3.2        2.1        4.8        5.3      130.2 
120723  221551  48   9.2867 N  63  45.9136 W   3.1        2.1        4.8        5.3      130.2 
120723  221552  48   9.2872 N  63  45.9127 W   3.1        2.1        4.8        5.3      130.2 
120723  221553  48   9.2877 N  63  45.9118 W   3.1        2.1        4.8        4.0*     130.2 
120723  221554  48   9.2882 N  63  45.9109 W   3.1        2.1        4.8        4.0      130.2 
120723  221555  48   9.2888 N  63  45.9099 W   3.1        2.1        4.8        4.0      130.2 
120723  221556  48   9.2892 N  63  45.9091 W   3.0        2.1        4.8        4.0        3.1*
120723  221557  48   9.2898 N  63  45.9081 W   3.0        2.1        4.8        4.0        3.1 
120723  221558  48   9.2903 N  63  45.9072 W   3.0        2.1        4.8        4.0        3.1 
120723  221559  48   9.2908 N  63  45.9063 W   3.0        2.2*       4.8        2.6*       3.1 
120723  221600  48   9.2913 N  63  45.9054 W   2.9        2.2        4.8        2.6        3.1 
120723  221601  48   9.2917 N  63  45.9045 W   2.9        2.2        4.8        2.6        1.8*
120723  221602  48   9.2922 N  63  45.9037 W   2.9        2.2        4.8        2.6        1.8 
120723  221603  48   9.2927 N  63  45.9027 W   2.9        2.2        4.8        2.6        1.8 
120723  221604  48   9.2932 N  63  45.9018 W   2.9        2.2        4.8        2.6*       1.8 
120723  221605  48   9.2937 N  63  45.9010 W   2.9        2.2        4.8        2.6        1.8 
120723  221606  48   9.2942 N  63  45.9001 W   2.8        2.2        4.8        2.6        0.9*
120723  221607  48   9.2948 N  63  45.8991 W   2.8        2.2        4.8        2.6        0.9 
120723  221608  48   9.2953 N  63  45.8982 W   2.8        2.2        4.8        2.6        0.9 
120723  221609  48   9.2958 N  63  45.8972 W   2.8        2.2        4.8        2.9*       0.9 
120723  221610  48   9.2963 N  63  45.8964 W   2.8        2.2        4.8        2.9        0.9 
120723  221611  48   9.2968 N  63  45.8956 W   2.8        2.2        4.8        2.9        4.8*
120723  221612  48   9.2972 N  63  45.8947 W   2.7        2.2        4.8        2.9        4.8 
120723  221613  48   9.2978 N  63  45.8939 W   2.7        2.2        4.8        2.9        4.8 
120723  221614  48   9.2984 N  63  45.8930 W   2.8        2.2        4.8        2.9        4.8 
