FileName: C:\TRAWLS~3\GP062F
Local Time: Fri Aug 03 15:41:03 2012

Ship: August 03, 2012 Trip: GP062F Tow: tow 6
Comments: Zone 12 gaspe
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
120803  184104  48  51.4635 N  63  43.5466 W   6.9        6.9*       6.7*      14.4*     289.9*
120803  184105  48  51.4653 N  63  43.5445 W   7.1        6.9        6.7       14.4      289.9 
120803  184106  48  51.4670 N  63  43.5424 W   7.2        6.9        6.7       14.4      289.9 
120803  184107  48  51.4687 N  63  43.5401 W   7.4        6.9        6.7       14.4      289.9 
120803  184108  48  51.4703 N  63  43.5376 W   7.5        6.9        6.7       14.4      289.9 
120803  184109  48  51.4720 N  63  43.5352 W   7.5        6.9        6.7       14.4      289.9 
120803  184110  48  51.4737 N  63  43.5329 W   7.6        6.9        6.7       14.4      289.9 
120803  184111  48  51.4754 N  63  43.5306 W   7.7        6.9        6.7       14.4      289.9 
120803  184112  48  51.4773 N  63  43.5283 W   7.8        6.9        6.7       14.4      289.9 
120803  184113  48  51.4792 N  63  43.5260 W   7.9        6.9        6.7       14.4      289.9 
120803  184114  48  51.4809 N  63  43.5237 W   8.0        6.9        6.7       14.4      289.9 
120803  184115  48  51.4825 N  63  43.5214 W   8.0        6.9        6.7       14.4      289.9 
120803  184116  48  51.4840 N  63  43.5192 W   7.9        6.9        6.7       14.4      289.9 
120803  184117  48  51.4856 N  63  43.5173 W   7.9        6.9        6.7       14.4      289.9 
120803  184118  48  51.4871 N  63  43.5153 W   7.8        6.9        6.7       14.4      289.9 
120803  184119  48  51.4886 N  63  43.5135 W   7.6        6.9        6.7       14.4      289.9 
120803  184120  48  51.4900 N  63  43.5118 W   7.4        6.9        6.7       14.4      289.9 
120803  184121  48  51.4914 N  63  43.5101 W   7.2        6.9        6.7       14.4      289.9 
120803  184122  48  51.4926 N  63  43.5086 W   7.0        6.9        6.7       14.4      289.9 
120803  184123  48  51.4938 N  63  43.5072 W   6.8        6.9        6.7       14.4      289.9 
120803  184124  48  51.4950 N  63  43.5059 W   6.6        6.9        6.7       14.4      289.9 
120803  184125  48  51.4962 N  63  43.5046 W   6.4        6.9        6.7       14.4      289.9 
120803  184126  48  51.4972 N  63  43.5034 W   6.1        6.9        6.7       14.4      289.9 
120803  184127  48  51.4982 N  63  43.5021 W   5.9        6.9        6.7       14.4      289.9 
120803  184128  48  51.4992 N  63  43.5008 W   5.7        6.9        6.7       14.4      289.9 
120803  184129  48  51.5001 N  63  43.4997 W   5.5        6.9        6.7       14.4      289.9 
120803  184130  48  51.5010 N  63  43.4987 W   5.3        6.9        6.7       14.4      289.9 
120803  184131  48  51.5019 N  63  43.4977 W   5.1        6.9        6.7       14.4      289.9 
120803  184132  48  51.5027 N  63  43.4966 W   4.9        6.9        6.7       14.4      289.9 
120803  184133  48  51.5035 N  63  43.4956 W   4.7        6.9        6.7       14.4      289.9 
120803  184134  48  51.5043 N  63  43.4947 W   4.6        6.9        6.7       13.9*     289.9 
120803  184135  48  51.5051 N  63  43.4937 W   4.4        6.9        6.7       13.9      289.9 
120803  184136  48  51.5059 N  63  43.4928 W   4.3        6.9        6.7       13.9      289.9 
