FileName: C:\TRAWLS~3\GP099F
Local Time: Fri Aug 03 09:04:15 2012

Ship: August 03, 2012 Trip: GP099F Tow: tow 3
Comments: Zone 12 nord banc orphelin
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
120803  120417  48  45.6393 N  63  23.0711 W   5.6        9.2*       9.1*     144.3*     174.2*
120803  120418  48  45.6412 N  63  23.0702 W   5.9        9.2        9.1      144.3      174.2 
120803  120419  48  45.6432 N  63  23.0693 W   6.1        9.2        9.1      144.3      174.2 
120803  120420  48  45.6451 N  63  23.0685 W   6.3        9.2        9.1      144.3      174.2 
120803  120421  48  45.6470 N  63  23.0675 W   6.4        9.2        9.1      144.3      174.2 
120803  120422  48  45.6489 N  63  23.0665 W   6.5        9.2        9.1      144.3      174.2 
120803  120423  48  45.6508 N  63  23.0655 W   6.6        9.2        9.1      144.3      174.2 
120803  120424  48  45.6528 N  63  23.0646 W   6.8        9.2        9.1      144.3      174.2 
120803  120425  48  45.6548 N  63  23.0635 W   6.9        9.2        9.1      144.3      174.2 
120803  120426  48  45.6569 N  63  23.0625 W   7.1        9.2        9.1      144.3      174.2 
120803  120427  48  45.6589 N  63  23.0613 W   7.2        9.2        9.1      144.3      174.2 
120803  120428  48  45.6608 N  63  23.0601 W   7.2        9.2        9.1      144.3      174.2 
120803  120429  48  45.6627 N  63  23.0591 W   7.2        9.2        9.1      144.3      174.2 
120803  120430  48  45.6644 N  63  23.0581 W   7.1        9.2        9.1      144.3      174.2 
120803  120431  48  45.6660 N  63  23.0574 W   7.0        9.2        9.1      144.3      174.2 
120803  120432  48  45.6677 N  63  23.0567 W   6.8        9.2        9.1      144.3      174.2 
120803  120433  48  45.6692 N  63  23.0560 W   6.7        9.2        9.1      144.3      174.2 
120803  120434  48  45.6707 N  63  23.0554 W   6.5        9.2        9.1      144.3      174.2 
120803  120435  48  45.6722 N  63  23.0547 W   6.3        9.2        9.1      144.3      174.2 
120803  120436  48  45.6735 N  63  23.0541 W   6.1        9.2        9.1      144.3      174.2 
120803  120437  48  45.6748 N  63  23.0535 W   5.9        9.2        9.1      144.3      174.2 
120803  120438  48  45.6760 N  63  23.0529 W   5.7        9.2        9.1      144.3      174.2 
120803  120439  48  45.6771 N  63  23.0523 W   5.5        9.2        9.1      144.3      174.2 
120803  120440  48  45.6782 N  63  23.0516 W   5.3        9.2        9.1      144.3      174.2 
120803  120441  48  45.6793 N  63  23.0510 W   5.1        9.2        9.1      144.3      174.2 
120803  120442  48  45.6803 N  63  23.0505 W   4.9        9.2        9.1      144.3      174.2 
120803  120443  48  45.6813 N  63  23.0500 W   4.7        9.2        9.1      144.3      174.2 
120803  120444  48  45.6823 N  63  23.0494 W   4.6        9.2        9.1      144.3      174.2 
120803  120445  48  45.6832 N  63  23.0489 W   4.4        9.2        9.1      144.3      174.2 
120803  120446  48  45.6841 N  63  23.0484 W   4.3        9.2        9.1      144.3      174.2 
120803  120447  48  45.6850 N  63  23.0479 W   4.1        9.2        9.1      144.3      174.2 
120803  120448  48  45.6858 N  63  23.0474 W   4.0        9.2        9.1      144.3      174.2 
120803  120449  48  45.6867 N  63  23.0469 W   3.9        9.2        9.1      144.3      174.2 
120803  120450  48  45.6875 N  63  23.0463 W   3.8        9.2        9.1      144.3      174.2 
120803  120451  48  45.6884 N  63  23.0458 W   3.7        9.2        9.1      144.3      174.2 
120803  120452  48  45.6891 N  63  23.0453 W   3.6        9.2        9.1      144.3      174.2 
120803  120453  48  45.6899 N  63  23.0447 W   3.5        9.2        9.1      144.3      174.2 
120803  120454  48  45.6906 N  63  23.0442 W   3.4        9.2        9.1      144.3      174.2 
120803  120455  48  45.6914 N  63  23.0437 W   3.4        9.2        9.1      144.3      174.2 
120803  120456  48  45.6922 N  63  23.0432 W   3.3        9.2        9.1      144.3      174.2 
120803  120457  48  45.6929 N  63  23.0427 W   3.3        9.2        9.1      144.3      174.2 
120803  120458  48  45.6936 N  63  23.0422 W   3.2        9.2        9.1      144.3      174.2 
120803  120459  48  45.6943 N  63  23.0416 W   3.1        9.2        9.1      144.3      174.2 
120803  120500  48  45.6950 N  63  23.0411 W   3.1        9.2        9.1       23.4*     174.2 
120803  120501  48  45.6957 N  63  23.0406 W   3.1        9.2        9.1       23.4      174.2 
120803  120502  48  45.6963 N  63  23.0401 W   3.0        9.2        9.1       23.4      174.2 
120803  120503  48  45.6970 N  63  23.0397 W   2.9        9.2       11.2*      23.4      174.2 
120803  120504  48  45.6976 N  63  23.0392 W   2.9        9.2       11.2       23.4      174.2 
120803  120505  48  45.6982 N  63  23.0387 W   2.8        9.2       11.2        2.7*     174.2 
120803  120506  48  45.6987 N  63  23.0382 W   2.7        9.2       11.2        2.7      174.2 
120803  120507  48  45.6993 N  63  23.0378 W   2.7        9.2       11.2        2.7      174.2 
120803  120508  48  45.6998 N  63  23.0373 W   2.6        9.2       11.2        2.7      174.2 
120803  120509  48  45.7003 N  63  23.0368 W   2.5        9.2       11.2        2.7      174.2 
120803  120510  48  45.7007 N  63  23.0363 W   2.4        9.2       11.2        2.7      174.2 
120803  120511  48  45.7012 N  63  23.0359 W   2.4        9.2       11.2        2.7      174.2 
120803  120512  48  45.7017 N  63  23.0355 W   2.4        9.2       11.2        2.7      174.2 
120803  120513  48  45.7022 N  63  23.0351 W   2.3        9.2       11.2        2.7      174.2 
120803  120514  48  45.7026 N  63  23.0346 W   2.3        9.2       11.2        2.7      174.2 
120803  120515  48  45.7030 N  63  23.0341 W   2.3        9.2       11.3*       6.2*     174.2 
120803  120516  48  45.7034 N  63  23.0336 W   2.3        9.2       11.3        6.2      174.2 
120803  120517  48  45.7039 N  63  23.0332 W   2.2        9.2       11.3        6.2      174.2 
120803  120518  48  45.7043 N  63  23.0328 W   2.2        9.2       11.3        6.2      174.2 
120803  120519  48  45.7049 N  63  23.0325 W   2.2        9.2       11.3        6.2      174.2 
120803  120520  48  45.7053 N  63  23.0320 W   2.3        9.2       11.3        6.2      174.2 
120803  120521  48  45.7057 N  63  23.0314 W   2.2        9.2       11.3        6.2      174.2 
120803  120522  48  45.7063 N  63  23.0309 W   2.3        9.2       11.3        6.2      174.2 
120803  120523  48  45.7068 N  63  23.0305 W   2.3        9.2       11.3        6.2      174.2 
120803  120524  48  45.7073 N  63  23.0301 W   2.3        9.2       11.3        6.2      174.2 
120803  120525  48  45.7079 N  63  23.0297 W   2.3        9.2       11.3        6.2      174.2 
120803  120526  48  45.7086 N  63  23.0292 W   2.4        9.2       11.3        6.2      174.2 
120803  120527  48  45.7093 N  63  23.0285 W   2.5        9.2       11.3        6.2      174.2 
120803  120528  48  45.7102 N  63  23.0279 W   2.7        9.2       11.3        6.2      174.2 
120803  120529  48  45.7111 N  63  23.0273 W   2.8        9.2       11.3        6.2      174.2 
120803  120530  48  45.7122 N  63  23.0267 W   3.0        9.2       11.3        6.2      174.2 
120803  120531  48  45.7133 N  63  23.0262 W   3.2        9.2       11.3        6.2      174.2 
120803  120532  48  45.7146 N  63  23.0255 W   3.5        9.2       11.3        6.2      174.2 
120803  120533  48  45.7158 N  63  23.0248 W   3.7        9.2       11.3        6.2      174.2 
120803  120534  48  45.7171 N  63  23.0239 W   3.9        9.2       11.3        6.2      174.2 
120803  120535  48  45.7185 N  63  23.0231 W   4.1        9.2       11.3        6.2      174.2 
120803  120536  48  45.7199 N  63  23.0224 W   4.3        9.2       11.3        6.2      174.2 
120803  120537  48  45.7214 N  63  23.0216 W   4.5        9.2       11.3        6.2      174.2 
120803  120538  48  45.7230 N  63  23.0208 W   4.8        9.2       11.3        6.2      174.2 
120803  120539  48  45.7246 N  63  23.0199 W   5.0        9.2       11.3        6.2      174.2 
120803  120540  48  45.7263 N  63  23.0190 W   5.2        9.2       11.3        6.2      174.2 
