FileName: C:\TRAWLS~3\GP109F
Local Time: Sat Aug 25 19:46:59 2012

Ship: August 25, 2012 Trip: GP109F Tow: tow 12
Comments: Zone 12 nord pei
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
120825  224701  47   2.4372 N  63  16.4866 W   6.2       12.0*       8.9*      53.3*     656.7*
120825  224702  47   2.4389 N  63  16.4856 W   6.3       12.0        8.9       53.3      656.7 
120825  224703  47   2.4406 N  63  16.4847 W   6.3       12.0        8.9       53.3      656.7 
120825  224704  47   2.4423 N  63  16.4837 W   6.3       12.0        8.9       53.3      656.7 
120825  224705  47   2.4439 N  63  16.4827 W   6.3       12.0        8.9       53.3      656.7 
120825  224706  47   2.4455 N  63  16.4818 W   6.3       12.0        8.9       53.3      656.7 
120825  224707  47   2.4471 N  63  16.4808 W   6.2       12.0        8.9       53.3      656.7 
120825  224708  47   2.4486 N  63  16.4800 W   6.1       12.0        8.9       53.3      656.7 
120825  224709  47   2.4500 N  63  16.4792 W   6.0       12.0        8.9       53.3      656.7 
120825  224710  47   2.4514 N  63  16.4784 W   5.9       12.0        8.9       53.3      656.7 
120825  224711  47   2.4527 N  63  16.4776 W   5.8       12.0        8.9       53.3      656.7 
120825  224712  47   2.4539 N  63  16.4769 W   5.6       12.0        8.9       53.3      656.7 
120825  224713  47   2.4551 N  63  16.4762 W   5.4       12.0        8.9       53.3      656.7 
120825  224714  47   2.4562 N  63  16.4755 W   5.3       12.0        8.9       53.3      656.7 
120825  224715  47   2.4573 N  63  16.4748 W   5.1       12.0        8.9       53.3      656.7 
120825  224716  47   2.4584 N  63  16.4741 W   4.9       12.0        8.9       53.3      656.7 
120825  224717  47   2.4593 N  63  16.4735 W   4.7        2.1*       8.9       53.3      656.7 
120825  224718  47   2.4603 N  63  16.4729 W   4.6        2.1        8.9       53.3      656.7 
120825  224719  47   2.4613 N  63  16.4723 W   4.4        2.1        8.9       53.3      656.7 
120825  224720  47   2.4622 N  63  16.4718 W   4.3        2.1        8.9       53.3      656.7 
120825  224721  47   2.4632 N  63  16.4711 W   4.2        2.1        8.9       53.3      656.7 
120825  224722  47   2.4641 N  63  16.4705 W   4.1        2.1        8.9       53.3      656.7 
120825  224723  47   2.4651 N  63  16.4699 W   4.0        2.1        8.9       53.3      656.7 
120825  224724  47   2.4659 N  63  16.4693 W   3.9        2.1        8.9       53.3      656.7 
120825  224725  47   2.4669 N  63  16.4688 W   3.8        2.1        8.9       53.3      656.7 
120825  224726  47   2.4677 N  63  16.4683 W   3.8        2.1        8.9       53.3      656.7 
120825  224727  47   2.4685 N  63  16.4676 W   3.7        2.1        8.9       53.3      656.7 
120825  224728  47   2.4693 N  63  16.4671 W   3.6        2.1        8.9        1.2*     656.7 
120825  224729  47   2.4701 N  63  16.4666 W   3.5        2.1        8.9        1.2      656.7 
120825  224730  47   2.4708 N  63  16.4660 W   3.4        2.1        8.9        1.2      656.7 
120825  224731  47   2.4716 N  63  16.4655 W   3.3        2.1        8.9        1.2      656.7 
120825  224732  47   2.4722 N  63  16.4649 W   3.3        2.1        8.9        1.2      656.7 
120825  224733  47   2.4730 N  63  16.4643 W   3.2        2.1        8.9        2.6*     656.7 
120825  224734  47   2.4736 N  63  16.4638 W   3.2        2.1        8.9        2.6      656.7 
120825  224735  47   2.4743 N  63  16.4633 W   3.1        2.1        2.2*       2.6      656.7 
120825  224736  47   2.4749 N  63  16.4628 W   3.0        2.1        2.2        2.6      656.7 
120825  224737  47   2.4756 N  63  16.4622 W   3.0        2.1        2.2        2.6      656.7 
120825  224738  47   2.4762 N  63  16.4616 W   2.9        2.1        2.2        2.6      656.7 
120825  224739  47   2.4769 N  63  16.4611 W   2.9        2.1        2.2        5.0*     656.7 
120825  224740  47   2.4775 N  63  16.4606 W   2.8        2.1        2.2        5.0      656.7 
120825  224741  47   2.4782 N  63  16.4600 W   2.8        2.1        2.2        5.0      656.7 
120825  224742  47   2.4789 N  63  16.4595 W   2.8        3.0*       2.2        5.0      656.7 
120825  224743  47   2.4797 N  63  16.4588 W   2.9        3.0        2.2        5.0       16.7*
120825  224744  47   2.4804 N  63  16.4582 W   3.0        3.0        2.2        5.0       16.7 
120825  224745  47   2.4814 N  63  16.4576 W   3.1        3.0        2.2        5.0       16.7 
120825  224746  47   2.4824 N  63  16.4570 W   3.2        3.0        2.2        5.0       16.7 
120825  224747  47   2.4834 N  63  16.4562 W   3.4        3.0        2.2        5.0       16.7 
120825  224748  47   2.4846 N  63  16.4555 W   3.6        3.0        2.2        5.0       16.7 
120825  224749  47   2.4858 N  63  16.4547 W   3.8        3.0        2.2        6.6*      16.7 
120825  224750  47   2.4871 N  63  16.4539 W   3.9        3.0        2.2        6.6       14.4*
120825  224751  47   2.4884 N  63  16.4531 W   4.1        3.0        2.2        6.6       14.4 
120825  224752  47   2.4897 N  63  16.4523 W   4.3        3.0        2.2        6.6       14.4 
120825  224753  47   2.4912 N  63  16.4515 W   4.5        3.0        2.2        6.6       14.4 
120825  224754  47   2.4926 N  63  16.4506 W   4.7        3.0        2.2        7.1*      14.4 
120825  224755  47   2.4941 N  63  16.4497 W   4.9        3.0        2.2        7.1       14.4 
120825  224756  47   2.4957 N  63  16.4488 W   5.0        3.0        2.2        7.1       14.4 
120825  224757  47   2.4972 N  63  16.4479 W   5.1        3.0        2.2        7.1       22.2*
120825  224758  47   2.4989 N  63  16.4470 W   5.3        3.0        2.2        7.1       22.2 
120825  224759  47   2.5005 N  63  16.4461 W   5.4        3.0        2.2        7.1       22.2 
120825  224800  47   2.5022 N  63  16.4451 W   5.6        3.0        2.2        7.1       22.2 
120825  224801  47   2.5038 N  63  16.4442 W   5.7        3.0        2.2        7.1       22.2 
120825  224802  47   2.5055 N  63  16.4433 W   5.8        3.0        2.2        7.1       22.2 
120825  224803  47   2.5073 N  63  16.4423 W   5.9        3.0        2.2        7.1       22.2 
120825  224804  47   2.5089 N  63  16.4413 W   6.0        3.0        2.2        7.1       22.2 
120825  224805  47   2.5107 N  63  16.4403 W   6.1        3.0        2.2        7.1       22.2 
120825  224806  47   2.5124 N  63  16.4393 W   6.2        3.0        2.2        7.1       22.2 
120825  224807  47   2.5141 N  63  16.4384 W   6.2        3.0        2.2        7.1       22.2 
120825  224808  47   2.5158 N  63  16.4373 W   6.3        3.0        2.2        7.1       22.2 
120825  224809  47   2.5176 N  63  16.4363 W   6.4        3.0        2.2        7.1       22.2 
120825  224810  47   2.5193 N  63  16.4353 W   6.4        3.0        2.2        7.1       22.2 
120825  224811  47   2.5211 N  63  16.4342 W   6.5        3.0        2.2        7.1       22.2 
120825  224812  47   2.5228 N  63  16.4332 W   6.5        3.0        2.2        7.1       22.2 
120825  224813  47   2.5246 N  63  16.4321 W   6.6        3.0        2.2        7.1       22.2 
120825  224814  47   2.5263 N  63  16.4310 W   6.6        3.0        2.2        7.1       22.2 
120825  224815  47   2.5281 N  63  16.4299 W   6.7        3.0        2.2        7.1       22.2 
120825  224816  47   2.5299 N  63  16.4289 W   6.7        3.0        2.2        7.1       22.2 
120825  224817  47   2.5317 N  63  16.4279 W   6.7        3.0        2.2        7.1       22.2 
120825  224818  47   2.5336 N  63  16.4268 W   6.8        3.0        6.3*       7.1       22.2 
120825  224819  47   2.5354 N  63  16.4257 W   6.8        3.0        6.3        7.1       22.2 
120825  224820  47   2.5372 N  63  16.4246 W   6.8        3.0        6.3        7.1       22.2 
120825  224821  47   2.5390 N  63  16.4235 W   6.8        3.0        6.3        7.1       22.2 
120825  224822  47   2.5408 N  63  16.4225 W   6.9        3.0        6.3        7.1       22.2 
120825  224823  47   2.5427 N  63  16.4213 W   6.9        3.0        6.3        7.1       22.2 
120825  224824  47   2.5445 N  63  16.4202 W   6.9        3.0        6.3        7.1       22.2 
120825  224825  47   2.5463 N  63  16.4191 W   7.0        3.0        6.3        7.1       22.2 
120825  224826  47   2.5481 N  63  16.4180 W   7.0        3.0        6.3        7.1       22.2 
120825  224827  47   2.5500 N  63  16.4168 W   7.0        3.0        6.3        7.1       22.2 
120825  224828  47   2.5518 N  63  16.4157 W   7.0        3.0        6.3        7.1       22.2 
120825  224829  47   2.5535 N  63  16.4147 W   7.0        3.0        6.3        7.1       22.2 
120825  224830  47   2.5554 N  63  16.4135 W   7.0        3.0        6.3        7.1       22.2 
120825  224831  47   2.5572 N  63  16.4123 W   7.0        3.0        6.3        7.1       22.2 
120825  224832  47   2.5590 N  63  16.4112 W   7.0        3.0        6.3        7.1       22.2 
120825  224833  47   2.5608 N  63  16.4101 W   7.0        3.0        6.3        7.1       22.2 
120825  224834  47   2.5626 N  63  16.4089 W   7.0        3.0        6.3        7.1       22.2 
120825  224835  47   2.5644 N  63  16.4078 W   7.0        3.0        6.3        7.1       22.2 
120825  224836  47   2.5662 N  63  16.4067 W   7.0        3.0        6.3        7.1       22.2 
120825  224837  47   2.5680 N  63  16.4056 W   7.0        3.0        6.3        7.1       22.2 
120825  224838  47   2.5699 N  63  16.4045 W   7.0        3.0        6.3        7.1       22.2 
120825  224839  47   2.5716 N  63  16.4035 W   7.0        3.0        6.3        7.1       22.2 
120825  224840  47   2.5734 N  63  16.4024 W   7.0        3.0        6.3        7.1       22.2 
120825  224841  47   2.5752 N  63  16.4013 W   7.0        3.0        6.3        7.1       22.2 
120825  224842  47   2.5771 N  63  16.4002 W   7.0        3.0        6.3        7.1       22.2 
120825  224843  47   2.5789 N  63  16.3990 W   7.0        3.0        6.3        7.1       22.2 
120825  224844  47   2.5807 N  63  16.3979 W   7.0        3.0        6.3        7.1       22.2 
120825  224845  47   2.5825 N  63  16.3968 W   7.0        3.0        6.3        7.1       22.2 
120825  224846  47   2.5843 N  63  16.3955 W   7.1        3.0        6.3        7.1       22.2 
120825  224847  47   2.5860 N  63  16.3945 W   7.1        3.0        6.3        7.1       22.2 
120825  224848  47   2.5878 N  63  16.3934 W   7.1        3.0        6.3        7.1       22.2 
120825  224849  47   2.5896 N  63  16.3923 W   7.1        3.0        6.3        7.1       22.2 
120825  224850  47   2.5914 N  63  16.3912 W   7.1        3.0        6.3        7.1       22.2 
120825  224851  47   2.5932 N  63  16.3902 W   7.1        3.0        6.3        7.1       22.2 
120825  224852  47   2.5950 N  63  16.3891 W   7.1        3.0        6.3        7.1       22.2 
120825  224853  47   2.5969 N  63  16.3881 W   7.1        3.0        6.3        7.1       22.2 
120825  224854  47   2.5986 N  63  16.3870 W   7.1        3.0        6.3        7.1       22.2 
120825  224855  47   2.6004 N  63  16.3861 W   7.1        3.0        6.3        7.1       22.2 
120825  224856  47   2.6022 N  63  16.3851 W   7.1        3.0        6.3        7.1       22.2 
120825  224857  47   2.6040 N  63  16.3840 W   7.1        3.0        6.3        7.1       22.2 
120825  224858  47   2.6058 N  63  16.3830 W   7.1        3.0        6.3        7.1       22.2 
120825  224859  47   2.6076 N  63  16.3820 W   7.1        3.0        6.3        7.1       22.2 
120825  224900  47   2.6094 N  63  16.3809 W   7.1        3.0        6.3        7.1       22.2 
120825  224901  47   2.6113 N  63  16.3798 W   7.1        3.0        6.3        7.1       22.2 
120825  224902  47   2.6132 N  63  16.3787 W   7.1        3.0        6.3        7.1       22.2 
120825  224903  47   2.6150 N  63  16.3776 W   7.1        3.0        6.3        7.1       22.2 
120825  224904  47   2.6168 N  63  16.3765 W   7.1        3.0        6.3        7.0*      22.2 
120825  224905  47   2.6186 N  63  16.3753 W   7.1        3.0        6.3        7.0       22.2 
120825  224906  47   2.6204 N  63  16.3743 W   7.1        3.0        6.3        7.0       22.2 
120825  224907  47   2.6222 N  63  16.3733 W   7.1        3.0        6.3        7.0       22.2 
120825  224908  47   2.6240 N  63  16.3723 W   7.1        3.0        5.3*       7.0       22.2 
120825  224909  47   2.6258 N  63  16.3713 W   7.1        3.0        5.3        7.0       22.2 
120825  224910  47   2.6276 N  63  16.3703 W   7.1        3.0        5.3        7.0       22.2 
120825  224911  47   2.6295 N  63  16.3692 W   7.1        3.0        5.3        7.0       22.2 
120825  224912  47   2.6314 N  63  16.3682 W   7.1        3.0        5.3        7.0       22.2 
120825  224913  47   2.6332 N  63  16.3672 W   7.1        3.0        5.3        7.0       22.2 
120825  224914  47   2.6351 N  63  16.3661 W   7.1        3.0        5.3        7.0       22.2 
120825  224915  47   2.6370 N  63  16.3651 W   7.1        3.0        5.3        7.0       22.2 
120825  224916  47   2.6388 N  63  16.3640 W   7.1        3.0        5.3        7.0       22.2 
120825  224917  47   2.6406 N  63  16.3629 W   7.1        3.0        5.3        7.0       22.2 
120825  224918  47   2.6424 N  63  16.3619 W   7.0        3.0        5.3        7.0       22.2 
120825  224919  47   2.6441 N  63  16.3608 W   7.0        3.0        5.3        7.0       22.2 
120825  224920  47   2.6458 N  63  16.3598 W   6.9        3.0        5.3        7.0       22.2 
120825  224921  47   2.6474 N  63  16.3588 W   6.8        3.0        5.3        7.0       22.2 
120825  224922  47   2.6490 N  63  16.3578 W   6.7        3.0        5.3        7.0       22.2 
120825  224923  47   2.6506 N  63  16.3568 W   6.6        3.0        5.3        7.0       22.2 
120825  224924  47   2.6521 N  63  16.3558 W   6.4        3.0        5.3        7.0       22.2 
