FileName: C:\TRAWLS~3\GP139F
Local Time: Thu Aug 02 11:25:59 2012

Ship: August 02, 2012 Trip: GP139F Tow: tow 4
Comments: Zone 12 banc orphelin
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
120802  142601  48  27.1010 N  62  59.3570 W   6.0        8.2*      11.9*      36.2*     176.4*
120802  142602  48  27.1015 N  62  59.3598 W   6.1        8.2       11.9       36.2      176.4 
120802  142603  48  27.1019 N  62  59.3628 W   6.3        8.2       11.9       36.2      176.4 
120802  142604  48  27.1024 N  62  59.3660 W   6.5        8.2       11.9       36.2      176.4 
120802  142605  48  27.1028 N  62  59.3690 W   6.7        8.2       11.9       36.2      176.4 
120802  142606  48  27.1032 N  62  59.3721 W   6.8        8.2       11.9       36.2      176.4 
120802  142607  48  27.1036 N  62  59.3749 W   6.8        8.2       11.9       22.5*     176.4 
120802  142608  48  27.1041 N  62  59.3777 W   6.8        8.2       11.9       22.5      176.4 
120802  142609  48  27.1046 N  62  59.3803 W   6.8        8.2       11.9       22.5      322.4*
120802  142610  48  27.1051 N  62  59.3829 W   6.7        8.2       11.9       22.5      322.4 
120802  142611  48  27.1054 N  62  59.3853 W   6.6        8.2       11.9       22.5      322.4 
120802  142612  48  27.1057 N  62  59.3877 W   6.4        8.2       11.9       22.5      322.4 
120802  142613  48  27.1060 N  62  59.3901 W   6.3        8.2       11.9       22.5      322.4 
120802  142614  48  27.1064 N  62  59.3923 W   6.2        8.2       11.9       22.5      322.4 
120802  142615  48  27.1068 N  62  59.3944 W   6.0        8.2       11.9       22.5      322.4 
120802  142616  48  27.1072 N  62  59.3962 W   5.8        8.2       11.9       22.5      322.4 
120802  142617  48  27.1074 N  62  59.3981 W   5.6        8.2       11.9       22.5      322.4 
120802  142618  48  27.1077 N  62  59.3998 W   5.4        8.2       11.9       22.5      322.4 
120802  142619  48  27.1080 N  62  59.4014 W   5.2        8.2       11.9       22.5      322.4 
120802  142620  48  27.1082 N  62  59.4028 W   4.9        8.2       11.9       22.5      322.4 
120802  142621  48  27.1086 N  62  59.4043 W   4.8        8.2       11.9       22.5      322.4 
120802  142622  48  27.1089 N  62  59.4058 W   4.6        8.2       11.9       22.5      322.4 
120802  142623  48  27.1092 N  62  59.4073 W   4.5        8.2       11.9       22.5      322.4 
120802  142624  48  27.1094 N  62  59.4087 W   4.3        8.2       11.9       22.5      322.4 
120802  142625  48  27.1097 N  62  59.4101 W   4.2        8.2       11.9       22.5      322.4 
120802  142626  48  27.1099 N  62  59.4115 W   4.0        8.2       11.9       22.5      322.4 
120802  142627  48  27.1102 N  62  59.4129 W   4.0        8.2       11.9       22.5      322.4 
120802  142628  48  27.1105 N  62  59.4142 W   3.9        8.2       11.9       22.5      322.4 
120802  142629  48  27.1108 N  62  59.4155 W   3.8        8.2       11.9       22.5      322.4 
120802  142630  48  27.1111 N  62  59.4167 W   3.7        8.2       11.9        2.0*     322.4 
120802  142631  48  27.1114 N  62  59.4181 W   3.6        8.2       11.9        2.0      322.4 
120802  142632  48  27.1117 N  62  59.4192 W   3.5        8.2       11.9        2.0      322.4 
120802  142633  48  27.1120 N  62  59.4203 W   3.5        8.2       11.9        2.0      322.4 
120802  142634  48  27.1123 N  62  59.4215 W   3.4        8.2       11.9        2.0      322.4 
120802  142635  48  27.1124 N  62  59.4225 W   3.3        8.2       11.9        2.0      322.4 
120802  142636  48  27.1126 N  62  59.4235 W   3.3        8.2       11.9        2.1*     322.4 
120802  142637  48  27.1129 N  62  59.4246 W   3.2        8.2       11.9        2.1      322.4 
120802  142638  48  27.1132 N  62  59.4256 W   3.2        8.2       11.9        2.1      322.4 
120802  142639  48  27.1134 N  62  59.4267 W   3.1        8.2       11.9        2.1      322.4 
120802  142640  48  27.1137 N  62  59.4277 W   3.1        8.2       11.9        2.1      322.4 
120802  142641  48  27.1139 N  62  59.4287 W   3.0        8.2       11.9        2.6*     322.4 
120802  142642  48  27.1142 N  62  59.4297 W   3.0        8.2       11.9        2.6      322.4 
120802  142643  48  27.1145 N  62  59.4308 W   3.0        8.2       11.9        2.6      322.4 
120802  142644  48  27.1147 N  62  59.4318 W   3.0        8.2       11.9        2.6      322.4 
120802  142645  48  27.1150 N  62  59.4328 W   2.9        8.2       11.9        2.6      322.4 
120802  142646  48  27.1153 N  62  59.4338 W   2.9        2.2*      11.9        3.2*     322.4 
