FileName: C:\TRAWLS~3\GP176F
Local Time: Sun Sep 16 14:50:11 2012

Ship: September 16, 2012 Trip: GP176F Tow: tow 7
Comments: Zone 12 canal des iles
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
120916  175013  46  58.8700 N  62  36.6489 W   5.5        3.9*       9.8*      36.8*    1160.0*
120916  175014  46  58.8692 N  62  36.6466 W   5.6        3.9        9.8       36.8     1160.0 
120916  175015  46  58.8684 N  62  36.6441 W   5.8        3.9        9.8       36.8     1160.0 
120916  175016  46  58.8674 N  62  36.6416 W   6.0        3.9        9.8       36.8     1160.0 
120916  175017  46  58.8662 N  62  36.6391 W   6.2        3.9        9.8       36.8     1160.0 
120916  175018  46  58.8652 N  62  36.6366 W   6.3        3.9        9.8       36.8     1160.0 
120916  175019  46  58.8643 N  62  36.6340 W   6.4        3.9        9.8       36.8     1160.0 
120916  175020  46  58.8634 N  62  36.6315 W   6.5        3.9        9.8       36.8     1160.0 
120916  175021  46  58.8625 N  62  36.6291 W   6.4        3.9        9.8       36.8     1160.0 
120916  175022  46  58.8616 N  62  36.6271 W   6.3        3.9        9.8       36.8     1160.0 
120916  175023  46  58.8605 N  62  36.6250 W   6.3        3.9        9.8       36.8     1160.0 
120916  175024  46  58.8595 N  62  36.6225 W   6.4        3.9        9.8       36.8     1160.0 
120916  175025  46  58.8587 N  62  36.6198 W   6.5        3.9        9.8       36.8     1160.0 
120916  175026  46  58.8579 N  62  36.6172 W   6.6        3.9        9.8       36.8     1160.0 
120916  175027  46  58.8570 N  62  36.6147 W   6.6        3.9        9.8       36.8     1160.0 
120916  175028  46  58.8562 N  62  36.6125 W   6.5        3.9        9.8       36.8     1160.0 
120916  175029  46  58.8553 N  62  36.6105 W   6.4        3.9        9.8       36.8     1160.0 
120916  175030  46  58.8546 N  62  36.6086 W   6.2        3.9        9.8       36.8     1160.0 
120916  175031  46  58.8540 N  62  36.6065 W   6.1        3.9        9.8       36.8     1160.0 
120916  175032  46  58.8535 N  62  36.6043 W   6.0        3.9        9.8       36.8     1160.0 
120916  175033  46  58.8530 N  62  36.6022 W   5.9       10.2*       9.8       36.8     1160.0 
120916  175034  46  58.8525 N  62  36.6002 W   5.8       10.2        9.8       36.8     1160.0 
120916  175035  46  58.8520 N  62  36.5985 W   5.6       10.2        9.8       36.8     1160.0 
120916  175036  46  58.8515 N  62  36.5969 W   5.4       10.2        9.8       36.8     1160.0 
120916  175037  46  58.8511 N  62  36.5955 W   5.1       10.2        9.8       36.8     1160.0 
120916  175038  46  58.8507 N  62  36.5939 W   5.0       10.2        9.8       36.8     1160.0 
120916  175039  46  58.8503 N  62  36.5922 W   4.9       10.2        9.8       36.8     1160.0 
120916  175040  46  58.8500 N  62  36.5904 W   4.8       10.2        9.8       36.8     1160.0 
120916  175041  46  58.8495 N  62  36.5887 W   4.8       10.2        9.8       36.8     1160.0 
120916  175042  46  58.8490 N  62  36.5872 W   4.7       10.2        9.8       36.8     1160.0 
120916  175043  46  58.8485 N  62  36.5858 W   4.6       10.2        9.8       36.8     1160.0 
120916  175044  46  58.8482 N  62  36.5844 W   4.4       10.2        9.8        2.6*    1160.0 
120916  175045  46  58.8480 N  62  36.5831 W   4.2       10.2        9.8        2.6      696.7*
120916  175046  46  58.8476 N  62  36.5818 W   4.1       10.2        9.8        2.6      696.7 
120916  175047  46  58.8472 N  62  36.5804 W   4.1       10.2        9.8        2.6      696.7 
120916  175048  46  58.8468 N  62  36.5789 W   4.0       10.2        9.8        2.6      696.7 
120916  175049  46  58.8464 N  62  36.5776 W   3.9       10.2        9.8        2.6      696.7 
120916  175050  46  58.8461 N  62  36.5764 W   3.8       10.2        9.8        1.9*     696.7 
