FileName: C:\TRAWLS~3\GP180F
Local Time: Tue Jul 31 09:21:57 2012

Ship: July 31, 2012 Trip: GP180F Tow: tow 4
Comments: Zone 12 entre banc orphelin et grenades sous marine 
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
120731  122200  48  12.8178 N  62  33.0684 W   7.2        7.7*      12.5*     108.8*     475.9*
120731  122201  48  12.8176 N  62  33.0649 W   7.3        7.7       12.5      108.8      475.9 
120731  122202  48  12.8174 N  62  33.0615 W   7.5        7.7       12.5      108.8      475.9 
120731  122203  48  12.8171 N  62  33.0582 W   7.6        7.7       12.5      108.8      475.9 
120731  122204  48  12.8168 N  62  33.0547 W   7.7        7.7       12.5      108.8      475.9 
120731  122205  48  12.8166 N  62  33.0511 W   7.8        7.7       12.5      108.8      475.9 
120731  122206  48  12.8163 N  62  33.0477 W   7.9        7.7       12.5      108.8      475.9 
120731  122207  48  12.8160 N  62  33.0442 W   8.0        7.7       12.5      108.8      475.9 
120731  122208  48  12.8157 N  62  33.0408 W   8.0        7.7       12.5      108.8      475.9 
120731  122209  48  12.8154 N  62  33.0375 W   8.0        7.7       12.5      108.8      475.9 
120731  122210  48  12.8151 N  62  33.0343 W   8.0        7.7       12.5      108.8      475.9 
120731  122211  48  12.8149 N  62  33.0312 W   7.9        7.7       12.5      108.8      475.9 
120731  122212  48  12.8148 N  62  33.0281 W   7.8        7.7       12.5      108.8      475.9 
120731  122213  48  12.8147 N  62  33.0252 W   7.6        7.7       12.5      108.8      475.9 
120731  122214  48  12.8145 N  62  33.0224 W   7.5        7.7       12.5      108.8      475.9 
120731  122215  48  12.8144 N  62  33.0197 W   7.3        7.7       12.5      108.8      475.9 
120731  122216  48  12.8142 N  62  33.0172 W   7.1        7.7       12.5      108.8      475.9 
120731  122217  48  12.8141 N  62  33.0147 W   6.9        7.7       12.5      108.8      475.9 
120731  122218  48  12.8139 N  62  33.0123 W   6.7        7.7       12.5      108.8      475.9 
120731  122219  48  12.8138 N  62  33.0101 W   6.5        7.7       12.5      108.8      475.9 
120731  122220  48  12.8137 N  62  33.0078 W   6.3        7.7       12.5      108.8      475.9 
120731  122221  48  12.8136 N  62  33.0056 W   6.2        7.7       12.5      108.8      475.9 
120731  122222  48  12.8135 N  62  33.0035 W   6.0        7.7       12.5      108.8      475.9 
120731  122223  48  12.8134 N  62  33.0016 W   5.8        7.7       12.5      108.8      475.9 
120731  122224  48  12.8134 N  62  32.9995 W   5.7        7.7       12.5      108.8      475.9 
120731  122225  48  12.8133 N  62  32.9976 W   5.5        7.7       12.5      108.8      475.9 
120731  122226  48  12.8132 N  62  32.9958 W   5.4        7.7       12.5      108.8      475.9 
120731  122227  48  12.8132 N  62  32.9941 W   5.2        7.7       12.5      108.8      475.9 
120731  122228  48  12.8131 N  62  32.9924 W   5.0        7.7       12.5      108.8      475.9 
120731  122229  48  12.8131 N  62  32.9907 W   4.9        7.7       12.5      108.8      475.9 
120731  122230  48  12.8130 N  62  32.9891 W   4.7        7.7       12.5      108.8      475.9 
120731  122231  48  12.8130 N  62  32.9875 W   4.6        7.7       12.5      108.8      475.9 
120731  122232  48  12.8129 N  62  32.9859 W   4.5        7.7       12.5      108.8      475.9 
