FileName: C:\TRAWLS~3\GP187F
Local Time: Fri Jul 13 20:34:55 2012

Ship: July 13, 2012 Trip: GP187F Tow: tow 13
Comments: Zone 12 ouest des iles de la madeleine
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
120713  233457  47  37.3521 N  62  28.9802 W   7.0        5.8*       3.3*      84.3*     287.2*
120713  233458  47  37.3518 N  62  28.9832 W   7.1        5.8        3.3       84.3      287.2 
120713  233459  47  37.3515 N  62  28.9862 W   7.1        5.8        3.3       84.3      287.2 
120713  233500  47  37.3512 N  62  28.9891 W   7.1        5.8        3.3       84.3      287.2 
120713  233501  47  37.3509 N  62  28.9919 W   7.1        5.8        3.3       84.3      287.2 
120713  233502  47  37.3507 N  62  28.9949 W   7.1        5.8        3.3       84.3      287.2 
120713  233503  47  37.3504 N  62  28.9976 W   7.0        5.8        3.3       84.3      287.2 
120713  233504  47  37.3501 N  62  29.0003 W   6.9        5.8        3.3       84.3      287.2 
120713  233505  47  37.3499 N  62  29.0028 W   6.8        5.8        3.3       84.3      287.2 
120713  233506  47  37.3496 N  62  29.0054 W   6.7        5.8        3.3       84.3      287.2 
120713  233507  47  37.3493 N  62  29.0079 W   6.6        5.8        3.3       84.3      287.2 
120713  233508  47  37.3491 N  62  29.0103 W   6.5        5.8        3.3       84.3      287.2 
120713  233509  47  37.3488 N  62  29.0127 W   6.4        5.8        3.3       84.3      287.2 
120713  233510  47  37.3486 N  62  29.0149 W   6.3        5.8        3.3       84.3      287.2 
120713  233511  47  37.3483 N  62  29.0171 W   6.1        5.8        3.3       84.3      287.2 
120713  233512  47  37.3481 N  62  29.0192 W   6.0        5.8        3.3       84.3      287.2 
120713  233513  47  37.3480 N  62  29.0212 W   5.8        5.8        3.3       84.3      287.2 
120713  233514  47  37.3477 N  62  29.0231 W   5.6        5.8        3.3       84.3      287.2 
120713  233515  47  37.3475 N  62  29.0250 W   5.4        5.8        3.3       84.3      287.2 
120713  233516  47  37.3473 N  62  29.0268 W   5.3        5.8        3.3       84.3      287.2 
120713  233517  47  37.3471 N  62  29.0286 W   5.1        5.8        3.3       84.3      287.2 
120713  233518  47  37.3469 N  62  29.0303 W   5.0        5.8        3.3       84.3      287.2 
120713  233519  47  37.3467 N  62  29.0320 W   4.9        5.8        3.3       84.3      287.2 
120713  233520  47  37.3465 N  62  29.0337 W   4.7        5.8        3.3       84.3      287.2 
120713  233521  47  37.3464 N  62  29.0353 W   4.6        5.8        3.3       84.3      287.2 
120713  233522  47  37.3462 N  62  29.0369 W   4.5        5.8        3.3       84.3      287.2 
120713  233523  47  37.3460 N  62  29.0385 W   4.4        5.8        3.3       84.3      287.2 
120713  233524  47  37.3458 N  62  29.0401 W   4.3        5.8        3.3       84.3      287.2 
120713  233525  47  37.3456 N  62  29.0416 W   4.2        5.8        3.3       84.3      287.2 
120713  233526  47  37.3454 N  62  29.0430 W   4.1        5.8        3.3       84.3      287.2 
120713  233527  47  37.3453 N  62  29.0445 W   4.1        5.8        3.3       84.3      287.2 
120713  233528  47  37.3452 N  62  29.0460 W   4.0        5.8        3.3        2.6*     287.2 
120713  233529  47  37.3451 N  62  29.0473 W   3.9        5.8        3.3        2.6      287.2 
120713  233530  47  37.3449 N  62  29.0487 W   3.8        5.8        3.3        2.6      287.2 
120713  233531  47  37.3448 N  62  29.0501 W   3.7        5.8        3.3        2.6      287.2 
120713  233532  47  37.3446 N  62  29.0514 W   3.7        5.8        3.3        2.6      287.2 
120713  233533  47  37.3445 N  62  29.0527 W   3.6        5.8        3.3        2.9*     287.2 
120713  233534  47  37.3444 N  62  29.0540 W   3.5        5.8        3.3        2.9      287.2 
120713  233535  47  37.3443 N  62  29.0553 W   3.5        5.8        3.3        2.9      287.2 
120713  233536  47  37.3442 N  62  29.0565 W   3.4        5.8        3.3        2.9      287.2 
120713  233537  47  37.3440 N  62  29.0578 W   3.4        5.8        3.3        2.9      287.2 
120713  233538  47  37.3438 N  62  29.0590 W   3.4        5.8        3.3        2.9      287.2 
120713  233539  47  37.3436 N  62  29.0602 W   3.3        5.8        3.3        2.9      287.2 
120713  233540  47  37.3435 N  62  29.0615 W   3.4        5.8        3.3        2.9      287.2 
120713  233541  47  37.3433 N  62  29.0631 W   3.4        5.8        3.3        2.9      287.2 
120713  233542  47  37.3432 N  62  29.0646 W   3.5        5.8        3.3        2.9      287.2 
120713  233543  47  37.3430 N  62  29.0662 W   3.6        5.8        3.3        2.9      287.2 
120713  233544  47  37.3428 N  62  29.0681 W   3.8        5.8        3.3        2.9      287.2 
120713  233545  47  37.3425 N  62  29.0701 W   3.9        5.8        3.3        2.9      287.2 
120713  233546  47  37.3424 N  62  29.0721 W   4.1        5.8        3.3        2.9      287.2 
120713  233547  47  37.3422 N  62  29.0742 W   4.3        5.8        3.3        2.9      287.2 
120713  233548  47  37.3420 N  62  29.0764 W   4.5        5.8        3.3        2.9      287.2 
120713  233549  47  37.3418 N  62  29.0787 W   4.7        5.8        3.3        2.9      287.2 
120713  233550  47  37.3416 N  62  29.0811 W   4.9        5.8        3.3        2.9      287.2 
120713  233551  47  37.3413 N  62  29.0834 W   5.0        5.8        3.3        2.9      287.2 
120713  233552  47  37.3410 N  62  29.0859 W   5.2        5.8        3.3        2.9      287.2 
120713  233553  47  37.3408 N  62  29.0885 W   5.4        5.8        3.3        2.9      287.2 
120713  233554  47  37.3405 N  62  29.0910 W   5.5        5.8        3.3        2.9      287.2 
120713  233555  47  37.3402 N  62  29.0937 W   5.7        5.8        3.3        2.9      287.2 
120713  233556  47  37.3399 N  62  29.0962 W   5.8        5.8        3.3        2.9      287.2 
120713  233557  47  37.3396 N  62  29.0989 W   5.9        5.8        3.3        2.9      287.2 
120713  233558  47  37.3393 N  62  29.1017 W   6.1        5.8        3.3        2.9      287.2 
120713  233559  47  37.3391 N  62  29.1045 W   6.2        5.8        3.3        2.9      287.2 
120713  233600  47  37.3388 N  62  29.1073 W   6.3        5.8        3.3        2.9      287.2 
120713  233601  47  37.3385 N  62  29.1101 W   6.4        5.8        3.3        2.9      287.2 
120713  233602  47  37.3382 N  62  29.1129 W   6.4        5.8        3.3        2.9      287.2 
120713  233603  47  37.3379 N  62  29.1157 W   6.5        5.8        3.3        2.9      287.2 
120713  233604  47  37.3376 N  62  29.1184 W   6.6        5.8        3.3        2.9      287.2 
120713  233605  47  37.3373 N  62  29.1213 W   6.6        5.8        3.3        2.9      287.2 
120713  233606  47  37.3370 N  62  29.1240 W   6.6        5.8        3.3        2.9      287.2 
120713  233607  47  37.3367 N  62  29.1267 W   6.7        5.8        3.3        2.9      287.2 
120713  233608  47  37.3364 N  62  29.1296 W   6.7        5.8        3.3        2.9      287.2 
120713  233609  47  37.3361 N  62  29.1325 W   6.8        5.8        3.3        2.9      287.2 
120713  233610  47  37.3359 N  62  29.1354 W   6.8        5.8        3.3        2.9      287.2 
120713  233611  47  37.3356 N  62  29.1382 W   6.8        5.8        3.3        2.9      287.2 
120713  233612  47  37.3353 N  62  29.1410 W   6.8        5.8        3.3        2.9      287.2 
120713  233613  47  37.3351 N  62  29.1439 W   6.8        5.8        3.3        2.9      287.2 
120713  233614  47  37.3348 N  62  29.1467 W   6.8        5.8        3.3        2.9      287.2 
120713  233615  47  37.3345 N  62  29.1495 W   6.8        5.8        3.3        2.9      287.2 
120713  233616  47  37.3342 N  62  29.1524 W   6.8        5.8        3.3        2.9      287.2 
120713  233617  47  37.3340 N  62  29.1552 W   6.9        5.8        3.3        2.9      287.2 
120713  233618  47  37.3338 N  62  29.1579 W   6.8        5.8        3.3        2.9      287.2 
120713  233619  47  37.3335 N  62  29.1607 W   6.8        5.8        3.3        2.9      287.2 
120713  233620  47  37.3333 N  62  29.1636 W   6.8        5.8        3.3        2.9      287.2 
120713  233621  47  37.3330 N  62  29.1664 W   6.8        5.8        3.3        2.9      287.2 
120713  233622  47  37.3327 N  62  29.1691 W   6.8        5.8        3.3        2.9      287.2 
120713  233623  47  37.3324 N  62  29.1720 W   6.8        5.8        3.3        2.9      287.2 
120713  233624  47  37.3322 N  62  29.1748 W   6.8        5.8        3.3        2.9      287.2 
120713  233625  47  37.3319 N  62  29.1775 W   6.8        5.8        3.3        2.9      287.2 
120713  233626  47  37.3317 N  62  29.1803 W   6.8        5.8        3.3        2.9      287.2 
120713  233627  47  37.3314 N  62  29.1829 W   6.8        5.8        3.3        2.9      287.2 
120713  233628  47  37.3312 N  62  29.1857 W   6.8        5.8        3.3        2.9      287.2 
