FileName: C:\TRAWLS~3\GP206F
Local Time: Thu Jul 19 16:10:20 2012

Ship: July 19, 2012 Trip: GP206F Tow: tow 7
Comments: Zone 12 east point pei
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
120719  191017  46  38.2136 N  62  16.0106 W   6.6       12.9*      11.7*      56.1*     475.5*
120719  191018  46  38.2148 N  62  16.0083 W   6.6       12.9       11.7       56.1      475.5 
120719  191019  46  38.2162 N  62  16.0061 W   6.8       12.9       11.7       56.1      475.5 
120719  191020  46  38.2176 N  62  16.0040 W   6.8       12.9       11.7       56.1      475.5 
120719  191021  46  38.2190 N  62  16.0018 W   6.9       12.9       11.7       56.1      475.5 
120719  191022  46  38.2203 N  62  15.9995 W   6.9       12.9       11.7       56.1      475.5 
120719  191023  46  38.2216 N  62  15.9972 W   7.0       12.9       11.7       56.1      475.5 
120719  191024  46  38.2228 N  62  15.9952 W   6.9       12.9       11.7       56.1      475.5 
120719  191025  46  38.2241 N  62  15.9933 W   6.9       12.9       11.7       56.1      475.5 
120719  191026  46  38.2256 N  62  15.9915 W   6.8       12.9       11.7       56.1      475.5 
120719  191027  46  38.2267 N  62  15.9896 W   6.7       12.9       11.7       56.1      475.5 
120719  191028  46  38.2278 N  62  15.9875 W   6.7       12.9       11.7       56.1      475.5 
120719  191029  46  38.2288 N  62  15.9856 W   6.5       12.9       11.7       56.1      475.5 
120719  191030  46  38.2299 N  62  15.9840 W   6.4       12.9       11.7       56.1      475.5 
120719  191031  46  38.2309 N  62  15.9825 W   6.2       12.9       11.7       56.1      475.5 
120719  191032  46  38.2319 N  62  15.9810 W   6.0       12.9       11.7       56.1      475.5 
120719  191033  46  38.2328 N  62  15.9796 W   5.8       12.9       11.7       56.1      475.5 
120719  191034  46  38.2335 N  62  15.9781 W   5.6       12.9       11.7       56.1      475.5 
120719  191035  46  38.2343 N  62  15.9766 W   5.4       12.9       11.7       56.1      475.5 
120719  191036  46  38.2351 N  62  15.9752 W   5.3       12.9       11.7        5.7*     475.5 
120719  191037  46  38.2358 N  62  15.9739 W   5.1       12.9       11.7        5.7      475.5 
120719  191038  46  38.2366 N  62  15.9727 W   5.0       12.9       11.7        5.7      475.5 
120719  191039  46  38.2374 N  62  15.9714 W   4.8       12.9       11.7        5.7      475.5 
120719  191040  46  38.2382 N  62  15.9701 W   4.7       12.9       10.9*       5.7      475.5 
120719  191041  46  38.2389 N  62  15.9686 W   4.7       12.9       10.9        5.7      475.5 
120719  191042  46  38.2396 N  62  15.9672 W   4.6       12.9       10.9        1.8*     475.5 
120719  191043  46  38.2403 N  62  15.9660 W   4.5       12.9       10.9        1.8      475.5 
120719  191044  46  38.2411 N  62  15.9649 W   4.3       12.9       10.9        1.8      475.5 
120719  191045  46  38.2418 N  62  15.9637 W   4.3       12.9       10.9        1.8      475.5 
120719  191046  46  38.2424 N  62  15.9624 W   4.2       12.9       10.9        1.8      475.5 
120719  191047  46  38.2430 N  62  15.9611 W   4.2       12.9       10.9        1.8      475.5 
120719  191048  46  38.2436 N  62  15.9600 W   4.1       12.9       10.9        1.8      475.5 
120719  191049  46  38.2442 N  62  15.9589 W   4.0       12.9       10.9        1.8      475.5 
120719  191050  46  38.2448 N  62  15.9580 W   3.9       12.9       10.9        1.8      475.5 
120719  191051  46  38.2455 N  62  15.9568 W   3.8       12.9       10.9        1.8      475.5 
120719  191052  46  38.2459 N  62  15.9557 W   3.8       12.9       11.1*       1.8      475.5 
120719  191053  46  38.2464 N  62  15.9546 W   3.7       12.9       11.1        1.8        0.0*
120719  191054  46  38.2469 N  62  15.9535 W   3.6       12.9       11.1        1.8        0.0 
120719  191055  46  38.2475 N  62  15.9526 W   3.6       12.9       11.1        1.8        0.0 
120719  191056  46  38.2481 N  62  15.9517 W   3.5       12.9       11.1        1.8        0.0 
120719  191057  46  38.2488 N  62  15.9505 W   3.6       12.9       11.1        1.8        0.0 
120719  191058  46  38.2494 N  62  15.9492 W   3.6       12.9       11.1        1.8        0.0 
120719  191059  46  38.2500 N  62  15.9480 W   3.6       12.9       11.1        1.8        0.0 
120719  191100  46  38.2507 N  62  15.9468 W   3.7       12.9       11.1        1.8        0.0 
120719  191101  46  38.2516 N  62  15.9455 W   3.9       12.9       11.1        1.8        0.0 
120719  191102  46  38.2526 N  62  15.9441 W   4.0       12.9       11.1        1.8        0.0 
120719  191103  46  38.2535 N  62  15.9428 W   4.1       12.9       11.1        1.8        0.0 
120719  191104  46  38.2545 N  62  15.9412 W   4.3       12.9       11.1        1.8        0.0 
120719  191105  46  38.2556 N  62  15.9393 W   4.6       12.9       11.1        1.8        0.0 
120719  191106  46  38.2567 N  62  15.9378 W   4.7       12.9       11.1        1.8        0.0 
120719  191107  46  38.2577 N  62  15.9364 W   4.8       12.9       11.1       10.7*       0.0 
120719  191108  46  38.2590 N  62  15.9348 W   5.0       12.9       11.1       10.7        0.0 
120719  191109  46  38.2602 N  62  15.9331 W   5.2       12.9       11.1       10.7        0.0 
120719  191110  46  38.2615 N  62  15.9315 W   5.3       12.9       11.1       10.7        0.0 
120719  191111  46  38.2626 N  62  15.9297 W   5.5       12.9       11.1       10.7        0.0 
120719  191112  46  38.2639 N  62  15.9278 W   5.6       12.9       11.1       10.7        0.0 
120719  191113  46  38.2653 N  62  15.9261 W   5.7       12.9       11.1       43.4*       0.0 
120719  191114  46  38.2667 N  62  15.9246 W   5.8       12.9       11.1       43.4        0.0 
120719  191115  46  38.2681 N  62  15.9229 W   6.0       12.9       11.1       43.4        0.0 
120719  191116  46  38.2695 N  62  15.9209 W   6.1       12.9       11.1       43.4        0.0 
120719  191117  46  38.2709 N  62  15.9190 W   6.2       12.9       11.1       43.4        0.0 
120719  191118  46  38.2722 N  62  15.9174 W   6.3       12.9       11.1       43.4        0.0 
120719  191119  46  38.2736 N  62  15.9157 W   6.3       12.9       11.1       50.8*       0.0 
120719  191120  46  38.2751 N  62  15.9140 W   6.4       12.9       11.1       50.8        0.0 
120719  191121  46  38.2765 N  62  15.9123 W   6.5       12.9       11.1       50.8        0.0 
120719  191122  46  38.2779 N  62  15.9107 W   6.5       12.9       11.1       50.8        0.0 
120719  191123  46  38.2794 N  62  15.9090 W   6.5       12.9       11.1       50.8        0.0 
120719  191124  46  38.2810 N  62  15.9073 W   6.6       12.9       11.1       50.8        0.0 
120719  191125  46  38.2826 N  62  15.9055 W   6.7       12.9       11.1       50.8        0.0 
120719  191126  46  38.2841 N  62  15.9038 W   6.7       12.9       11.1       50.8        0.0 
120719  191127  46  38.2857 N  62  15.9022 W   6.7       12.9       11.1       50.8        0.0 
120719  191128  46  38.2874 N  62  15.9007 W   6.8       12.9       11.1       50.8        0.0 
120719  191129  46  38.2890 N  62  15.8991 W   6.8       12.9       11.1       50.8        4.8*
120719  191130  46  38.2905 N  62  15.8975 W   6.8       12.9       11.1       50.8        4.8 
120719  191131  46  38.2920 N  62  15.8958 W   6.8       12.9       11.1       50.8        4.8 
120719  191132  46  38.2938 N  62  15.8942 W   6.9       12.9       11.1       50.8        4.8 
120719  191133  46  38.2955 N  62  15.8928 W   6.9       12.9       11.1       50.8        4.8 
120719  191134  46  38.2971 N  62  15.8911 W   6.9       12.9       11.1       50.8        5.3*
120719  191135  46  38.2987 N  62  15.8894 W   6.9       12.9       11.1       50.8        5.3 
120719  191136  46  38.3003 N  62  15.8879 W   6.9       12.9       11.1       50.8        5.3 
120719  191137  46  38.3019 N  62  15.8865 W   6.8       12.9       11.1       50.8        5.3 
120719  191138  46  38.3036 N  62  15.8848 W   6.9       12.9       11.1       50.8        5.3 
120719  191139  46  38.3052 N  62  15.8831 W   6.9       12.9       11.1       50.8        5.3 
120719  191140  46  38.3068 N  62  15.8815 W   6.9       12.9       11.1       50.8       44.9*
120719  191141  46  38.3084 N  62  15.8801 W   6.8       12.9       11.1       50.8       44.9 
120719  191142  46  38.3101 N  62  15.8787 W   6.9       12.9       11.1       50.8       44.9 
120719  191143  46  38.3118 N  62  15.8772 W   6.9       12.9       11.1       50.8       44.9 
120719  191144  46  38.3134 N  62  15.8756 W   6.9       12.9       11.1       50.8       44.9 
120719  191145  46  38.3150 N  62  15.8740 W   6.9       12.9       11.1       50.8       44.9 
120719  191146  46  38.3166 N  62  15.8725 W   6.9       12.9        3.5*      50.8       44.9 
120719  191147  46  38.3183 N  62  15.8711 W   6.9       12.9        3.5       50.8       44.9 
120719  191148  46  38.3199 N  62  15.8696 W   6.8       12.9        3.5       50.8       44.9 
120719  191149  46  38.3216 N  62  15.8681 W   6.9       12.9        3.5       50.8       44.9 
120719  191150  46  38.3233 N  62  15.8664 W   6.9       12.9        3.5       50.8       16.3*
120719  191151  46  38.3249 N  62  15.8648 W   6.9       12.9        3.5       50.8       16.3 
120719  191152  46  38.3266 N  62  15.8634 W   6.9       12.9        3.5       50.8       16.3 
120719  191153  46  38.3282 N  62  15.8620 W   6.9       12.9        3.5       50.8       16.3 
120719  191154  46  38.3299 N  62  15.8605 W   6.9       12.9        3.5       50.8       16.3 
120719  191155  46  38.3315 N  62  15.8589 W   6.9       12.9        3.5       50.8       16.3 
120719  191156  46  38.3332 N  62  15.8573 W   7.0       12.9        3.5       50.8       16.3 
120719  191157  46  38.3347 N  62  15.8557 W   7.0       12.9        3.5       50.8       16.3 
120719  191158  46  38.3363 N  62  15.8542 W   7.0       12.9        3.5       50.8       16.3 
120719  191159  46  38.3379 N  62  15.8528 W   6.9       12.9        3.5       50.8       16.3 
120719  191200  46  38.3395 N  62  15.8513 W   6.9       12.9        3.5       50.8       16.3 
120719  191201  46  38.3412 N  62  15.8498 W   7.0       12.9        3.5       50.8       20.2*
120719  191202  46  38.3428 N  62  15.8482 W   7.0       12.9        3.5       50.8       20.2 
120719  191203  46  38.3444 N  62  15.8466 W   7.0       12.9        3.5       50.8       20.2 
120719  191204  46  38.3460 N  62  15.8449 W   7.0       12.9        3.5       50.8       20.2 
120719  191205  46  38.3477 N  62  15.8434 W   7.0       12.9        3.5       50.8       20.2 
120719  191206  46  38.3493 N  62  15.8422 W   6.9       12.9        3.5       50.8       20.2 
120719  191207  46  38.3509 N  62  15.8408 W   6.9       12.9        3.5       50.8       20.2 
120719  191208  46  38.3526 N  62  15.8392 W   7.0       12.9        3.5       50.8       20.2 
120719  191209  46  38.3542 N  62  15.8377 W   7.0        7.1*       3.5       50.8       20.2 
120719  191210  46  38.3558 N  62  15.8361 W   6.9        7.1        3.5       50.8       20.2 
120719  191211  46  38.3574 N  62  15.8346 W   6.9        7.1        3.5       50.8       20.2 
120719  191212  46  38.3591 N  62  15.8332 W   6.9        7.1        3.5       50.8       20.2 
