FileName: C:\TRAWLS~3\GP215A1
Local Time: Tue Jul 31 15:42:20 2012

Ship: July 31, 2012 Trip: GP215A1 Tow: tow 9
Comments: Zone 12 entre banc orphelin et grenades sous marine 
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
120731  184222  48  11.7183 N  62  14.4695 W   6.4       13.5*       7.0*      12.7*     283.3*
120731  184223  48  11.7195 N  62  14.4718 W   6.5       13.5        7.0       12.7      283.3 
120731  184224  48  11.7207 N  62  14.4741 W   6.6       13.5        7.0       12.7      283.3 
120731  184225  48  11.7219 N  62  14.4765 W   6.7       13.5        7.0       12.7      283.3 
120731  184226  48  11.7231 N  62  14.4790 W   6.8       13.5        7.0       12.7      283.3 
120731  184227  48  11.7243 N  62  14.4814 W   6.9       13.5        7.0       12.7      283.3 
120731  184228  48  11.7256 N  62  14.4839 W   7.0       13.5        7.0       12.7      283.3 
120731  184229  48  11.7268 N  62  14.4864 W   7.1       13.5        7.0       12.7      283.3 
120731  184230  48  11.7280 N  62  14.4888 W   7.1       13.5        7.0       12.7      283.3 
120731  184231  48  11.7293 N  62  14.4914 W   7.2       13.5        7.0       12.7      283.3 
120731  184232  48  11.7306 N  62  14.4939 W   7.3       13.5        7.0       12.7      283.3 
120731  184233  48  11.7319 N  62  14.4964 W   7.3       13.5        7.0       12.7      283.3 
120731  184234  48  11.7331 N  62  14.4989 W   7.4       13.5        7.0       12.7      283.3 
120731  184235  48  11.7343 N  62  14.5015 W   7.4       13.5        7.0       12.7      283.3 
120731  184236  48  11.7355 N  62  14.5040 W   7.4       13.5        7.0       12.7      283.3 
120731  184237  48  11.7366 N  62  14.5063 W   7.3       13.5        7.0       12.7      283.3 
120731  184238  48  11.7377 N  62  14.5085 W   7.2       13.5        7.0       12.7      283.3 
120731  184239  48  11.7387 N  62  14.5107 W   7.0       13.5        7.0       12.7      283.3 
120731  184240  48  11.7397 N  62  14.5127 W   6.9       13.5        7.0       12.7      283.3 
120731  184241  48  11.7407 N  62  14.5146 W   6.7       13.5        7.0       12.7      283.3 
120731  184242  48  11.7416 N  62  14.5164 W   6.5       13.5        7.0       12.7      283.3 
120731  184243  48  11.7425 N  62  14.5181 W   6.3       13.5        7.0       12.7      283.3 
120731  184244  48  11.7434 N  62  14.5198 W   6.1       13.5        7.0       12.7      283.3 
120731  184245  48  11.7442 N  62  14.5214 W   5.9       13.5        7.0       12.7      283.3 
120731  184246  48  11.7449 N  62  14.5229 W   5.7       13.5        7.0       12.7      283.3 
120731  184247  48  11.7457 N  62  14.5244 W   5.5       13.5        7.0       12.7      283.3 
120731  184248  48  11.7464 N  62  14.5258 W   5.3       13.5        7.0       12.7      283.3 
120731  184249  48  11.7471 N  62  14.5271 W   5.1       13.5        7.0       12.7      283.3 
120731  184250  48  11.7478 N  62  14.5283 W   4.9       13.5        7.0       12.7      283.3 
120731  184251  48  11.7485 N  62  14.5295 W   4.7       13.5        7.0       12.7      283.3 
120731  184252  48  11.7491 N  62  14.5307 W   4.5       13.5        7.0       12.7      283.3 
120731  184253  48  11.7497 N  62  14.5318 W   4.4       13.5        7.0       12.7      283.3 
