FileName: C:\TRAWLS~3\GP248F
Local Time: Sat Sep 08 13:47:46 2012

Ship: September 08, 2012 Trip: GP248F Tow: tow 7
Comments: Zone 12 zone 18
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread      Depth 
120908  164748  46  32.0549 N  61  47.3890 W   5.3        5.5*       9.4*       6.3*    1268.0*
120908  164749  46  32.0565 N  61  47.3879 W   5.4        5.5        9.4        6.3     1268.0 
120908  164750  46  32.0580 N  61  47.3869 W   5.5        5.5        9.4        6.3     1268.0 
120908  164751  46  32.0595 N  61  47.3858 W   5.6        5.5        9.4        6.3     1268.0 
120908  164752  46  32.0611 N  61  47.3847 W   5.7        5.5        9.4        6.3     1268.0 
120908  164753  46  32.0626 N  61  47.3836 W   5.7        5.5        9.4        6.3     1268.0 
120908  164754  46  32.0641 N  61  47.3825 W   5.8        5.5        9.4        6.3     1268.0 
120908  164755  46  32.0656 N  61  47.3814 W   5.8        5.5        9.4        6.3     1268.0 
120908  164756  46  32.0672 N  61  47.3804 W   5.8        5.5        9.4        6.3     1268.0 
120908  164757  46  32.0686 N  61  47.3794 W   5.8        5.5        9.4        6.3     1268.0 
120908  164758  46  32.0700 N  61  47.3784 W   5.8        5.5        9.4        6.3     1268.0 
120908  164759  46  32.0714 N  61  47.3774 W   5.7        5.5        9.4        6.3     1268.0 
120908  164800  46  32.0727 N  61  47.3764 W   5.7        5.5        9.4        6.3     1268.0 
120908  164801  46  32.0741 N  61  47.3755 W   5.6        5.5        9.4        6.3     1268.0 
120908  164802  46  32.0753 N  61  47.3746 W   5.5        5.5        9.4        6.3     1268.0 
120908  164803  46  32.0765 N  61  47.3737 W   5.3        5.5        9.4        6.3     1268.0 
120908  164804  46  32.0776 N  61  47.3729 W   5.2        5.5        9.4        6.3     1268.0 
120908  164805  46  32.0787 N  61  47.3721 W   5.0        5.5        9.4        6.3     1268.0 
120908  164806  46  32.0797 N  61  47.3713 W   4.8        5.5        9.4        6.3     1268.0 
120908  164807  46  32.0807 N  61  47.3706 W   4.7        5.5        9.4        6.3     1268.0 
120908  164808  46  32.0816 N  61  47.3700 W   4.5        5.5        9.4        6.3     1268.0 
120908  164809  46  32.0825 N  61  47.3693 W   4.4        5.5        9.4        6.3     1268.0 
120908  164810  46  32.0833 N  61  47.3687 W   4.2        5.5        9.4        6.3     1268.0 
120908  164811  46  32.0841 N  61  47.3681 W   4.1        5.5        9.4        6.3     1268.0 
120908  164812  46  32.0850 N  61  47.3674 W   4.0        5.5        9.4        6.3     1268.0 
120908  164813  46  32.0858 N  61  47.3669 W   3.8        5.5        9.4        9.2*    1268.0 
120908  164814  46  32.0865 N  61  47.3663 W   3.7        5.5        9.4        9.2     1268.0 
120908  164815  46  32.0872 N  61  47.3658 W   3.6        5.5        9.4        9.2     1268.0 
120908  164816  46  32.0880 N  61  47.3652 W   3.5        5.5        9.4        9.2     1268.0 
120908  164817  46  32.0887 N  61  47.3648 W   3.5        5.5        9.4        9.2     1268.0 
120908  164818  46  32.0894 N  61  47.3643 W   3.3        5.5        9.4        9.2     1268.0 
120908  164819  46  32.0901 N  61  47.3638 W   3.3        5.5        9.4        9.2     1268.0 
120908  164820  46  32.0908 N  61  47.3633 W   3.2        5.5        9.4        9.2     1268.0 
120908  164821  46  32.0915 N  61  47.3628 W   3.1        5.5        9.4        9.2     1268.0 
120908  164822  46  32.0922 N  61  47.3623 W   3.1        5.5        9.4        9.2     1268.0 
120908  164823  46  32.0929 N  61  47.3617 W   3.0        5.5       10.6*       9.2     1268.0 
120908  164824  46  32.0935 N  61  47.3612 W   2.9        5.5       10.6        2.2*    1268.0 
120908  164825  46  32.0941 N  61  47.3608 W   2.9        5.5       10.6        2.2     1268.0 
120908  164826  46  32.0947 N  61  47.3602 W   2.8        5.5       10.6        2.2     1268.0 
120908  164827  46  32.0953 N  61  47.3598 W   2.7        5.5       10.6        2.2     1268.0 
120908  164828  46  32.0959 N  61  47.3593 W   2.7        5.5       10.6        2.2     1268.0 
120908  164829  46  32.0964 N  61  47.3588 W   2.6        5.5       10.6        1.1*    1268.0 
120908  164830  46  32.0970 N  61  47.3583 W   2.6        5.5        9.1*       1.1     1268.0 
120908  164831  46  32.0976 N  61  47.3579 W   2.5        5.5        9.1        1.1     1268.0 
120908  164832  46  32.0982 N  61  47.3574 W   2.5        5.5        9.1        1.1     1268.0 
120908  164833  46  32.0988 N  61  47.3569 W   2.5        5.5        9.1        1.1     1268.0 
120908  164834  46  32.0993 N  61  47.3565 W   2.4        5.5        9.1        2.9*    1268.0 
120908  164835  46  32.0998 N  61  47.3560 W   2.4        5.5        9.1        2.9     1268.0 
120908  164836  46  32.1004 N  61  47.3555 W   2.4        5.5        9.1        2.9     1268.0 
120908  164837  46  32.1009 N  61  47.3551 W   2.3        5.5        9.1        2.9     1268.0 
120908  164838  46  32.1015 N  61  47.3547 W   2.3        5.5        9.1        2.9     1268.0 
120908  164839  46  32.1020 N  61  47.3542 W   2.3        5.5        9.1        5.6*    1268.0 
120908  164840  46  32.1025 N  61  47.3538 W   2.3        5.5        9.1        5.6     1268.0 
