#B	Created:	28.07.2024 15:09:07
##	Version	SeaStar	9.05
#5	Field separation:	0
#2	Date & Time:	1
#6	Decimal point:	,
#7	Date def.:	dd.mm.yyyy	.
#8	Time def.:	:
##	Axis	0	Temperature(°C)	clRed	FALSE
##	Axis	1	Pressure(Bar)	clBlue	FALSE
##	Axis	2	Angle(°)	clGreen	FALSE
##	Axis	3	EAL	clSkyBlue	FALSE
##	Axis	4	Roll(°)	$00404080	FALSE
##	Series	0	Temp(°C)	clRed	0	Temp(°C)	2
##	Series	1	Press(Bar)	clBlue	1	Press(Bar)	2
##	Series	2	Tilt-X(°)	clGreen	2	Tilt-X(°)	1
##	Series	3	Tilt-Y(°)	$00404080	2	Tilt-Y(°)	1
##	Series	4	Tilt-Z(°)	$00FF0080	2	Tilt-Z(°)	1
##	Series	5	EAL	clSkyBlue	3	EAL	0
##	Series	6	Roll(°)	$00404080	4	Roll(°)	1
##	Recorder	132	DST tilt	1240
##	Chart	132H1240DAT	
#D	Data:	4467	28.07.2024 13:53:00	28.07.2024 15:07:26
1	28.07.2024 13:53:00,000	23,10	0,15	58,3	-24,7	7,0	0	-73,6
2	28.07.2024 13:53:01,000	23,10	0,18	60,0	-23,1	7,0	0	-72,8
3	28.07.2024 13:53:02,000	23,10	0,15	58,4	-24,3	7,3	0	-72,8
4	28.07.2024 13:53:03,000	23,10	0,15	58,3	-25,1	6,6	1	-74,8
5	28.07.2024 13:53:04,000	23,10	0,15	60,1	-24,2	5,7	0	-76,4
6	28.07.2024 13:53:05,000	23,10	0,15	59,3	-23,5	7,2	0	-72,6
7	28.07.2024 13:53:06,000	23,10	0,18	56,5	-27,2	6,4	0	-76,3
8	28.07.2024 13:53:07,000	23,10	0,15	59,4	-24,1	6,5	0	-74,6
9	28.07.2024 13:53:08,000	23,07	0,18	58,6	-25,0	6,4	0	-75,2
10	28.07.2024 13:53:09,000	23,07	0,15	59,2	-23,8	7,0	0	-73,1
11	28.07.2024 13:53:10,000	23,07	0,15	58,8	-24,6	6,6	0	-74,5
12	28.07.2024 13:53:11,000	23,07	0,15	59,0	-24,3	6,7	0	-74,0
13	28.07.2024 13:53:12,000	23,07	0,15	59,2	-23,9	6,8	0	-73,6
14	28.07.2024 13:53:13,000	23,07	0,15	58,8	-24,4	6,8	0	-73,9
15	28.07.2024 13:53:14,000	23,07	0,15	58,7	-24,6	6,7	1	-74,3
16	28.07.2024 13:53:15,000	23,07	0,18	64,2	-20,8	5,0	0	-74,3
17	28.07.2024 13:53:16,000	23,07	0,18	57,6	-25,7	6,7	0	-74,9
18	28.07.2024 13:53:17,000	23,07	0,18	56,5	-27,2	6,3	0	-76,4
19	28.07.2024 13:53:18,000	23,07	0,15	60,8	-23,3	5,9	0	-75,3
20	28.07.2024 13:53:19,000	23,07	0,18	59,4	-22,9	7,7	0	-71,0
21	28.07.2024 13:53:20,000	23,07	0,18	59,3	-23,3	7,4	0	-71,8
22	28.07.2024 13:53:21,000	23,07	0,18	63,3	-21,3	5,4	0	-71,8
23	28.07.2024 13:53:22,000	23,07	0,18	57,8	-25,3	6,9	0	-74,2
24	28.07.2024 13:53:23,000	23,07	0,18	60,2	-23,6	6,2	0	-74,9
25	28.07.2024 13:53:24,000	23,07	0,15	58,7	-24,1	7,2	0	-72,9
26	28.07.2024 13:53:25,000	23,07	0,15	60,7	-23,6	5,7	0	-76,0
27	28.07.2024 13:53:26,000	23,05	0,18	58,6	-23,3	8,1	0	-70,2
28	28.07.2024 13:53:27,000	23,05	0,15	77,8	-12,1	-0,1	0	-70,2
29	28.07.2024 13:53:28,000	23,05	0,15	58,9	-23,1	8,0	0	-70,4
30	28.07.2024 13:53:29,000	23,05	0,15	58,2	-24,7	7,2	0	-73,3
31	28.07.2024 13:53:30,000	23,05	0,18	61,6	-23,3	5,1	0	-77,4
32	28.07.2024 13:53:31,000	23,05	0,18	58,8	-23,9	7,2	0	-72,7
33	28.07.2024 13:53:32,000	23,05	0,18	58,7	-23,4	7,9	0	-71,0
34	28.07.2024 13:53:33,000	23,05	0,15	63,1	-19,2	7,7	0	-71,0
35	28.07.2024 13:53:34,000	23,05	0,15	59,4	-23,6	7,0	0	-72,9
36	28.07.2024 13:53:35,000	23,05	0,15	60,9	-23,1	6,1	0	-74,8
37	28.07.2024 13:53:36,000	23,05	0,18	58,6	-24,3	7,2	1	-73,0
38	28.07.2024 13:53:37,000	23,05	0,15	68,9	-18,7	-2,4	0	-73,0
39	28.07.2024 13:53:38,000	23,05	0,18	64,3	-13,1	12,6	1	-73,0
40	28.07.2024 13:53:39,000	23,05	0,15	60,1	-22,7	7,2	0	-72,0
41	28.07.2024 13:53:40,000	23,05	0,15	62,3	-22,3	5,3	0	-72,0
42	28.07.2024 13:53:41,000	23,05	0,15	57,4	-23,3	9,3	0	-67,7
43	28.07.2024 13:53:42,000	23,02	0,15	61,9	-22,1	6,0	0	-67,7
44	28.07.2024 13:53:43,000	23,02	0,18	58,5	-24,3	7,2	0	-73,1
45	28.07.2024 13:53:44,000	23,02	0,15	64,2	-21,3	4,6	0	-73,1
46	28.07.2024 13:53:45,000	23,02	0,18	58,9	-22,9	8,2	0	-69,7
47	28.07.2024 13:53:46,000	23,02	0,18	57,9	-24,1	8,0	0	-71,0
48	28.07.2024 13:53:47,000	23,02	0,18	62,3	-20,9	6,8	0	-71,0
49	28.07.2024 13:53:48,000	23,02	0,18	59,2	-23,8	6,9	0	-73,3
